hours,handwarmer,bag,oxygen,log_oxygen,log_hours,squared_hours,rep
6,1,pics,11.77,1.070776463,0.812913357,36,4
7,1,pics,10.42,1.017867719,0.875061263,49,4
8,1,pics,9.25,0.966141733,0.929418926,64,4
9,1,pics,8.23,0.915399835,0.977723605,81,4
10,1,pics,7.49,0.874481818,1.021189299,100,4
11,1,pics,6.62,0.820857989,1.06069784,121,4
12,1,pics,6.02,0.779596491,1.096910013,144,4
24,1,pics,2.06,0.31386722,1.389166084,576,4
48,1,pics,1.17,0.068185862,1.685741739,2304,4
0,2,pics,22.98,1.361350024,-0.301029996,0,5
1,2,pics,16.85,1.226599905,0.176091259,1,5
2,2,pics,13.28,1.123198075,0.397940009,4,5
3,2,pics,10.44,1.018700499,0.544068044,9,5
4,2,pics,8.48,0.928395852,0.653212514,16,5
5,2,pics,6.75,0.829303773,0.740362689,25,5
6,2,pics,5.3,0.72427587,0.812913357,36,5
7,2,pics,4.33,0.636487896,0.875061263,49,5
8,2,pics,3.56,0.551449998,0.929418926,64,5
9,2,pics,2.89,0.460897843,0.977723605,81,5
10,2,pics,2.66,0.424881637,1.021189299,100,5
11,2,pics,2.23,0.348304863,1.06069784,121,5
12,2,pics,1.85,0.267171728,1.096910013,144,5
24,2,pics,0.96,-0.017728767,1.389166084,576,5
48,2,pics,1.05,0.021189299,1.685741739,2304,5
0,2,pics,22.59,1.353916231,-0.301029996,0,6
1,2,pics,14.51,1.161667412,0.176091259,1,6
2,2,pics,11.22,1.049992857,0.397940009,4,6
3,2,pics,8.63,0.936010796,0.544068044,9,6
4,2,pics,6.8,0.832508913,0.653212514,16,6
5,2,pics,5.61,0.748962861,0.740362689,25,6
6,2,pics,4.18,0.621176282,0.812913357,36,6
7,2,pics,3.37,0.527629901,0.875061263,49,6
8,2,pics,2.7,0.431363764,0.929418926,64,6
9,2,pics,2.2,0.342422681,0.977723605,81,6
10,2,pics,1.84,0.264817823,1.021189299,100,6
11,2,pics,1.6,0.204119983,1.06069784,121,6
12,2,pics,1.37,0.136720567,1.096910013,144,6
24,2,pics,0.76,-0.119186408,1.389166084,576,6
48,2,pics,0.96,-0.017728767,1.685741739,2304,6
0,2,pics,23.27,1.366796383,-0.301029996,0,7
1,2,pics,18.06,1.256717746,0.176091259,1,7
2,2,pics,13.62,1.134177108,0.397940009,4,7
3,2,pics,10.44,1.018700499,0.544068044,9,7
4,2,pics,7.95,0.900367129,0.653212514,16,7
5,2,pics,6.59,0.818885415,0.740362689,25,7
6,2,pics,5.19,0.715167358,0.812913357,36,7
7,2,pics,4.19,0.622214023,0.875061263,49,7
8,2,pics,3.37,0.527629901,0.929418926,64,7
9,2,pics,2.73,0.436162647,0.977723605,81,7
10,2,pics,2.16,0.334453751,1.021189299,100,7
11,2,pics,1.74,0.240549248,1.06069784,121,7
12,2,pics,1.23,0.089905111,1.096910013,144,7
24,2,pics,0.99,-0.004364805,1.389166084,576,7
48,2,pics,0.9,-0.045757491,1.685741739,2304,7
0,2,pics,23.17,1.364926034,-0.301029996,0,8
1,2,pics,18.13,1.258397804,0.176091259,1,8
2,2,pics,13.87,1.142076461,0.397940009,4,8
3,2,pics,10.97,1.040206628,0.544068044,9,8
4,2,pics,8.33,0.920645001,0.653212514,16,8
5,2,pics,6.68,0.824776462,0.740362689,25,8
6,2,pics,5.39,0.731588765,0.812913357,36,8
7,2,pics,7.17,0.855519156,0.875061263,49,8
8,2,pics,4.74,0.675778342,0.929418926,64,8
9,2,pics,3.62,0.558708571,0.977723605,81,8
10,2,pics,3.03,0.481442629,1.021189299,100,8
11,2,pics,2.42,0.383815366,1.06069784,121,8
12,2,pics,1.97,0.294466226,1.096910013,144,8
24,2,pics,1.13,0.053078443,1.389166084,576,8
48,2,pics,1.16,0.064457989,1.685741739,2304,8
0,3,pics,22.79,1.357744325,-0.301029996,0,9
1,3,pics,16.16,1.208441356,0.176091259,1,9
2,3,pics,12.5,1.096910013,0.397940009,4,9
3,3,pics,9.78,0.990338855,0.544068044,9,9
4,3,pics,7.32,0.864511081,0.653212514,16,9
5,3,pics,5.6,0.748188027,0.740362689,25,9
6,3,pics,4.43,0.646403726,0.812913357,36,9
7,3,pics,3.58,0.553883027,0.875061263,49,9
8,3,pics,2.89,0.460897843,0.929418926,64,9
9,3,pics,2.4,0.380211242,0.977723605,81,9
10,3,pics,2.01,0.303196057,1.021189299,100,9
11,3,pics,1.81,0.257678575,1.06069784,121,9
12,3,pics,1.63,0.212187604,1.096910013,144,9
24,3,pics,1.04,0.017033339,1.389166084,576,9
48,3,pics,0.96,-0.017728767,1.685741739,2304,9
0,3,pics,22.21,1.346548559,-0.301029996,0,10
1,3,pics,13.2,1.120573931,0.176091259,1,10
2,3,pics,9.53,0.979092901,0.397940009,4,10
3,3,pics,6.92,0.840106094,0.544068044,9,10
4,3,pics,5.02,0.700703717,0.653212514,16,10
5,3,pics,3.62,0.558708571,0.740362689,25,10
6,3,pics,2.83,0.451786436,0.812913357,36,10
7,3,pics,2.23,0.348304863,0.875061263,49,10
8,3,pics,1.87,0.271841607,0.929418926,64,10
9,3,pics,1.6,0.204119983,0.977723605,81,10
10,3,pics,1.54,0.187520721,1.021189299,100,10
11,3,pics,1.27,0.103803721,1.06069784,121,10
12,3,pics,1.19,0.075546961,1.096910013,144,10
24,3,pics,0.9,-0.045757491,1.389166084,576,10
48,3,pics,1,0,1.685741739,2304,10
0,3,pics,22.57,1.353531559,-0.301029996,0,11
1,3,pics,16.78,1.224791956,0.176091259,1,11
2,3,pics,12.15,1.084576278,0.397940009,4,11
3,3,pics,9,0.954242509,0.544068044,9,11
4,3,pics,6.44,0.808885867,0.653212514,16,11
5,3,pics,4.73,0.674861141,0.740362689,25,11
6,3,pics,3.57,0.552668216,0.812913357,36,11
7,3,pics,2.78,0.444044796,0.875061263,49,11
8,3,pics,2.16,0.334453751,0.929418926,64,11
9,3,pics,1.75,0.243038049,0.977723605,81,11
10,3,pics,1.54,0.187520721,1.021189299,100,11
11,3,pics,1.49,0.173186268,1.06069784,121,11
12,3,pics,1.4,0.146128036,1.096910013,144,11
24,3,pics,0.93,-0.031517051,1.389166084,576,11
48,3,pics,0.95,-0.022276395,1.685741739,2304,11
0,3,pics,22.75,1.356981401,-0.301029996,0,12
1,3,pics,17.12,1.23350376,0.176091259,1,12
2,3,pics,13,1.113943352,0.397940009,4,12
3,3,pics,10.03,1.001300933,0.544068044,9,12
4,3,pics,7.45,0.872156273,0.653212514,16,12
5,3,pics,5.63,0.750508395,0.740362689,25,12
6,3,pics,4.61,0.663700925,0.812913357,36,12
7,3,pics,3.74,0.572871602,0.875061263,49,12
8,3,pics,2.94,0.46834733,0.929418926,64,12
9,3,pics,2.74,0.437750563,0.977723605,81,12
10,3,pics,2.57,0.409933123,1.021189299,100,12
11,3,pics,2.42,0.383815366,1.06069784,121,12
12,3,pics,2.4,0.380211242,1.096910013,144,12
24,3,pics,1.29,0.11058971,1.389166084,576,12
48,3,pics,1.17,0.068185862,1.685741739,2304,12
0,1,jars,19.06,1.280122896,-0.301029996,0,13
1,1,jars,16.52,1.218010043,0.176091259,1,13
2,1,jars,14,1.146128036,0.397940009,4,13
3,1,jars,11.74,1.069668097,0.544068044,9,13
4,1,jars,9.95,0.997823081,0.653212514,16,13
5,1,jars,8.52,0.930439595,0.740362689,25,13
6,1,jars,7.31,0.863917377,0.812913357,36,13
7,1,jars,6.25,0.795880017,0.875061263,49,13
8,1,jars,5.39,0.731588765,0.929418926,64,13
9,1,jars,4.66,0.668385917,0.977723605,81,13
10,1,jars,4.22,0.625312451,1.021189299,100,13
11,1,jars,3.8,0.579783597,1.06069784,121,13
12,1,jars,3.33,0.522444234,1.096910013,144,13
24,1,jars,1.42,0.152288344,1.389166084,576,13
48,1,jars,1.32,0.120573931,1.685741739,2304,13
0,1,jars,19.21,1.283527365,-0.301029996,0,14
1,1,jars,16.4,1.214843848,0.176091259,1,14
2,1,jars,13.79,1.139564266,0.397940009,4,14
3,1,jars,11.53,1.061829307,0.544068044,9,14
4,1,jars,9.59,0.981818607,0.653212514,16,14
5,1,jars,8.11,0.909020854,0.740362689,25,14
6,1,jars,6.74,0.828659897,0.812913357,36,14
7,1,jars,5.64,0.751279104,0.875061263,49,14
8,1,jars,4.73,0.674861141,0.929418926,64,14
9,1,jars,3.96,0.597695186,0.977723605,81,14
10,1,jars,3.42,0.534026106,1.021189299,100,14
11,1,jars,2.92,0.465382851,1.06069784,121,14
12,1,jars,2.54,0.404833717,1.096910013,144,14
24,1,jars,0.6,-0.22184875,1.389166084,576,14
48,1,jars,0.48,-0.318758763,1.685741739,2304,14
0,1,jars,22.99,1.361538971,-0.301029996,0,15
1,1,jars,18.58,1.26904571,0.176091259,1,15
2,1,jars,15.69,1.195622944,0.397940009,4,15
3,1,jars,13.16,1.119255889,0.544068044,9,15
4,1,jars,10.4,1.017033339,0.653212514,16,15
5,1,jars,9.43,0.974511693,0.740362689,25,15
6,1,jars,8,0.903089987,0.812913357,36,15
7,1,jars,6.8,0.832508913,0.875061263,49,15
8,1,jars,5.86,0.767897616,0.929418926,64,15
9,1,jars,5,0.698970004,0.977723605,81,15
10,1,jars,4.45,0.648360011,1.021189299,100,15
11,1,jars,2.92,0.465382851,1.06069784,121,15
12,1,jars,3.6,0.556302501,1.096910013,144,15
24,1,jars,1.7,0.230448921,1.389166084,576,15
48,1,jars,1.56,0.193124598,1.685741739,2304,15
0,1,jars,19.02,1.279210513,-0.301029996,0,16
1,1,jars,16.68,1.222196046,0.176091259,1,16
2,1,jars,14.25,1.153814864,0.397940009,4,16
3,1,jars,12.12,1.08350262,0.544068044,9,16
4,1,jars,11.03,1.042575512,0.653212514,16,16
5,1,jars,8.98,0.953276337,0.740362689,25,16
6,1,jars,7.71,0.887054378,0.812913357,36,16
7,1,jars,6.59,0.818885415,0.875061263,49,16
8,1,jars,5.7,0.755874856,0.929418926,64,16
9,1,jars,4.9,0.69019608,0.977723605,81,16
10,1,jars,4.38,0.641474111,1.021189299,100,16
11,1,jars,3.81,0.580924976,1.06069784,121,16
12,1,jars,3.43,0.53529412,1.096910013,144,16
24,1,jars,1.01,0.004321374,1.389166084,576,16
48,1,jars,0.72,-0.142667504,1.685741739,2304,16
0,2,jars,18.69,1.271609301,-0.301029996,0,17
1,2,jars,13,1.113943352,0.176091259,1,17
2,2,jars,8.81,0.944975908,0.397940009,4,17
3,2,jars,6.04,0.781036939,0.544068044,9,17
4,2,jars,4.08,0.610660163,0.653212514,16,17
5,2,jars,2.82,0.450249108,0.740362689,25,17
6,2,jars,1.87,0.271841607,0.812913357,36,17
7,2,jars,1.26,0.100370545,0.875061263,49,17
8,2,jars,0.88,-0.055517328,0.929418926,64,17
9,2,jars,0.66,-0.180456064,0.977723605,81,17
10,2,jars,0.5,-0.301029996,1.021189299,100,17
11,2,jars,0.4,-0.397940009,1.06069784,121,17
12,2,jars,0.33,-0.48148606,1.096910013,144,17
24,2,jars,0.25,-0.602059991,1.389166084,576,17
48,2,jars,0.19,-0.721246399,1.685741739,2304,17
0,2,jars,19.09,1.280805928,-0.301029996,0,18
1,2,jars,13.51,1.130655349,0.176091259,1,18
2,2,jars,9.49,0.977266212,0.397940009,4,18
3,2,jars,6.61,0.820201459,0.544068044,9,18
4,2,jars,4.63,0.665580991,0.653212514,16,18
5,2,jars,3.26,0.5132176,0.740362689,25,18
6,2,jars,2.3,0.361727836,0.812913357,36,18
7,2,jars,1.6,0.204119983,0.875061263,49,18
8,2,jars,1.13,0.053078443,0.929418926,64,18
9,2,jars,0.84,-0.075720714,0.977723605,81,18
10,2,jars,0.67,-0.173925197,1.021189299,100,18
11,2,jars,0.57,-0.244125144,1.06069784,121,18
12,2,jars,0.48,-0.318758763,1.096910013,144,18
24,2,jars,0.32,-0.494850022,1.389166084,576,18
48,2,jars,0.27,-0.568636236,1.685741739,2304,18
0,2,jars,19.39,1.287577809,-0.301029996,0,19
1,2,jars,13.91,1.14332713,0.176091259,1,19
2,2,jars,9.61,0.982723388,0.397940009,4,19
3,2,jars,6.73,0.828015064,0.544068044,9,19
4,2,jars,4.72,0.673941999,0.653212514,16,19
5,2,jars,3.3,0.51851394,0.740362689,25,19
6,2,jars,2.29,0.359835482,0.812913357,36,19
7,2,jars,1.66,0.220108088,0.875061263,49,19
8,2,jars,1.22,0.086359831,0.929418926,64,19
9,2,jars,0.89,-0.050609993,0.977723605,81,19
10,2,jars,0.75,-0.124938737,1.021189299,100,19
11,2,jars,0.65,-0.187086643,1.06069784,121,19
12,2,jars,0.55,-0.259637311,1.096910013,144,19
24,2,jars,0.42,-0.37675071,1.389166084,576,19
48,2,jars,0.42,-0.37675071,1.685741739,2304,19
0,2,jars,19.22,1.283753383,-0.301029996,0,20
1,2,jars,13.54,1.131618664,0.176091259,1,20
2,2,jars,9.6,0.982271233,0.397940009,4,20
3,2,jars,6.86,0.836324116,0.544068044,9,20
4,2,jars,4.85,0.685741739,0.653212514,16,20
5,2,jars,3.5,0.544068044,0.740362689,25,20
6,2,jars,2.51,0.399673721,0.812913357,36,20
7,2,jars,1.79,0.252853031,0.875061263,49,20
8,2,jars,1.33,0.123851641,0.929418926,64,20
9,2,jars,1,0,0.977723605,81,20
10,2,jars,0.84,-0.075720714,1.021189299,100,20
11,2,jars,0.7,-0.15490196,1.06069784,121,20
12,2,jars,0.64,-0.193820026,1.096910013,144,20
24,2,jars,0.44,-0.356547324,1.389166084,576,20
48,2,jars,0.39,-0.408935393,1.685741739,2304,20
0,3,jars,18.61,1.269746373,-0.301029996,0,21
1,3,jars,10.93,1.038620162,0.176091259,1,21
2,3,jars,6.16,0.789580712,0.397940009,4,21
3,3,jars,3.5,0.544068044,0.544068044,9,21
4,3,jars,2.06,0.31386722,0.653212514,16,21
5,3,jars,1.27,0.103803721,0.740362689,25,21
6,3,jars,0.77,-0.113509275,0.812913357,36,21
7,3,jars,0.52,-0.283996656,0.875061263,49,21
8,3,jars,0.41,-0.387216143,0.929418926,64,21
9,3,jars,0.34,-0.468521083,0.977723605,81,21
10,3,jars,0.32,-0.494850022,1.021189299,100,21
11,3,jars,0.32,-0.494850022,1.06069784,121,21
12,3,jars,0.27,-0.568636236,1.096910013,144,21
24,3,jars,0.3,-0.522878745,1.389166084,576,21
48,3,jars,0.27,-0.568636236,1.685741739,2304,21
0,3,jars,18.7,1.271841607,-0.301029996,0,22
1,3,jars,10.83,1.034628457,0.176091259,1,22
2,3,jars,5.94,0.773786445,0.397940009,4,22
3,3,jars,3.35,0.525044807,0.544068044,9,22
4,3,jars,1.86,0.269512944,0.653212514,16,22
5,3,jars,1.1,0.041392685,0.740362689,25,22
6,3,jars,0.59,-0.229147988,0.812913357,36,22
7,3,jars,0.35,-0.455931956,0.875061263,49,22
8,3,jars,0.26,-0.585026652,0.929418926,64,22
9,3,jars,0.23,-0.638272164,0.977723605,81,22
10,3,jars,0.15,-0.823908741,1.021189299,100,22
11,3,jars,0.15,-0.823908741,1.06069784,121,22
12,3,jars,0.2,-0.698970004,1.096910013,144,22
24,3,jars,0.2,-0.698970004,1.389166084,576,22
48,3,jars,0.13,-0.886056648,1.685741739,2304,22
0,3,jars,18.89,1.276231958,-0.301029996,0,23
1,3,jars,11.63,1.065579715,0.176091259,1,23
2,3,jars,6.65,0.822821645,0.397940009,4,23
3,3,jars,3.85,0.58546073,0.544068044,9,23
4,3,jars,2.18,0.338456494,0.653212514,16,23
5,3,jars,1.28,0.10720997,0.740362689,25,23
6,3,jars,0.76,-0.119186408,0.812913357,36,23
7,3,jars,0.49,-0.30980392,0.875061263,49,23
8,3,jars,0.34,-0.468521083,0.929418926,64,23
9,3,jars,0.25,-0.602059991,0.977723605,81,23
10,3,jars,0.22,-0.657577319,1.021189299,100,23
11,3,jars,0.21,-0.677780705,1.06069784,121,23
12,3,jars,0.2,-0.698970004,1.096910013,144,23
24,3,jars,0.24,-0.619788758,1.389166084,576,23
48,3,jars,0.17,-0.769551079,1.685741739,2304,23
0,3,jars,18.75,1.273001272,-0.301029996,0,24
1,3,jars,11.08,1.04453976,0.176091259,1,24
2,3,jars,6.49,0.812244697,0.397940009,4,24
3,3,jars,3.78,0.5774918,0.544068044,9,24
4,3,jars,2.19,0.340444115,0.653212514,16,24
5,3,jars,1.37,0.136720567,0.740362689,25,24
6,3,jars,0.82,-0.086186148,0.812913357,36,24
7,3,jars,0.57,-0.244125144,0.875061263,49,24
8,3,jars,0.41,-0.387216143,0.929418926,64,24
9,3,jars,0.34,-0.468521083,0.977723605,81,24
10,3,jars,0.29,-0.537602002,1.021189299,100,24
11,3,jars,0.29,-0.537602002,1.06069784,121,24
12,3,jars,0.3,-0.522878745,1.096910013,144,24
24,3,jars,0.34,-0.468521083,1.389166084,576,24
48,3,jars,0.28,-0.552841969,1.685741739,2304,24
