"ID","shape","color","area","conv","probability","sampwt"
7232,"square","black",5,0,0.01,100
14689,"square","gray",36,0,0.01,100
11703,"square","gray",26,1,0.01,100
15846,"circle","black",26,1,0.01,100
10520,"square","gray",27,1,0.01,100
9707,"square","gray",28,1,0.01,100
16238,"circle","black",20,1,0.01,100
2330,"square","black",47,1,0.01,100
1458,"square","black",19,0,0.01,100
18955,"circle","black",15,0,0.01,100
15322,"circle","black",8,0,0.01,100
8333,"square","black",12,1,0.01,100
1316,"square","black",22,0,0.01,100
5066,"square","black",24,1,0.01,100
5683,"square","black",27,1,0.01,100
18088,"circle","black",19,1,0.01,100
8680,"square","black",23,1,0.01,100
4438,"square","black",14,1,0.01,100
17663,"circle","black",26,1,0.01,100
4938,"square","black",43,1,0.01,100
17461,"circle","black",19,0,0.01,100
9679,"square","gray",38,1,0.01,100
19169,"circle","gray",9,1,0.01,100
2929,"square","black",38,1,0.01,100
5880,"square","black",40,1,0.01,100
12555,"square","gray",32,0,0.01,100
15165,"circle","black",30,1,0.01,100
1086,"square","black",22,0,0.01,100
13928,"square","gray",34,1,0.01,100
18184,"circle","black",10,0,0.01,100
10729,"square","gray",25,0,0.01,100
10614,"square","gray",21,1,0.01,100
5330,"square","black",38,1,0.01,100
18467,"circle","black",12,1,0.01,100
8725,"square","black",14,0,0.01,100
15508,"circle","black",23,0,0.01,100
3729,"square","black",4,0,0.01,100
3241,"square","black",62,1,0.01,100
19280,"circle","gray",9,0,0.01,100
12950,"square","gray",19,0,0.01,100
1870,"square","black",40,1,0.01,100
13605,"square","gray",31,1,0.01,100
7097,"square","black",82,1,0.01,100
3553,"square","black",48,1,0.01,100
236,"square","black",56,1,0.01,100
6187,"square","black",31,1,0.01,100
10013,"square","gray",14,1,0.01,100
11272,"square","gray",19,1,0.01,100
10087,"square","gray",17,0,0.01,100
16721,"circle","black",17,0,0.01,100
13020,"square","gray",32,0,0.01,100
5577,"square","black",62,0,0.01,100
12027,"square","gray",34,0,0.01,100
16379,"circle","black",28,1,0.01,100
15056,"circle","black",13,0,0.01,100
14156,"square","gray",21,1,0.01,100
4922,"square","black",45,1,0.01,100
2993,"square","black",51,0,0.01,100
3648,"square","black",44,1,0.01,100
14566,"square","gray",20,1,0.01,100
