生徒,学級,学業的自己概念,テスト得点
168,5,10,50
169,5,26,65
170,5,25,55
171,5,20,55
172,5,24,45
173,5,16,40
174,5,20,50
175,5,23,60
176,5,17,50
177,5,9,45
178,5,15,50
179,5,22,55
180,5,17,55
181,5,24,50
182,5,25,64
183,5,6,38
184,5,16,52
185,5,19,55
186,5,12,50
187,5,18,57
188,5,11,35
189,5,12,47
190,5,8,55
191,5,14,50
192,5,20,57
193,5,9,35
194,5,10,47
195,5,15,55
196,5,16,50
197,5,18,60
198,5,14,40
199,5,22,59
200,5,19,79
201,6,19,55
202,6,10,37
203,6,26,70
204,6,16,50
205,6,17,56
206,6,18,65
207,6,15,41
208,6,18,60
209,6,16,48
210,6,16,49
211,6,14,50
212,6,20,42
213,6,11,52
214,6,20,50
215,6,13,30
216,6,9,53
217,6,13,61
218,6,15,45
219,6,13,61
220,6,17,39
221,6,18,50
222,6,21,60
223,6,10,38
224,6,8,53
225,6,18,45
226,6,19,40
227,6,23,50
228,6,14,45
229,6,14,58
230,6,21,52
231,6,19,41
232,6,22,52
233,6,12,44
234,6,13,57
235,6,22,51
236,6,16,50
237,6,18,60
238,6,14,40
239,6,22,96
240,6,24,71
241,7,14,60
242,7,9,55
243,7,13,48
244,7,18,52
245,7,19,61
246,7,22,47
247,7,15,37
248,7,12,51
249,7,8,40
250,7,11,50
251,7,9,40
252,7,19,57
253,7,22,49
254,7,8,30
255,7,23,56
256,7,23,50
257,7,26,62
258,7,14,44
259,7,14,46
260,7,14,43
261,7,24,53
262,7,24,53
263,7,18,50
264,7,13,45
265,7,26,60
266,7,24,55
267,7,16,37
268,7,21,57
269,7,13,46
270,7,18,52
271,7,30,75
272,7,16,37
273,7,19,50
274,7,12,40
275,7,21,62
276,7,17,50
277,7,19,61
278,7,15,39
279,7,27,80
280,7,24,69
281,8,21,47
282,8,22,54
283,8,29,45
284,8,13,45
285,8,22,40
286,8,20,45
287,8,12,35
288,8,18,53
289,8,14,55
290,8,14,47
291,8,12,35
292,8,10,39
293,8,15,45
294,8,11,48
295,8,16,26
296,8,23,41
297,8,17,51
298,8,6,40
299,8,18,40
300,8,17,44
301,8,15,49
302,8,15,50
303,8,24,47
304,8,21,45
305,8,23,50
306,8,15,56
307,8,21,55
308,8,14,50
309,8,15,42
310,8,16,30
311,8,13,46
312,8,15,35
313,8,10,30
314,8,14,42
315,8,15,30
316,8,16,44
317,8,18,54
318,8,14,34
319,8,27,93
320,8,21,75
321,9,14,50
322,9,13,49
323,9,10,67
324,9,23,63
325,9,20,66
326,9,17,62
327,9,17,44
328,9,19,64
329,9,18,66
330,9,17,64
331,9,22,65
332,9,10,37
333,9,23,62
334,9,18,63
335,9,15,75
336,9,12,56
337,9,20,65
338,9,20,64
339,9,26,70
340,9,22,52
341,9,10,39
342,9,21,65
343,9,21,70
344,9,12,49
345,9,20,75
346,9,21,56
347,9,8,51
348,9,12,50
349,9,13,61
350,9,21,64
351,9,24,66
352,9,15,71
353,9,23,70
354,9,26,65
355,9,26,80
356,9,18,61
357,9,20,71
358,9,16,51
359,9,22,76
360,9,19,98
361,10,18,55
362,10,26,58
363,10,16,58
364,10,20,59
365,10,19,50
366,10,19,67
367,10,17,43
368,10,16,48
369,10,21,77
370,10,20,56
371,10,17,49
372,10,26,70
373,10,9,55
374,10,24,61
375,10,13,56
376,10,18,53
377,10,20,61
378,10,19,60
379,10,6,43
380,10,8,70
381,10,15,46
382,10,8,67
383,10,19,54
384,10,20,78
385,10,17,58
386,10,27,67
387,10,24,57
388,10,21,63
389,10,20,67
390,10,22,53
391,10,18,70
392,10,25,61
393,10,23,70
394,10,22,77
395,10,23,58
396,10,19,60
397,10,21,70
398,10,17,50
399,10,30,85
400,10,26,77
401,11,13,55
402,11,10,33
403,11,12,49
404,11,15,60
405,11,20,62
406,11,21,49
407,11,18,66
408,11,22,55
409,11,18,55
410,11,17,51
411,11,19,46
412,11,10,60
413,11,21,65
414,11,17,48
415,11,19,56
416,11,20,62
417,11,12,60
418,11,12,65
419,11,22,69
420,11,14,57
421,11,21,89
422,11,17,53
423,11,10,54
424,11,10,57
425,11,20,49
426,11,21,51
427,11,6,37
428,11,8,52
429,11,28,60
430,11,11,47
431,11,20,47
432,11,6,35
433,11,8,50
434,11,28,59
435,11,12,48
436,11,16,55
437,11,18,65
438,11,14,45
439,11,23,55
440,11,23,90
441,12,8,42
442,12,9,45
443,12,26,70
444,12,17,51
445,12,15,63
446,12,15,59
447,12,15,47
448,12,21,68
449,12,12,48
450,12,20,59
451,12,22,56
452,12,12,38
453,12,27,66
454,12,26,64
455,12,18,68
456,12,6,50
457,12,15,62
458,12,10,69
459,12,11,61
460,12,19,64
461,12,22,49
462,12,14,55
463,12,18,66
464,12,17,45
465,12,28,72
466,12,13,62
467,12,20,45
468,12,17,57
469,12,10,44
470,12,10,63
471,12,12,57
472,12,20,46
473,12,17,55
474,12,10,47
475,12,9,60
476,12,16,56
477,12,18,66
478,12,14,46
479,12,17,70
480,12,25,77
481,13,23,31
482,13,19,60
483,13,17,53
484,13,15,52
485,13,12,64
486,13,22,64
487,13,23,65
488,13,11,61
489,13,19,61
490,13,12,55
491,13,21,65
492,13,17,66
493,13,15,53
494,13,16,65
495,13,25,64
496,13,23,73
497,13,14,56
498,13,13,59
499,13,14,53
500,13,17,63
501,13,20,69
502,13,18,60
503,13,11,50
504,13,19,65
505,13,8,43
506,13,16,40
507,13,12,59
508,13,19,48
509,13,21,75
510,13,18,60
511,13,15,41
512,13,13,58
513,13,18,49
514,13,22,74
515,13,18,63
516,13,17,58
517,13,11,70
518,13,15,45
519,13,18,76
520,13,19,79
521,14,16,58
522,14,14,65
523,14,8,53
524,14,25,68
525,14,12,56
526,14,13,51
527,14,17,57
528,14,24,58
529,14,21,59
530,14,17,55
531,14,12,48
532,14,24,60
533,14,19,60
534,14,10,58
535,14,13,59
536,14,7,50
537,14,17,52
538,14,14,64
539,14,24,74
540,14,18,43
541,14,19,57
542,14,17,60
543,14,12,47
544,14,13,54
545,14,9,63
546,14,12,49
547,14,17,60
548,14,13,52
549,14,18,50
550,14,13,62
551,14,12,50
552,14,18,61
553,14,12,53
554,14,18,51
555,14,12,63
556,14,15,57
557,14,17,66
558,14,13,55
559,14,8,62
560,14,11,73
561,15,9,53
562,15,16,61
563,15,26,56
564,15,18,62
565,15,8,60
566,15,12,48
567,15,12,60
568,15,16,67
569,15,13,51
570,15,17,63
571,15,6,45
572,15,9,29
573,15,18,66
574,15,7,58
575,15,19,55
576,15,15,58
577,15,16,46
578,15,14,46
579,15,21,49
580,15,8,43
581,15,24,57
582,15,6,51
583,15,8,50
584,15,20,59
585,15,19,54
586,15,12,55
587,15,10,57
588,15,20,55
589,15,8,41
590,15,11,45
591,15,11,52
592,15,8,47
593,15,17,50
594,15,8,37
595,15,10,41
596,15,13,52
597,15,15,64
598,15,10,38
599,15,8,30
600,15,23,81
601,16,19,59
602,16,16,52
603,16,21,64
604,16,20,62
605,16,20,44
606,16,16,56
607,16,24,65
608,16,19,60
609,16,26,46
610,16,14,54
611,16,19,63
612,16,23,75
613,16,16,43
614,16,15,40
615,16,17,53
616,16,21,58
617,16,20,65
618,16,13,54
619,16,11,50
620,16,11,43
621,16,21,50
622,16,16,43
623,16,22,57
624,16,6,46
625,16,12,43
626,16,19,59
627,16,14,59
628,16,12,38
629,16,18,58
630,16,10,45
631,16,8,64
632,16,13,48
633,16,19,54
634,16,19,43
635,16,7,44
636,16,16,53
637,16,14,42
638,16,18,64
639,16,14,63
640,16,12,43
641,17,11,48
642,17,12,40
643,17,20,56
644,17,18,54
645,17,24,61
646,17,23,58
647,17,17,52
648,17,16,50
649,17,18,55
650,17,13,40
651,17,14,45
652,17,24,69
653,17,9,38
654,17,15,54
655,17,23,68
656,17,21,54
657,17,22,58
658,17,6,60
659,17,23,58
660,17,13,42
661,17,20,59
662,17,26,66
663,17,11,39
664,17,16,43
665,17,16,50
666,17,17,53
667,17,20,58
668,17,20,66
669,17,19,52
670,17,22,64
671,17,18,51
672,17,11,41
673,17,14,48
674,17,17,53
675,17,15,51
676,17,17,53
677,17,20,63
678,17,14,43
679,17,13,59
680,17,26,66
681,18,19,62
682,18,12,44
683,18,10,49
684,18,8,52
685,18,15,60
686,18,12,65
687,18,8,50
688,18,7,42
689,18,24,70
690,18,18,67
691,18,17,64
692,18,15,65
693,18,16,60
694,18,13,55
695,18,21,57
696,18,22,60
697,18,21,65
698,18,20,65
699,18,16,58
700,18,22,69
701,18,14,60
702,18,19,70
703,18,22,61
704,18,28,83
705,18,26,75
706,18,24,77
707,18,23,70
708,18,19,65
709,18,14,51
710,18,19,51
711,18,13,53
712,18,21,60
713,18,13,46
714,18,10,52
715,18,9,55
716,18,17,60
717,18,20,73
718,18,17,55
719,18,18,70
720,18,18,69
721,19,24,59
722,19,19,50
723,19,17,60
724,19,21,72
725,19,23,70
726,19,6,53
727,19,26,70
728,19,20,58
729,19,12,61
730,19,16,79
731,19,14,50
732,19,23,65
733,19,24,65
734,19,17,72
735,19,23,51
736,19,16,67
737,19,8,61
738,19,18,60
739,19,15,60
740,19,24,67
741,19,16,45
742,19,14,42
743,19,13,38
744,19,15,50
745,19,17,53
746,19,19,67
747,19,16,68
748,19,18,63
749,19,12,58
750,19,22,60
751,19,22,63
752,19,25,68
753,19,22,68
754,19,16,61
755,19,25,72
756,19,18,61
757,19,17,62
758,19,17,60
759,19,16,51
760,19,21,59
761,20,14,63
762,20,24,73
763,20,22,64
764,20,14,54
765,20,19,54
766,20,13,56
767,20,21,63
768,20,18,49
769,20,10,55
770,20,9,58
771,20,24,62
772,20,19,53
773,20,17,63
774,20,26,75
775,20,23,73
776,20,6,56
777,20,17,51
778,20,17,56
779,20,15,46
780,20,20,58
781,20,16,50
782,20,26,73
783,20,20,61
784,20,12,64
785,20,16,82
786,20,14,53
787,20,23,68
788,20,24,68
789,20,17,75
790,20,12,54
791,20,16,70
792,20,8,64
793,20,18,63
794,20,15,63
795,20,24,70
796,20,17,62
797,20,16,61
798,20,19,72
799,20,15,52
800,20,13,58
801,21,25,69
802,21,27,70
803,21,19,65
804,21,16,60
805,21,21,62
806,21,24,65
807,21,23,70
808,21,22,70
809,21,16,63
810,21,22,74
811,21,14,65
812,21,19,75
813,21,22,66
814,21,14,56
815,21,19,56
816,21,13,58
817,21,21,65
818,21,18,51
819,21,19,65
820,21,19,67
821,21,17,58
822,21,22,78
823,21,25,80
824,21,10,57
825,21,9,60
826,21,24,64
827,21,19,55
828,21,17,65
829,21,21,77
830,21,23,75
831,21,6,58
832,21,26,75
833,21,20,63
834,21,12,66
835,21,16,84
836,21,19,66
837,21,22,76
838,21,20,73
839,21,17,55
840,21,16,50
841,22,14,55
842,22,23,70
843,22,24,70
844,22,17,77
845,22,11,56
846,22,16,72
847,22,15,66
848,22,18,65
849,22,19,65
850,22,24,72
851,22,15,47
852,22,13,39
853,22,11,49
854,22,20,47
855,22,13,30
856,22,16,50
857,22,13,58
858,22,15,42
859,22,13,58
860,22,17,36
861,22,18,47
862,22,21,57
863,22,16,53
864,22,19,65
865,22,14,44
866,22,15,49
867,22,16,52
868,22,10,35
869,22,8,50
870,22,18,42
871,22,19,37
872,22,23,47
873,22,14,42
874,22,14,55
875,22,21,49
876,22,16,53
877,22,15,50
878,22,16,55
879,22,17,40
880,22,16,36
881,23,14,57
882,23,9,52
883,23,13,45
884,23,18,49
885,23,19,58
886,23,22,44
887,23,13,34
888,23,12,48
889,23,17,47
890,23,15,44
891,23,17,50
892,23,13,40
893,23,18,51
894,23,8,37
895,23,11,47
896,23,9,37
897,23,20,54
898,23,17,46
899,23,20,27
900,23,23,53
901,23,23,47
902,23,26,59
903,23,14,41
904,23,14,43
905,23,14,40
906,23,24,50
907,23,23,50
908,23,18,47
909,23,13,42
910,23,25,57
911,23,24,52
912,23,8,34
913,23,21,54
914,23,13,43
915,23,18,49
916,23,17,47
917,23,14,47
918,23,23,65
919,23,15,38
920,23,22,69
921,24,21,44
922,24,22,51
923,24,19,42
924,24,13,42
925,24,16,37
926,24,20,42
927,24,12,32
928,24,17,42
929,24,17,45
930,24,17,39
931,24,14,33
932,24,19,50
933,24,18,50
934,24,26,52
935,24,14,44
936,24,12,32
937,24,10,36
938,24,15,42
939,24,11,45
940,24,16,23
941,24,23,38
942,24,17,48
943,24,6,37
944,24,18,37
945,24,17,41
946,24,15,46
947,24,15,47
948,24,24,44
949,24,21,42
950,24,23,47
951,24,21,53
952,24,21,52
953,24,28,47
954,24,15,39
955,24,14,30
956,24,17,42
957,24,18,45
958,24,19,52
959,24,14,39
960,24,15,43
961,25,23,48
962,25,26,45
963,25,18,42
964,25,17,43
965,25,15,41
966,25,24,51
967,25,23,49
968,25,18,44
969,25,20,52
970,25,19,47
971,25,22,56
972,25,16,35
973,25,18,47
974,25,13,43
975,25,25,58
976,25,24,53
977,25,8,33
978,25,21,55
979,25,13,44
980,25,18,48
981,25,21,45
982,25,22,50
983,25,19,43
984,25,13,41
985,25,24,49
986,25,25,59
987,25,15,43
988,25,18,44
989,25,18,42
990,25,21,52
991,25,10,50
992,25,18,48
993,25,13,44
994,25,25,59
995,25,24,54
996,25,19,47
997,25,21,59
998,25,26,74
999,25,20,71
1000,25,17,63
1001,26,15,34
1002,26,14,56
1003,26,15,45
1004,26,18,49
1005,26,21,46
1006,26,22,51
1007,26,19,44
1008,26,16,42
1009,26,27,39
1010,26,20,43
1011,26,14,33
1012,26,16,43
1013,26,12,30
1014,26,20,57
1015,26,16,45
1016,26,16,39
1017,26,10,51
1018,26,24,58
1019,26,14,43
1020,26,12,36
1021,26,10,38
1022,26,13,43
1023,26,11,47
1024,26,12,29
1025,26,16,38
1026,26,20,42
1027,26,12,32
1028,26,18,50
1029,26,26,57
1030,26,14,42
1031,26,12,35
1032,26,10,37
1033,26,15,42
1034,26,11,46
1035,26,14,28
1036,26,16,46
1037,26,15,44
1038,26,14,43
1039,26,18,51
1040,26,13,38
1041,27,10,67
1042,27,21,52
1043,27,22,58
1044,27,20,50
1045,27,23,69
1046,27,23,49
1047,27,15,40
1048,27,14,68
1049,27,18,51
1050,27,16,50
1051,27,19,55
1052,27,15,46
1053,27,19,50
1054,27,12,50
1055,27,13,43
1056,27,13,32
1057,27,21,57
1058,27,20,49
1059,27,21,27
1060,27,24,59
1061,27,23,45
1062,27,13,59
1063,27,17,37
1064,27,18,42
1065,27,18,46
1066,27,26,75
1067,27,26,56
1068,27,21,49
1069,27,18,43
1070,27,13,67
1071,27,27,57
1072,27,14,39
1073,27,17,62
1074,27,15,46
1075,27,19,49
1076,27,18,52
1077,27,20,60
1078,27,28,68
1079,27,16,50
1080,27,16,42
1081,28,23,44
1082,28,17,61
1083,28,14,64
1084,28,16,50
1085,28,22,38
1086,28,24,40
1087,28,16,46
1088,28,24,74
1089,28,28,60
1090,28,20,56
1091,28,21,27
1092,28,29,40
1093,28,17,58
1094,28,15,55
1095,28,17,34
1096,28,26,40
1097,28,21,62
1098,28,18,38
1099,28,23,37
1100,28,19,58
1101,28,17,64
1102,28,19,58
1103,28,21,51
1104,28,26,77
1105,28,16,30
1106,28,20,53
1107,28,21,48
1108,28,30,62
1109,28,26,58
1110,28,24,61
1111,28,21,71
1112,28,24,47
1113,28,30,45
1114,28,20,41
1115,28,16,32
1116,28,20,52
1117,28,22,62
1118,28,17,40
1119,28,20,53
1120,28,7,30
1121,29,27,61
1122,29,30,60
1123,29,16,39
1124,29,19,42
1125,29,25,52
1126,29,30,48
1127,29,27,44
1128,29,22,53
1129,29,19,49
1130,29,11,70
1131,29,26,59
1132,29,13,37
1133,29,24,70
1134,29,15,63
1135,29,21,55
1136,29,23,61
1137,29,25,67
1138,29,23,64
1139,29,14,61
1140,29,26,72
1141,29,30,70
1142,29,21,38
1143,29,18,55
1144,29,19,70
1145,29,26,69
1146,29,25,60
1147,29,22,67
1148,29,17,65
1149,29,28,57
1150,29,29,52
1151,29,22,58
1152,29,14,67
1153,29,21,65
1154,29,22,59
1155,29,21,55
1156,29,21,59
1157,29,22,69
1158,29,15,55
1159,29,28,80
1160,29,18,64
1161,30,17,49
1162,30,18,47
1163,30,15,42
1164,30,19,50
1165,30,18,51
1166,30,12,62
1167,30,25,58
1168,30,18,54
1169,30,21,44
1170,30,25,50
1171,30,22,45
1172,30,22,46
1173,30,17,59
1174,30,19,45
1175,30,24,39
1176,30,12,50
1177,30,21,50
1178,30,9,62
1179,30,18,64
1180,30,16,31
1181,30,12,48
1182,30,17,40
1183,30,11,64
1184,30,14,37
1185,30,21,59
1186,30,20,45
1187,30,17,37
1188,30,22,60
1189,30,28,53
1190,30,16,64
1191,30,15,41
1192,30,14,34
1193,30,20,60
1194,30,15,43
1195,30,15,27
1196,30,18,50
1197,30,23,52
1198,30,20,61
1199,30,19,84
1200,30,21,80
