授業回,価値,興味,学生,期待
15,6,13,10,12
1,8,11,11,15
2,7,8,11,15
3,5,9,11,15
4,8,4,11,15
5,6,4,11,15
6,10,10,11,15
7,4,10,11,15
8,9,12,11,15
9,8,3,11,15
10,8,7,11,15
11,6,7,11,15
12,5,8,11,15
13,6,7,11,15
14,6,4,11,15
15,8,5,11,15
1,6,8,12,7
2,9,9,12,7
3,6,6,12,7
4,7,11,12,7
5,6,7,12,7
6,5,7,12,7
7,7,7,12,7
8,6,6,12,7
9,8,6,12,7
10,7,6,12,7
11,7,4,12,7
12,7,7,12,7
13,7,8,12,7
14,6,9,12,7
15,6,9,12,7
1,6,7,13,14
2,5,7,13,14
3,5,7,13,14
4,9,9,13,14
5,6,6,13,14
6,7,6,13,14
7,8,10,13,14
8,9,4,13,14
9,7,8,13,14
10,5,8,13,14
11,4,7,13,14
12,8,6,13,14
13,8,8,13,14
14,3,5,13,14
15,4,7,13,14
1,6,7,14,8
2,5,6,14,8
3,6,4,14,8
4,6,6,14,8
5,6,7,14,8
6,6,7,14,8
7,6,7,14,8
8,3,3,14,8
9,4,4,14,8
10,5,5,14,8
11,5,6,14,8
12,4,7,14,8
13,5,5,14,8
14,5,4,14,8
15,5,7,14,8
1,5,9,15,13
2,7,8,15,13
3,7,9,15,13
4,6,9,15,13
5,6,6,15,13
6,9,5,15,13
7,4,8,15,13
8,8,8,15,13
9,7,9,15,13
10,6,5,15,13
11,8,9,15,13
12,8,8,15,13
13,7,8,15,13
14,6,10,15,13
15,6,6,15,13
1,4,5,16,6
2,4,6,16,6
3,6,7,16,6
4,6,7,16,6
5,5,5,16,6
6,5,6,16,6
7,5,7,16,6
8,4,5,16,6
9,4,5,16,6
10,6,6,16,6
11,6,7,16,6
12,6,7,16,6
13,5,6,16,6
14,4,5,16,6
15,5,6,16,6
1,4,5,17,11
2,6,6,17,11
3,4,7,17,11
4,5,6,17,11
5,6,7,17,11
6,5,4,17,11
7,4,3,17,11
8,3,3,17,11
9,6,3,17,11
10,4,3,17,11
11,3,3,17,11
12,4,6,17,11
13,6,4,17,11
14,6,3,17,11
15,6,3,17,11
1,5,7,18,6
2,6,6,18,6
3,6,5,18,6
4,5,5,18,6
5,5,5,18,6
6,6,6,18,6
7,5,5,18,6
8,3,4,18,6
9,5,6,18,6
10,5,7,18,6
11,5,5,18,6
12,4,5,18,6
13,5,6,18,6
14,6,5,18,6
15,5,5,18,6
1,6,10,19,5
2,8,10,19,5
3,5,6,19,5
4,7,4,19,5
5,9,10,19,5
6,8,9,19,5
7,8,10,19,5
8,5,3,19,5
9,5,8,19,5
10,9,7,19,5
11,7,9,19,5
12,7,9,19,5
13,8,10,19,5
14,7,9,19,5
15,9,10,19,5
1,8,8,20,10
2,7,9,20,10
3,9,6,20,10
4,7,7,20,10
5,7,9,20,10
6,10,9,20,10
7,7,7,20,10
8,5,5,20,10
9,8,7,20,10
10,7,9,20,10
11,8,6,20,10
12,8,8,20,10
13,5,6,20,10
14,8,9,20,10
15,7,8,20,10
1,5,5,21,9
2,5,6,21,9
3,6,5,21,9
4,6,5,21,9
5,6,6,21,9
6,6,5,21,9
7,6,4,21,9
8,5,4,21,9
9,5,5,21,9
10,6,5,21,9
11,6,5,21,9
12,5,6,21,9
13,4,4,21,9
14,5,5,21,9
15,5,6,21,9
1,4,4,22,10
2,9,10,22,10
3,7,10,22,10
4,9,8,22,10
5,5,8,22,10
6,8,8,22,10
7,7,7,22,10
8,5,7,22,10
9,6,5,22,10
10,7,11,22,10
11,6,6,22,10
12,6,7,22,10
13,6,9,22,10
14,7,9,22,10
15,8,10,22,10
1,4,4,23,9
2,5,6,23,9
3,5,3,23,9
4,5,4,23,9
5,6,4,23,9
6,5,4,23,9
7,5,6,23,9
8,4,3,23,9
9,6,6,23,9
10,4,7,23,9
11,5,5,23,9
12,5,6,23,9
13,5,4,23,9
14,4,4,23,9
15,4,6,23,9
1,6,5,24,3
2,6,4,24,3
3,7,7,24,3
4,4,9,24,3
5,6,7,24,3
6,6,9,24,3
7,6,6,24,3
8,5,4,24,3
9,7,3,24,3
10,8,10,24,3
11,8,5,24,3
12,6,4,24,3
13,10,8,24,3
14,8,4,24,3
15,7,6,24,3
1,7,8,25,3
2,9,7,25,3
3,9,7,25,3
4,4,7,25,3
5,6,7,25,3
6,8,10,25,3
7,8,7,25,3
8,3,5,25,3
9,6,8,25,3
10,8,8,25,3
11,9,7,25,3
12,5,8,25,3
13,8,8,25,3
14,8,10,25,3
15,6,7,25,3
1,8,8,26,15
2,6,5,26,15
3,4,7,26,15
4,8,8,26,15
5,3,3,26,15
6,8,6,26,15
7,6,6,26,15
8,10,8,26,15
9,7,8,26,15
10,9,5,26,15
11,3,7,26,15
12,9,6,26,15
13,5,3,26,15
14,4,4,26,15
15,8,8,26,15
1,4,9,27,4
2,7,9,27,4
3,6,5,27,4
4,10,7,27,4
5,8,11,27,4
6,7,8,27,4
7,10,11,27,4
8,6,5,27,4
9,6,7,27,4
10,6,4,27,4
11,5,8,27,4
12,7,5,27,4
13,7,9,27,4
14,8,8,27,4
15,8,11,27,4
1,6,6,28,6
2,6,7,28,6
3,5,5,28,6
4,5,7,28,6
5,6,6,28,6
6,4,4,28,6
7,6,7,28,6
8,3,3,28,6
9,5,6,28,6
10,6,6,28,6
11,5,5,28,6
12,5,5,28,6
13,5,5,28,6
14,5,6,28,6
15,6,6,28,6
1,8,7,29,4
2,7,9,29,4
3,8,9,29,4
4,9,11,29,4
5,7,9,29,4
6,6,9,29,4
7,5,7,29,4
8,6,6,29,4
9,6,6,29,4
10,9,6,29,4
11,6,9,29,4
12,7,8,29,4
13,6,10,29,4
14,8,9,29,4
15,10,10,29,4
1,7,7,30,4
2,7,8,30,4
3,5,6,30,4
4,7,10,30,4
5,10,11,30,4
6,7,9,30,4
7,9,6,30,4
8,5,4,30,4
9,7,7,30,4
10,9,5,30,4
11,9,9,30,4
12,8,7,30,4
13,9,8,30,4
14,6,7,30,4
15,9,9,30,4
1,6,10,31,4
2,7,9,31,4
3,7,8,31,4
4,10,9,31,4
5,9,11,31,4
6,8,9,31,4
7,6,8,31,4
8,5,7,31,4
9,9,7,31,4
10,7,6,31,4
11,7,8,31,4
12,10,7,31,4
13,9,8,31,4
14,7,6,31,4
15,8,8,31,4
1,7,9,32,4
2,7,9,32,4
3,8,6,32,4
4,8,8,32,4
5,10,11,32,4
6,9,11,32,4
7,9,9,32,4
8,5,6,32,4
9,7,9,32,4
10,9,7,32,4
11,8,9,32,4
12,8,8,32,4
13,8,7,32,4
14,9,7,32,4
15,8,9,32,4
1,8,9,33,4
2,9,8,33,4
3,7,7,33,4
4,8,11,33,4
5,6,9,33,4
6,8,10,33,4
7,9,7,33,4
8,6,6,33,4
9,9,8,33,4
10,8,6,33,4
11,7,8,33,4
12,8,8,33,4
13,7,6,33,4
14,8,6,33,4
15,7,8,33,4
1,5,5,34,9
2,5,6,34,9
3,4,5,34,9
4,6,7,34,9
5,6,6,34,9
6,6,4,34,9
7,6,7,34,9
8,3,4,34,9
9,4,6,34,9
10,4,4,34,9
11,5,7,34,9
12,6,5,34,9
13,5,5,34,9
14,5,7,34,9
15,5,6,34,9
1,7,8,35,7
2,8,8,35,7
3,5,3,35,7
4,10,7,35,7
5,8,7,35,7
6,7,6,35,7
7,7,7,35,7
8,4,5,35,7
9,4,9,35,7
10,8,6,35,7
11,7,8,35,7
12,7,7,35,7
13,5,10,35,7
14,7,5,35,7
15,6,10,35,7
1,8,8,36,7
2,6,8,36,7
3,5,7,36,7
4,7,9,36,7
5,8,8,36,7
6,8,10,36,7
7,6,9,36,7
8,5,6,36,7
9,6,11,36,7
10,9,7,36,7
11,6,6,36,7
12,9,9,36,7
13,3,9,36,7
14,10,4,36,7
15,9,10,36,7
1,6,10,37,15
2,8,10,37,15
3,9,12,37,15
4,6,11,37,15
5,8,7,37,15
6,4,9,37,15
7,5,8,37,15
8,5,7,37,15
9,3,8,37,15
10,7,5,37,15
11,7,7,37,15
12,4,6,37,15
13,8,9,37,15
14,10,6,37,15
15,7,12,37,15
1,8,8,38,11
2,10,9,38,11
3,6,9,38,11
4,6,11,38,11
5,7,5,38,11
6,9,8,38,11
7,5,9,38,11
8,8,7,38,11
9,4,6,38,11
10,7,6,38,11
11,10,6,38,11
12,7,7,38,11
13,9,11,38,11
14,9,10,38,11
15,7,7,38,11
1,9,11,39,15
2,8,6,39,15
3,9,6,39,15
4,10,11,39,15
5,9,5,39,15
6,9,9,39,15
7,7,6,39,15
8,6,4,39,15
9,10,4,39,15
10,5,9,39,15
11,6,5,39,15
12,6,5,39,15
13,8,8,39,15
14,8,5,39,15
15,8,8,39,15
1,4,4,40,10
2,5,6,40,10
3,6,6,40,10
4,6,7,40,10
5,6,7,40,10
6,6,7,40,10
7,4,4,40,10
8,3,3,40,10
9,4,4,40,10
10,4,4,40,10
11,5,6,40,10
12,5,6,40,10
13,6,7,40,10
14,4,4,40,10
15,5,6,40,10
1,5,6,41,8
2,5,6,41,8
3,4,4,41,8
4,6,4,41,8
5,6,4,41,8
6,4,5,41,8
7,6,7,41,8
8,3,3,41,8
9,3,4,41,8
10,3,3,41,8
11,4,3,41,8
12,6,6,41,8
13,6,5,41,8
14,6,6,41,8
15,5,6,41,8
1,7,8,42,3
2,8,10,42,3
3,6,6,42,3
4,4,8,42,3
5,7,11,42,3
6,8,10,42,3
7,8,8,42,3
8,5,5,42,3
9,7,4,42,3
10,10,10,42,3
11,7,5,42,3
12,7,8,42,3
13,5,6,42,3
14,4,5,42,3
15,6,8,42,3
1,6,6,43,3
2,6,7,43,3
3,5,4,43,3
4,5,6,43,3
5,6,7,43,3
6,4,7,43,3
7,6,6,43,3
8,3,3,43,3
9,6,6,43,3
10,5,6,43,3
11,6,7,43,3
12,5,6,43,3
13,5,6,43,3
14,4,4,43,3
15,4,7,43,3
1,5,11,44,5
2,9,8,44,5
3,6,6,44,5
4,8,8,44,5
5,10,7,44,5
6,4,5,44,5
7,5,8,44,5
8,6,6,44,5
9,6,9,44,5
10,9,7,44,5
11,9,10,44,5
12,8,9,44,5
13,7,6,44,5
14,7,9,44,5
15,10,6,44,5
1,5,7,45,9
2,6,7,45,9
3,4,4,45,9
4,6,7,45,9
5,6,7,45,9
6,5,5,45,9
7,4,5,45,9
8,3,3,45,9
9,5,7,45,9
10,6,7,45,9
11,6,7,45,9
12,6,7,45,9
13,6,7,45,9
14,6,6,45,9
15,6,7,45,9
1,5,5,46,7
2,6,6,46,7
3,5,4,46,7
4,6,6,46,7
5,6,7,46,7
6,6,5,46,7
7,4,6,46,7
8,3,3,46,7
9,5,5,46,7
10,4,4,46,7
11,5,6,46,7
12,4,5,46,7
13,5,4,46,7
14,4,4,46,7
15,6,7,46,7
1,5,6,47,5
2,5,6,47,5
3,6,7,47,5
4,5,7,47,5
5,5,6,47,5
6,5,7,47,5
7,4,5,47,5
8,5,5,47,5
9,4,4,47,5
10,3,7,47,5
11,3,4,47,5
12,4,5,47,5
13,6,6,47,5
14,5,6,47,5
15,5,5,47,5
1,7,4,48,15
2,5,9,48,15
3,11,7,48,15
4,6,9,48,15
5,10,7,48,15
6,8,10,48,15
7,9,9,48,15
8,6,11,48,15
9,7,6,48,15
10,6,10,48,15
11,5,9,48,15
12,7,4,48,15
13,6,8,48,15
14,5,8,48,15
15,9,7,48,15
1,5,6,49,6
2,5,6,49,6
3,4,5,49,6
4,5,5,49,6
5,4,6,49,6
6,5,6,49,6
7,5,6,49,6
8,5,7,49,6
9,6,7,49,6
10,4,6,49,6
11,5,5,49,6
12,6,4,49,6
13,5,6,49,6
14,5,6,49,6
15,5,6,49,6
1,4,4,50,10
2,4,5,50,10
3,5,6,50,10
4,5,5,50,10
5,4,5,50,10
6,5,6,50,10
7,4,3,50,10
8,4,5,50,10
9,3,5,50,10
10,6,7,50,10
11,5,7,50,10
12,6,5,50,10
13,5,5,50,10
14,5,5,50,10
15,4,3,50,10
1,9,6,51,9
2,8,12,51,9
3,11,9,51,9
4,8,8,51,9
5,8,8,51,9
6,7,9,51,9
7,7,11,51,9
8,5,6,51,9
9,5,10,51,9
10,10,7,51,9
11,9,10,51,9
12,6,3,51,9
13,6,11,51,9
14,7,6,51,9
15,4,11,51,9
1,8,7,52,7
2,9,10,52,7
3,6,5,52,7
4,8,8,52,7
5,8,6,52,7
6,7,6,52,7
7,5,6,52,7
8,7,3,52,7
9,5,6,52,7
10,6,9,52,7
11,8,7,52,7
12,5,10,52,7
13,7,8,52,7
14,7,8,52,7
15,5,7,52,7
1,11,10,53,12
2,8,12,53,12
3,10,13,53,12
4,11,13,53,12
5,12,13,53,12
6,9,8,53,12
7,5,6,53,12
8,4,3,53,12
9,6,7,53,12
10,8,11,53,12
11,9,10,53,12
12,10,13,53,12
13,8,8,53,12
14,10,12,53,12
15,9,13,53,12
1,5,11,54,9
2,8,9,54,9
3,8,7,54,9
4,6,5,54,9
5,8,6,54,9
6,10,8,54,9
7,11,10,54,9
8,6,5,54,9
9,7,11,54,9
10,9,9,54,9
11,6,7,54,9
12,10,11,54,9
13,8,11,54,9
14,8,4,54,9
15,11,9,54,9
1,6,7,55,5
2,6,6,55,5
3,5,5,55,5
4,5,6,55,5
5,6,7,55,5
6,4,5,55,5
7,6,5,55,5
8,5,6,55,5
9,4,7,55,5
10,4,4,55,5
11,6,7,55,5
12,6,6,55,5
13,6,7,55,5
14,6,6,55,5
15,6,7,55,5
1,8,9,56,12
2,9,4,56,12
3,8,11,56,12
4,6,10,56,12
5,6,9,56,12
6,8,8,56,12
7,5,5,56,12
8,7,6,56,12
9,10,10,56,12
10,5,4,56,12
11,6,7,56,12
12,8,7,56,12
13,7,5,56,12
14,6,7,56,12
15,4,8,56,12
1,5,5,57,6
2,4,4,57,6
3,6,7,57,6
4,6,6,57,6
5,6,6,57,6
6,3,7,57,6
7,4,6,57,6
8,3,6,57,6
9,3,3,57,6
10,6,7,57,6
11,6,6,57,6
12,6,5,57,6
13,6,6,57,6
14,3,6,57,6
15,4,5,57,6
1,5,6,58,9
2,6,5,58,9
3,4,4,58,9
4,4,4,58,9
5,5,7,58,9
6,4,5,58,9
7,5,6,58,9
8,4,3,58,9
9,3,5,58,9
10,3,6,58,9
11,6,6,58,9
12,4,5,58,9
13,6,6,58,9
14,5,6,58,9
15,4,4,58,9
1,8,8,59,13
2,8,5,59,13
3,7,9,59,13
4,9,8,59,13
5,7,9,59,13
6,8,9,59,13
7,8,10,59,13
8,6,6,59,13
9,7,7,59,13
10,5,9,59,13
11,6,7,59,13
12,8,8,59,13
13,6,8,59,13
14,5,6,59,13
15,7,7,59,13
1,9,6,60,6
2,7,10,60,6
3,7,8,60,6
4,8,7,60,6
5,8,7,60,6
6,8,9,60,6
7,7,7,60,6
8,7,7,60,6
9,8,9,60,6
10,7,7,60,6
11,8,7,60,6
12,7,4,60,6
13,6,9,60,6
14,9,8,60,6
15,8,6,60,6
1,5,5,61,9
2,6,7,61,9
3,5,6,61,9
4,4,6,61,9
5,5,4,61,9
6,5,4,61,9
7,4,3,61,9
8,4,3,61,9
9,4,3,61,9
10,6,4,61,9
11,5,5,61,9
12,5,5,61,9
13,4,5,61,9
14,5,6,61,9
15,5,6,61,9
1,9,8,62,7
2,5,7,62,7
3,8,5,62,7
4,8,6,62,7
5,7,8,62,7
6,8,9,62,7
7,6,7,62,7
8,6,9,62,7
9,7,9,62,7
10,5,9,62,7
11,6,5,62,7
12,9,8,62,7
13,9,8,62,7
14,5,6,62,7
15,6,5,62,7
1,7,8,63,7
2,8,10,63,7
3,7,9,63,7
4,8,8,63,7
5,9,9,63,7
6,6,7,63,7
7,3,3,63,7
8,6,4,63,7
9,6,9,63,7
10,8,9,63,7
11,9,5,63,7
12,4,6,63,7
13,9,9,63,7
14,7,5,63,7
15,10,9,63,7
1,3,5,64,3
2,6,6,64,3
3,5,6,64,3
4,4,5,64,3
5,5,7,64,3
6,4,5,64,3
7,5,7,64,3
8,3,3,64,3
9,3,5,64,3
10,3,5,64,3
11,3,5,64,3
12,3,3,64,3
13,4,5,64,3
14,3,5,64,3
15,4,6,64,3
1,8,6,65,10
2,7,11,65,10
3,8,7,65,10
4,7,7,65,10
5,7,6,65,10
6,7,10,65,10
7,3,8,65,10
8,5,7,65,10
9,8,7,65,10
10,7,10,65,10
11,12,7,65,10
12,7,9,65,10
13,10,11,65,10
14,8,5,65,10
15,8,7,65,10
1,10,6,66,12
2,5,8,66,12
3,8,11,66,12
4,7,9,66,12
5,7,8,66,12
6,8,11,66,12
7,10,8,66,12
8,9,5,66,12
9,6,5,66,12
10,9,6,66,12
11,8,8,66,12
12,10,11,66,12
13,5,10,66,12
14,9,10,66,12
15,11,7,66,12
1,5,6,67,9
2,4,6,67,9
3,6,6,67,9
4,5,7,67,9
5,4,4,67,9
6,5,4,67,9
7,4,3,67,9
8,4,5,67,9
9,4,4,67,9
10,4,5,67,9
11,5,4,67,9
12,5,6,67,9
13,6,6,67,9
14,4,5,67,9
15,4,5,67,9
1,4,5,68,8
2,6,7,68,8
3,5,6,68,8
4,6,6,68,8
5,5,5,68,8
6,5,5,68,8
7,4,6,68,8
8,4,4,68,8
9,4,5,68,8
10,5,6,68,8
11,4,6,68,8
12,5,6,68,8
13,6,7,68,8
14,5,5,68,8
15,5,5,68,8
1,6,8,69,7
2,8,8,69,7
3,4,8,69,7
4,7,8,69,7
5,8,9,69,7
6,9,7,69,7
7,6,6,69,7
8,7,3,69,7
9,6,6,69,7
10,7,7,69,7
11,7,8,69,7
12,8,4,69,7
13,9,10,69,7
14,6,8,69,7
15,6,10,69,7
1,5,7,70,3
2,6,7,70,3
3,6,7,70,3
4,6,7,70,3
5,6,6,70,3
6,4,4,70,3
7,6,7,70,3
8,3,3,70,3
9,3,5,70,3
10,3,7,70,3
11,6,7,70,3
12,5,5,70,3
13,4,5,70,3
14,6,5,70,3
15,5,7,70,3
1,4,6,71,8
2,6,6,71,8
3,6,5,71,8
4,6,6,71,8
5,6,5,71,8
6,6,5,71,8
7,6,7,71,8
8,4,4,71,8
9,6,7,71,8
10,5,7,71,8
11,6,7,71,8
12,5,6,71,8
13,6,7,71,8
14,5,7,71,8
15,6,7,71,8
1,8,8,72,12
2,8,5,72,12
3,6,8,72,12
4,7,8,72,12
5,7,8,72,12
6,5,6,72,12
7,8,11,72,12
8,10,6,72,12
9,5,8,72,12
10,10,8,72,12
11,6,7,72,12
12,8,8,72,12
13,3,10,72,12
14,7,7,72,12
15,4,6,72,12
1,3,5,73,10
2,11,11,73,10
3,7,6,73,10
4,10,6,73,10
5,10,13,73,10
6,11,11,73,10
7,7,8,73,10
8,9,10,73,10
9,8,8,73,10
10,7,7,73,10
11,11,9,73,10
12,5,10,73,10
13,7,9,73,10
14,7,4,73,10
15,9,7,73,10
1,5,6,74,5
2,6,6,74,5
3,6,6,74,5
4,6,5,74,5
5,6,6,74,5
6,6,4,74,5
7,5,6,74,5
8,4,4,74,5
9,6,4,74,5
10,5,5,74,5
11,6,6,74,5
12,5,6,74,5
13,6,6,74,5
14,6,6,74,5
15,6,7,74,5
1,3,4,75,8
2,5,6,75,8
3,5,6,75,8
4,6,6,75,8
5,5,7,75,8
6,4,6,75,8
7,3,5,75,8
8,3,3,75,8
9,4,4,75,8
10,3,3,75,8
11,4,3,75,8
12,3,3,75,8
13,5,5,75,8
14,4,4,75,8
15,4,6,75,8
1,5,10,76,8
2,8,10,76,8
3,8,8,76,8
4,8,9,76,8
5,7,8,76,8
6,9,10,76,8
7,6,8,76,8
8,7,6,76,8
9,9,5,76,8
10,6,6,76,8
11,9,7,76,8
12,8,6,76,8
13,6,9,76,8
14,10,8,76,8
15,6,10,76,8
1,5,5,77,9
2,4,6,77,9
3,6,6,77,9
4,5,6,77,9
5,5,5,77,9
6,6,6,77,9
7,6,7,77,9
8,5,4,77,9
9,6,6,77,9
10,5,5,77,9
11,5,7,77,9
12,5,6,77,9
13,6,7,77,9
14,4,5,77,9
15,4,7,77,9
1,7,6,78,12
2,7,6,78,12
3,6,6,78,12
4,6,8,78,12
5,7,7,78,12
6,8,8,78,12
7,9,7,78,12
8,6,5,78,12
9,6,4,78,12
10,6,6,78,12
11,7,6,78,12
12,7,6,78,12
13,9,6,78,12
14,7,5,78,12
15,8,7,78,12
1,6,5,79,15
2,9,8,79,15
3,7,9,79,15
4,7,8,79,15
5,7,7,79,15
6,8,9,79,15
7,6,5,79,15
8,6,4,79,15
9,10,5,79,15
10,5,3,79,15
11,8,6,79,15
12,9,4,79,15
13,10,9,79,15
14,7,6,79,15
15,8,11,79,15
1,5,8,80,7
2,7,4,80,7
3,4,7,80,7
4,10,7,80,7
5,8,7,80,7
6,8,8,80,7
7,7,10,80,7
8,5,10,80,7
9,7,5,80,7
10,7,7,80,7
11,7,8,80,7
12,5,4,80,7
13,7,8,80,7
14,6,6,80,7
15,5,8,80,7
1,6,7,81,5
2,6,7,81,5
3,4,5,81,5
4,5,5,81,5
5,6,7,81,5
6,5,6,81,5
7,6,6,81,5
8,3,3,81,5
9,5,7,81,5
10,4,7,81,5
11,6,7,81,5
12,6,5,81,5
13,6,7,81,5
14,5,7,81,5
15,6,7,81,5
1,10,9,82,12
2,9,7,82,12
3,9,6,82,12
4,9,7,82,12
5,8,9,82,12
6,8,4,82,12
7,5,10,82,12
8,5,5,82,12
9,9,7,82,12
10,9,4,82,12
11,8,8,82,12
12,7,9,82,12
13,8,9,82,12
14,7,7,82,12
15,6,11,82,12
1,6,9,83,15
2,8,9,83,15
3,7,6,83,15
4,7,8,83,15
5,6,5,83,15
6,5,8,83,15
7,5,7,83,15
8,5,8,83,15
9,7,5,83,15
10,8,8,83,15
11,7,6,83,15
12,9,6,83,15
13,5,5,83,15
14,5,7,83,15
15,7,5,83,15
1,6,8,84,10
2,6,7,84,10
3,6,12,84,10
4,7,6,84,10
5,6,7,84,10
6,6,7,84,10
7,7,9,84,10
8,11,11,84,10
9,9,5,84,10
10,6,6,84,10
11,5,7,84,10
12,11,10,84,10
13,5,8,84,10
14,9,5,84,10
15,9,5,84,10
1,9,8,85,5
2,8,6,85,5
3,9,9,85,5
4,10,8,85,5
5,9,10,85,5
6,8,9,85,5
7,9,10,85,5
8,3,7,85,5
9,7,7,85,5
10,8,7,85,5
11,8,9,85,5
12,8,7,85,5
13,10,8,85,5
14,4,7,85,5
15,5,4,85,5
1,8,9,86,6
2,9,9,86,6
3,6,6,86,6
4,6,6,86,6
5,9,7,86,6
6,5,9,86,6
7,10,8,86,6
8,6,9,86,6
9,7,9,86,6
10,6,8,86,6
11,4,8,86,6
12,4,8,86,6
13,9,7,86,6
14,4,6,86,6
15,9,10,86,6
1,5,5,87,9
2,4,3,87,9
3,5,6,87,9
4,5,5,87,9
5,5,4,87,9
6,6,4,87,9
7,6,3,87,9
8,3,4,87,9
9,5,3,87,9
10,4,4,87,9
11,6,4,87,9
12,5,5,87,9
13,5,6,87,9
14,4,5,87,9
15,5,4,87,9
1,6,6,88,6
2,5,8,88,6
3,7,9,88,6
4,5,11,88,6
5,8,8,88,6
6,7,8,88,6
7,5,7,88,6
8,9,9,88,6
9,5,7,88,6
10,9,7,88,6
11,9,9,88,6
12,7,10,88,6
13,5,9,88,6
14,5,8,88,6
15,8,8,88,6
1,6,5,89,7
2,6,5,89,7
3,6,4,89,7
4,6,4,89,7
5,6,6,89,7
6,6,6,89,7
7,5,7,89,7
8,3,3,89,7
9,5,4,89,7
10,5,6,89,7
11,6,5,89,7
12,5,5,89,7
13,6,6,89,7
14,5,4,89,7
15,6,6,89,7
1,6,7,90,3
2,6,7,90,3
3,6,5,90,3
4,6,6,90,3
5,6,7,90,3
6,6,7,90,3
7,5,7,90,3
8,3,3,90,3
9,4,6,90,3
10,6,7,90,3
11,6,6,90,3
12,6,7,90,3
13,6,7,90,3
14,5,5,90,3
15,6,7,90,3
1,5,6,91,7
2,5,6,91,7
3,5,5,91,7
4,5,5,91,7
5,5,6,91,7
6,5,5,91,7
7,5,6,91,7
8,4,4,91,7
9,4,5,91,7
10,5,6,91,7
11,5,6,91,7
12,5,6,91,7
13,5,5,91,7
14,4,6,91,7
15,5,6,91,7
1,4,6,92,9
2,5,5,92,9
3,4,5,92,9
4,5,5,92,9
5,5,7,92,9
6,4,5,92,9
7,5,6,92,9
8,3,3,92,9
9,4,4,92,9
10,5,5,92,9
11,5,6,92,9
12,6,6,92,9
13,5,5,92,9
14,3,4,92,9
15,5,6,92,9
1,6,7,93,10
2,6,7,93,10
3,4,4,93,10
4,6,6,93,10
5,6,7,93,10
6,6,4,93,10
7,4,3,93,10
8,4,3,93,10
9,5,4,93,10
10,5,6,93,10
11,5,6,93,10
12,6,7,93,10
13,5,6,93,10
14,6,7,93,10
15,6,4,93,10
1,5,6,94,10
