"","CageID","Date","Days_in_Trt","weeks_of_age","Tot_Consumed_g","Consumption","Production","Side","Tier","Distance_from_door","Treatment","Position","Block"
"110",3876,2008-10-10,130,38.2857,1528,101.867,0.82857,1,1,9,19,"back","1.1.back"
"111",3876,2008-11-06,157,42.1429,1450,96.667,0.94286,1,1,9,19,"back","1.1.back"
"112",3876,2008-12-09,190,46.8571,1433,95.533,0.8,1,1,9,19,"back","1.1.back"
"113",3876,2009-01-01,213,50.1429,1460,97.333,0.88571,1,1,9,19,"back","1.1.back"
"114",3876,2009-01-29,241,54.1429,1559,103.933,0.8,1,1,9,19,"back","1.1.back"
"115",3876,2009-02-26,269,58.1429,1781,118.733,0.85714,1,1,9,19,"back","1.1.back"
"116",3876,2009-03-30,301,62.7143,1454,96.933,0.71429,1,1,9,19,"back","1.1.back"
"117",3876,2009-04-23,325,66.1429,1538,102.533,0.8,1,1,9,19,"back","1.1.back"
"118",3880,2008-05-23,-10,18.2857,993,66.2,NA,1,1,10,11.5,"back","1.1.back"
"119",3880,2008-06-19,17,22.1429,1181,78.733,0.6,1,1,10,11.5,"back","1.1.back"
"120",3880,2008-07-25,53,27.2857,1410,94,0.94286,1,1,10,11.5,"back","1.1.back"
"121",3880,2008-08-18,77,30.7143,1423,94.867,0.88571,1,1,10,11.5,"back","1.1.back"
"122",3880,2008-09-11,101,34.1429,1496,99.733,0.97143,1,1,10,11.5,"back","1.1.back"
"123",3880,2008-10-10,130,38.2857,1511,100.733,0.94286,1,1,10,11.5,"back","1.1.back"
"124",3880,2008-11-06,157,42.1429,1344,89.6,0.85714,1,1,10,11.5,"back","1.1.back"
"125",3880,2008-12-09,190,46.8571,1382,92.133,0.82857,1,1,10,11.5,"back","1.1.back"
"126",3880,2009-01-01,213,50.1429,1374,91.6,0.8,1,1,10,11.5,"back","1.1.back"
"127",3880,2009-01-29,241,54.1429,1278,85.2,0.8,1,1,10,11.5,"back","1.1.back"
"128",3880,2009-02-26,269,58.1429,1539,102.6,0.85714,1,1,10,11.5,"back","1.1.back"
"129",3880,2009-03-30,301,62.7143,1404,93.6,0.77143,1,1,10,11.5,"back","1.1.back"
"130",3880,2009-04-23,325,66.1429,1329,88.6,0.97143,1,1,10,11.5,"back","1.1.back"
"131",3884,2008-05-23,-10,18.2857,1211,80.733,NA,1,1,11,14,"back","1.1.back"
"132",3884,2008-06-19,17,22.1429,1061,70.733,0.82857,1,1,11,14,"back","1.1.back"
"133",3884,2008-07-25,53,27.2857,1779,118.6,0.91429,1,1,11,14,"back","1.1.back"
"134",3884,2008-08-18,77,30.7143,1018,67.867,0.85714,1,1,11,14,"back","1.1.back"
"135",3884,2008-09-11,101,34.1429,1650,110,0.85714,1,1,11,14,"back","1.1.back"
"136",3884,2008-10-10,130,38.2857,1804,120.267,0.88571,1,1,11,14,"back","1.1.back"
"137",3884,2008-11-06,157,42.1429,1398,93.2,0.91429,1,1,11,14,"back","1.1.back"
"138",3884,2008-12-09,190,46.8571,1513,100.867,0.77143,1,1,11,14,"back","1.1.back"
"139",3884,2009-01-01,213,50.1429,1537,102.467,0.94286,1,1,11,14,"back","1.1.back"
"140",3884,2009-01-29,241,54.1429,1383,92.2,0.85714,1,1,11,14,"back","1.1.back"
"141",3884,2009-02-26,269,58.1429,1616,107.733,0.85714,1,1,11,14,"back","1.1.back"
"142",3884,2009-03-30,301,62.7143,1408,93.867,0.74286,1,1,11,14,"back","1.1.back"
"143",3884,2009-04-23,325,66.1429,1401,93.4,0.85714,1,1,11,14,"back","1.1.back"
"144",3888,2008-05-23,-10,18.2857,1081,72.067,NA,1,1,12,24,"back","1.1.back"
"145",3888,2008-06-19,17,22.1429,980,65.333,0.88571,1,1,12,24,"back","1.1.back"
"146",3888,2008-07-25,53,27.2857,1227,81.8,1,1,1,12,24,"back","1.1.back"
"147",3888,2008-08-18,77,30.7143,1330,88.667,0.91429,1,1,12,24,"back","1.1.back"
"148",3888,2008-09-11,101,34.1429,1271,84.733,0.94286,1,1,12,24,"back","1.1.back"
"149",3888,2008-10-10,130,38.2857,1477,98.467,0.94286,1,1,12,24,"back","1.1.back"
"150",3888,2008-11-06,157,42.1429,1378,91.867,0.97143,1,1,12,24,"back","1.1.back"
"151",3888,2008-12-09,190,46.8571,1503,100.2,0.85714,1,1,12,24,"back","1.1.back"
"152",3888,2009-01-01,213,50.1429,1521,101.4,0.88571,1,1,12,24,"back","1.1.back"
"153",3888,2009-01-29,241,54.1429,1477,98.467,0.85714,1,1,12,24,"back","1.1.back"
"154",3888,2009-02-26,269,58.1429,1544,102.933,0.85714,1,1,12,24,"back","1.1.back"
"155",3888,2009-03-30,301,62.7143,1476,98.4,0.77143,1,1,12,24,"back","1.1.back"
"156",3888,2009-04-23,325,66.1429,1393,92.867,0.82857,1,1,12,24,"back","1.1.back"
"157",3933,2008-05-23,-10,18.2857,1416,94.4,NA,1,2,1,21.5,"front","1.2.front"
"158",3933,2008-06-19,17,22.1429,1001,66.733,0.91429,1,2,1,21.5,"front","1.2.front"
"159",3933,2008-07-25,53,27.2857,1398,93.2,0.94286,1,2,1,21.5,"front","1.2.front"
"160",3933,2008-08-18,77,30.7143,1321,88.067,0.94286,1,2,1,21.5,"front","1.2.front"
"161",3933,2008-09-11,101,34.1429,1405,93.667,0.88571,1,2,1,21.5,"front","1.2.front"
"162",3933,2008-10-10,130,38.2857,1523,101.533,0.88571,1,2,1,21.5,"front","1.2.front"
"163",3933,2008-11-06,157,42.1429,1195,79.667,0.85714,1,2,1,21.5,"front","1.2.front"
"164",3933,2008-12-09,190,46.8571,1156,77.067,0.85714,1,2,1,21.5,"front","1.2.front"
"165",3933,2009-01-01,213,50.1429,1086,72.4,0.91429,1,2,1,21.5,"front","1.2.front"
"166",3933,2009-01-29,241,54.1429,1139,75.933,0.74286,1,2,1,21.5,"front","1.2.front"
"167",3933,2009-02-26,269,58.1429,1372,91.467,0.62857,1,2,1,21.5,"front","1.2.front"
"168",3933,2009-03-30,301,62.7143,1130,75.333,0.68571,1,2,1,21.5,"front","1.2.front"
"169",3933,2009-04-23,325,66.1429,998,66.533,0.54286,1,2,1,21.5,"front","1.2.front"
"170",3929,2008-05-23,-10,18.2857,1322,88.133,NA,1,2,2,11.5,"front","1.2.front"
"171",3929,2008-06-19,17,22.1429,1350,90,0.71429,1,2,2,11.5,"front","1.2.front"
"172",3929,2008-07-25,53,27.2857,1824,121.6,0.91429,1,2,2,11.5,"front","1.2.front"
"173",3929,2008-08-18,77,30.7143,1268,84.533,0.91429,1,2,2,11.5,"front","1.2.front"
"174",3929,2008-09-11,101,34.1429,1456,97.067,0.94286,1,2,2,11.5,"front","1.2.front"
"175",3929,2008-10-10,130,38.2857,1498,99.867,0.85714,1,2,2,11.5,"front","1.2.front"
"176",3929,2008-11-06,157,42.1429,1376,91.733,0.91429,1,2,2,11.5,"front","1.2.front"
"177",3929,2008-12-09,190,46.8571,1303,86.867,0.82857,1,2,2,11.5,"front","1.2.front"
"178",3929,2009-01-01,213,50.1429,1473,98.2,0.94286,1,2,2,11.5,"front","1.2.front"
"179",3929,2009-01-29,241,54.1429,1267,84.467,0.82857,1,2,2,11.5,"front","1.2.front"
"180",3929,2009-02-26,269,58.1429,1555,103.667,0.77143,1,2,2,11.5,"front","1.2.front"
"181",3929,2009-03-30,301,62.7143,1382,92.133,0.68571,1,2,2,11.5,"front","1.2.front"
"182",3929,2009-04-23,325,66.1429,1372,91.467,0.8,1,2,2,11.5,"front","1.2.front"
"183",3925,2008-05-23,-10,18.2857,1221,81.4,NA,1,2,3,16.5,"front","1.2.front"
"184",3925,2008-06-19,17,22.1429,1240,82.667,0.74286,1,2,3,16.5,"front","1.2.front"
"185",3925,2008-07-25,53,27.2857,1384,92.267,0.91429,1,2,3,16.5,"front","1.2.front"
"186",3925,2008-08-18,77,30.7143,1338,89.2,0.91429,1,2,3,16.5,"front","1.2.front"
"187",3925,2008-09-11,101,34.1429,1693,112.867,0.91429,1,2,3,16.5,"front","1.2.front"
"188",3925,2008-10-10,130,38.2857,1478,98.533,0.88571,1,2,3,16.5,"front","1.2.front"
"189",3925,2008-11-06,157,42.1429,1378,91.867,0.88571,1,2,3,16.5,"front","1.2.front"
"190",3925,2008-12-09,190,46.8571,1201,80.067,0.74286,1,2,3,16.5,"front","1.2.front"
"191",3921,2008-05-23,-10,18.2857,1021,68.067,NA,1,2,4,24,"front","1.2.front"
"192",3921,2008-06-19,17,22.1429,1233,82.2,0.88571,1,2,4,24,"front","1.2.front"
"193",3921,2008-07-25,53,27.2857,1378,91.867,0.97143,1,2,4,24,"front","1.2.front"
"194",3921,2008-08-18,77,30.7143,1386,92.4,0.91429,1,2,4,24,"front","1.2.front"
"195",3921,2008-09-11,101,34.1429,1553,103.533,1.05714,1,2,4,24,"front","1.2.front"
"196",3921,2008-10-10,130,38.2857,1510,100.667,0.97143,1,2,4,24,"front","1.2.front"
"197",3921,2008-11-06,157,42.1429,1447,96.467,0.82857,1,2,4,24,"front","1.2.front"
"198",3921,2008-12-09,190,46.8571,1388,92.533,0.94286,1,2,4,24,"front","1.2.front"
"199",3921,2009-01-01,213,50.1429,1556,103.733,1,1,2,4,24,"front","1.2.front"
"200",3921,2009-01-29,241,54.1429,1387,92.467,0.94286,1,2,4,24,"front","1.2.front"
"201",3921,2009-02-26,269,58.1429,1512,100.8,0.94286,1,2,4,24,"front","1.2.front"
"202",3921,2009-03-30,301,62.7143,1403,93.533,0.88571,1,2,4,24,"front","1.2.front"
"203",3921,2009-04-23,325,66.1429,1476,98.4,0.94286,1,2,4,24,"front","1.2.front"
"204",3917,2008-05-23,-10,18.2857,1252,83.467,NA,1,2,5,14,"front","1.2.front"
"205",3917,2008-06-19,17,22.1429,976,65.067,0.85714,1,2,5,14,"front","1.2.front"
"206",3917,2008-07-25,53,27.2857,1559,103.933,1,1,2,5,14,"front","1.2.front"
"207",3917,2008-08-18,77,30.7143,1394,92.933,0.94286,1,2,5,14,"front","1.2.front"
"208",3917,2008-09-11,101,34.1429,1592,106.133,1,1,2,5,14,"front","1.2.front"
"209",3917,2008-10-10,130,38.2857,1526,101.733,0.94286,1,2,5,14,"front","1.2.front"
"210",3917,2008-11-06,157,42.1429,1491,99.4,0.97143,1,2,5,14,"front","1.2.front"
"211",3917,2008-12-09,190,46.8571,1358,90.533,0.77143,1,2,5,14,"front","1.2.front"
"212",3917,2009-01-01,213,50.1429,1527,101.8,0.85714,1,2,5,14,"front","1.2.front"
"213",3917,2009-01-29,241,54.1429,1160,77.333,0.8,1,2,5,14,"front","1.2.front"
"214",3917,2009-02-26,269,58.1429,1626,108.4,0.74286,1,2,5,14,"front","1.2.front"
"215",3917,2009-03-30,301,62.7143,1474,98.267,0.71429,1,2,5,14,"front","1.2.front"
"216",3917,2009-04-23,325,66.1429,1252,83.467,0.77143,1,2,5,14,"front","1.2.front"
"217",3913,2008-05-23,-10,18.2857,1105,73.667,NA,1,2,6,19,"front","1.2.front"
"218",3913,2008-06-19,17,22.1429,1295,86.333,0.88571,1,2,6,19,"front","1.2.front"
"219",3913,2008-07-25,53,27.2857,1625,108.333,0.91429,1,2,6,19,"front","1.2.front"
"220",3913,2008-08-18,77,30.7143,1379,91.933,0.88571,1,2,6,19,"front","1.2.front"
"221",3913,2008-09-11,101,34.1429,1545,103,0.97143,1,2,6,19,"front","1.2.front"
"222",3913,2008-10-10,130,38.2857,1540,102.667,0.94286,1,2,6,19,"front","1.2.front"
"223",3913,2008-11-06,157,42.1429,1520,101.333,0.97143,1,2,6,19,"front","1.2.front"
"224",3913,2008-12-09,190,46.8571,1005,67,0.8,1,2,6,19,"front","1.2.front"
"225",3913,2009-01-01,213,50.1429,1427,95.133,1.05714,1,2,6,19,"front","1.2.front"
"226",3913,2009-01-29,241,54.1429,923,61.533,0.94286,1,2,6,19,"front","1.2.front"
"227",3913,2009-02-26,269,58.1429,1828,121.867,0.8,1,2,6,19,"front","1.2.front"
"228",3913,2009-03-30,301,62.7143,1674,111.6,0.88571,1,2,6,19,"front","1.2.front"
"229",3913,2009-04-23,325,66.1429,1475,98.333,0.91429,1,2,6,19,"front","1.2.front"
"230",3909,2008-05-23,-10,18.2857,1146,76.4,NA,1,2,7,11.5,"back","1.2.back"
"231",3909,2008-06-19,17,22.1429,1366,91.067,0.88571,1,2,7,11.5,"back","1.2.back"
"232",3909,2008-07-25,53,27.2857,1691,112.733,0.85714,1,2,7,11.5,"back","1.2.back"
"233",3909,2008-08-18,77,30.7143,1375,91.667,0.77143,1,2,7,11.5,"back","1.2.back"
"234",3909,2008-09-11,101,34.1429,1634,108.933,1.02857,1,2,7,11.5,"back","1.2.back"
"235",3909,2008-10-10,130,38.2857,1601,106.733,0.91429,1,2,7,11.5,"back","1.2.back"
"236",3909,2008-11-06,157,42.1429,1580,105.333,0.97143,1,2,7,11.5,"back","1.2.back"
"237",3909,2008-12-09,190,46.8571,1493,99.533,0.94286,1,2,7,11.5,"back","1.2.back"
"238",3909,2009-01-01,213,50.1429,1594,106.267,0.94286,1,2,7,11.5,"back","1.2.back"
"239",3909,2009-01-29,241,54.1429,1520,101.333,0.91429,1,2,7,11.5,"back","1.2.back"
"240",3909,2009-02-26,269,58.1429,1700,113.333,0.88571,1,2,7,11.5,"back","1.2.back"
"241",3909,2009-03-30,301,62.7143,1375,91.667,0.91429,1,2,7,11.5,"back","1.2.back"
"242",3909,2009-04-23,325,66.1429,1388,92.533,0.82857,1,2,7,11.5,"back","1.2.back"
"243",3905,2008-05-23,-10,18.2857,1303,86.867,NA,1,2,8,21.5,"back","1.2.back"
"244",3905,2008-06-19,17,22.1429,1071,71.4,0.82857,1,2,8,21.5,"back","1.2.back"
"245",3905,2008-07-25,53,27.2857,1339,89.267,0.97143,1,2,8,21.5,"back","1.2.back"
"246",3905,2008-08-18,77,30.7143,1240,82.667,0.97143,1,2,8,21.5,"back","1.2.back"
"247",3905,2008-09-11,101,34.1429,1257,83.8,0.97143,1,2,8,21.5,"back","1.2.back"
"248",3905,2008-10-10,130,38.2857,1454,96.933,0.94286,1,2,8,21.5,"back","1.2.back"
"249",3905,2008-11-06,157,42.1429,1273,84.867,0.91429,1,2,8,21.5,"back","1.2.back"
"250",3905,2008-12-09,190,46.8571,1193,79.533,0.85714,1,2,8,21.5,"back","1.2.back"
"251",3905,2009-01-01,213,50.1429,1281,85.4,0.91429,1,2,8,21.5,"back","1.2.back"
"252",3905,2009-01-29,241,54.1429,1117,74.467,0.85714,1,2,8,21.5,"back","1.2.back"
"253",3905,2009-02-26,269,58.1429,1510,100.667,0.97143,1,2,8,21.5,"back","1.2.back"
"254",3905,2009-03-30,301,62.7143,1768,117.867,0.82857,1,2,8,21.5,"back","1.2.back"
"255",3905,2009-04-23,325,66.1429,1204,80.267,0.85714,1,2,8,21.5,"back","1.2.back"
"256",3901,2008-05-23,-10,18.2857,1198,79.867,NA,1,2,9,24,"back","1.2.back"
"257",3901,2008-06-19,17,22.1429,1159,77.267,0.77143,1,2,9,24,"back","1.2.back"
"258",3901,2008-07-25,53,27.2857,1281,85.4,0.85714,1,2,9,24,"back","1.2.back"
"259",3901,2008-08-18,77,30.7143,1370,91.333,0.97143,1,2,9,24,"back","1.2.back"
"260",3901,2008-09-11,101,34.1429,1301,86.733,0.97143,1,2,9,24,"back","1.2.back"
"261",3901,2008-10-10,130,38.2857,1424,94.933,0.91429,1,2,9,24,"back","1.2.back"
"262",3901,2008-11-06,157,42.1429,1271,84.733,0.97143,1,2,9,24,"back","1.2.back"
"263",3901,2008-12-09,190,46.8571,1262,84.133,0.71429,1,2,9,24,"back","1.2.back"
"264",3901,2009-01-01,213,50.1429,1301,86.733,0.97143,1,2,9,24,"back","1.2.back"
"265",3901,2009-01-29,241,54.1429,917,61.133,0.77143,1,2,9,24,"back","1.2.back"
"266",3901,2009-02-26,269,58.1429,1306,87.067,0.88571,1,2,9,24,"back","1.2.back"
"267",3901,2009-03-30,301,62.7143,1372,91.467,0.82857,1,2,9,24,"back","1.2.back"
"268",3901,2009-04-23,325,66.1429,1154,76.933,0.71429,1,2,9,24,"back","1.2.back"
"269",3897,2008-06-19,17,22.1429,1049,69.933,0.77143,1,2,10,16.5,"back","1.2.back"
"270",3897,2008-07-25,53,27.2857,1256,83.733,0.91429,1,2,10,16.5,"back","1.2.back"
"271",3897,2008-08-18,77,30.7143,1173,78.2,0.91429,1,2,10,16.5,"back","1.2.back"
"272",3897,2008-09-11,101,34.1429,1228,81.867,0.82857,1,2,10,16.5,"back","1.2.back"
"273",3897,2008-10-10,130,38.2857,1371,91.4,0.91429,1,2,10,16.5,"back","1.2.back"
