空き巣,不在時間,会話,築年数,セキュリティ,飼い犬
あり,7.72,1,20,加入,なし
あり,5.59,0,22,加入,なし
なし,6.2,0,25,加入,なし
なし,3.89,1,0,非加入,あり
あり,2.34,2,10,非加入,なし
なし,0,2,11,非加入,あり
あり,5.25,0,15,加入,なし
なし,3.98,0,13,加入,なし
なし,4.47,2,5,加入,なし
なし,3,1,16,非加入,なし
なし,0,2,22,加入,なし
なし,5.02,1,5,加入,なし
あり,4.16,0,22,非加入,なし
なし,6.61,0,11,加入,あり
あり,7.53,1,2,非加入,あり
あり,6.22,0,15,非加入,なし
なし,3.27,0,15,非加入,なし
なし,3.4,2,24,非加入,なし
あり,4.52,2,24,非加入,なし
なし,0,1,5,加入,なし
なし,5.3,2,5,加入,なし
なし,3.18,0,13,非加入,なし
あり,7.06,0,17,非加入,なし
あり,2.37,2,19,非加入,なし
あり,5.47,1,20,非加入,あり
あり,3.56,1,8,加入,なし
なし,1.43,2,2,非加入,なし
なし,5.67,1,18,非加入,なし
あり,6.4,1,11,非加入,あり
あり,6.49,1,10,加入,なし
なし,5.66,2,3,非加入,なし
なし,5.22,0,24,非加入,なし
なし,0,2,16,非加入,なし
あり,3.09,0,22,非加入,なし
なし,2.19,1,23,非加入,なし
あり,6.99,0,6,非加入,なし
あり,6.27,0,5,非加入,なし
あり,6.99,1,17,加入,なし
なし,4.49,1,5,非加入,なし
なし,6.04,0,24,非加入,なし
なし,3.05,0,0,非加入,なし
あり,6.61,1,9,非加入,なし
あり,6.79,0,9,非加入,なし
あり,1.7,1,19,非加入,なし
あり,2.65,1,3,加入,なし
なし,6.33,2,15,加入,あり
あり,6.62,1,15,非加入,なし
あり,6.88,1,18,非加入,なし
なし,5.58,1,3,非加入,なし
あり,7.21,0,18,非加入,なし
なし,2.64,1,17,加入,なし
なし,5.72,0,20,加入,なし
なし,2.93,0,22,加入,あり
なし,4.12,2,15,非加入,なし
あり,0,1,22,非加入,なし
なし,2.86,2,22,加入,なし
あり,3.12,2,11,加入,あり
なし,4.71,1,4,非加入,なし
なし,5.11,1,16,非加入,なし
なし,3.47,1,21,非加入,なし
なし,0,1,16,加入,なし
あり,0,1,20,非加入,なし
あり,6.38,1,7,非加入,なし
なし,7.88,1,9,加入,あり
なし,0,1,11,加入,なし
なし,3.48,1,24,加入,あり
なし,4.41,0,9,非加入,あり
なし,6.06,2,17,加入,あり
なし,4.05,0,17,加入,なし
なし,0.76,0,10,非加入,なし
あり,8.56,1,9,非加入,なし
なし,5.21,1,1,非加入,なし
なし,4.45,2,24,加入,なし
なし,2.98,1,7,加入,あり
あり,4.19,1,19,非加入,あり
なし,0,0,1,加入,なし
あり,4.71,1,11,非加入,なし
なし,2.95,1,2,加入,なし
なし,0.59,1,24,加入,なし
なし,1.62,1,10,加入,なし
あり,3.02,1,5,加入,なし
あり,5.77,1,9,非加入,なし
なし,3.39,0,6,非加入,あり
なし,2.78,1,17,非加入,なし
なし,1.37,2,10,非加入,なし
あり,3.51,1,7,非加入,なし
なし,5.68,2,13,非加入,あり
あり,8.44,1,8,非加入,なし
あり,6.22,1,3,加入,なし
あり,0.82,2,1,加入,なし
なし,3.98,1,0,非加入,なし
なし,3.08,1,15,非加入,なし
なし,4.21,3,5,非加入,あり
あり,7.41,1,15,非加入,なし
なし,3.49,0,19,加入,なし
なし,3.16,1,13,非加入,なし
あり,3.08,1,20,非加入,なし
あり,4.83,1,13,加入,なし
あり,4.97,1,24,加入,なし
あり,5.85,2,14,加入,なし
なし,0.64,1,10,非加入,なし
あり,1.78,2,19,非加入,なし
あり,9,1,14,非加入,なし
なし,2.51,1,10,非加入,なし
あり,5.54,1,16,加入,なし
なし,1.78,1,24,非加入,なし
なし,3.12,1,19,非加入,なし
なし,0.56,1,23,加入,なし
あり,7.94,1,25,加入,なし
あり,4.46,0,5,加入,なし
なし,5.33,0,2,非加入,あり
あり,6.57,1,19,非加入,あり
なし,4.57,1,15,非加入,なし
あり,6.89,0,20,非加入,なし
あり,8.8,1,23,非加入,なし
あり,8.17,2,11,非加入,なし
なし,2.26,1,9,非加入,なし
あり,2.65,1,12,加入,なし
あり,6.09,1,19,加入,なし
なし,3.06,1,5,加入,あり
なし,4.98,1,18,加入,なし
あり,5.29,1,16,非加入,なし
あり,6.02,0,4,加入,なし
あり,7.3,0,24,加入,なし
なし,0.77,1,24,加入,なし
なし,7.88,1,2,非加入,なし
なし,3.02,1,8,非加入,なし
あり,2.22,0,21,非加入,なし
あり,4.67,1,22,加入,あり
あり,6.18,0,24,加入,なし
あり,5.23,0,5,非加入,なし
あり,4.78,1,7,加入,なし
なし,2.79,2,12,非加入,なし
あり,5.08,1,4,加入,なし
なし,0.91,1,20,非加入,なし
あり,1.43,1,14,加入,なし
あり,5.67,0,11,非加入,なし
なし,2.61,1,0,加入,あり
なし,3.94,1,10,加入,なし
なし,5.1,2,8,非加入,なし
なし,2.11,2,1,非加入,あり
あり,3.73,1,17,加入,なし
あり,4.19,1,17,非加入,なし
あり,2.17,0,17,非加入,なし
あり,6.26,1,11,加入,なし
なし,4.11,1,24,非加入,なし
なし,4.59,0,12,加入,なし
あり,0.9,1,20,非加入,なし
あり,9,0,5,加入,なし
あり,2.72,0,12,非加入,なし
あり,4.6,1,1,非加入,なし
なし,3.41,1,8,非加入,なし
なし,1.1,2,13,加入,なし
あり,2.38,0,0,加入,なし
なし,0.53,1,6,非加入,なし
なし,1.96,1,5,非加入,なし
あり,7.45,2,5,加入,なし
なし,5.52,0,12,加入,なし
なし,2.5,0,3,非加入,なし
なし,4.17,2,15,加入,なし
なし,2.88,0,14,非加入,なし
なし,1.26,1,14,加入,なし
あり,2.98,2,11,加入,なし
あり,6.8,1,1,加入,なし
あり,4.49,0,14,非加入,なし
あり,0,2,14,非加入,なし
なし,4.91,1,16,非加入,なし
あり,5.93,1,9,加入,なし
あり,5.82,1,10,加入,なし
なし,4.65,1,6,非加入,あり
なし,5.25,1,12,非加入,あり
なし,2.33,0,12,非加入,なし
あり,3.72,1,24,加入,なし
なし,1.95,1,6,非加入,なし
なし,4.5,1,9,加入,あり
なし,1.52,1,5,非加入,なし
なし,5.77,2,20,加入,なし
なし,5.83,1,15,加入,なし
あり,5.49,1,23,非加入,なし
なし,2.52,1,12,非加入,なし
なし,3.32,1,1,加入,なし
あり,1.98,1,22,加入,なし
あり,3.03,0,17,非加入,なし
なし,1.81,1,19,加入,なし
なし,3.95,1,12,加入,なし
あり,7.46,1,1,加入,あり
あり,5.84,1,13,非加入,あり
あり,4.14,1,25,非加入,あり
なし,0.46,2,11,加入,なし
あり,7.36,1,18,加入,なし
なし,3.1,0,20,非加入,あり
なし,0.79,1,1,非加入,なし
あり,5.23,0,15,非加入,なし
あり,3.06,2,13,非加入,あり
なし,1.34,2,5,加入,なし
なし,3.4,2,17,加入,なし
あり,4.01,1,3,非加入,なし
なし,1.69,2,2,加入,なし
なし,4.82,1,12,加入,なし
なし,5.37,2,21,加入,なし
あり,4.85,0,5,非加入,なし
あり,3.21,0,9,加入,なし
なし,7.94,1,6,非加入,なし
あり,8.72,1,15,非加入,なし
なし,6.66,1,24,加入,なし
あり,2.92,1,15,非加入,なし
あり,5.29,1,17,非加入,なし
あり,2.45,1,20,非加入,なし
なし,3.65,1,10,非加入,なし
なし,4.28,2,12,加入,なし
なし,3.57,1,18,加入,なし
なし,0.07,2,14,加入,なし
なし,5.92,1,20,加入,なし
あり,3.17,1,13,非加入,なし
あり,4.62,1,14,非加入,なし
あり,3.7,1,24,非加入,なし
なし,3.22,1,4,加入,なし
あり,4.8,0,8,加入,なし
あり,3.87,1,2,加入,なし
なし,3.16,1,24,非加入,なし
あり,2.13,0,18,加入,なし
あり,8.3,0,3,加入,なし
あり,5.35,2,5,加入,なし
あり,3.73,0,20,非加入,なし
なし,1.23,1,20,加入,あり
なし,9,1,14,加入,なし
なし,2.76,2,21,加入,なし
あり,6.55,1,24,非加入,なし
あり,1.71,1,9,加入,なし
なし,5.21,0,15,非加入,なし
なし,2.19,1,3,加入,なし
なし,0,2,2,加入,なし
あり,7.75,1,1,加入,なし
あり,3.25,1,18,加入,なし
なし,4.41,1,21,加入,なし
なし,5.26,0,12,加入,なし
あり,2.58,1,6,非加入,あり
あり,2.13,1,1,非加入,なし
あり,6.07,0,8,非加入,なし
なし,3.06,2,17,加入,なし
あり,5.53,0,7,非加入,なし
なし,1.42,2,9,加入,なし
あり,5.58,1,22,非加入,なし
なし,1.75,1,23,非加入,なし
なし,4.24,2,14,非加入,なし
あり,4.66,2,8,非加入,なし
あり,8.65,1,16,非加入,なし
なし,4.89,2,6,非加入,なし
なし,5.85,1,17,加入,なし
なし,3.77,1,1,加入,あり
あり,4.56,1,18,非加入,なし
あり,5.13,0,14,加入,あり
なし,5.01,1,20,加入,なし
あり,3.58,1,23,非加入,なし
なし,5.15,1,5,非加入,なし
あり,5.47,0,17,非加入,なし
なし,4.03,1,7,非加入,あり
なし,0.44,1,15,加入,なし
なし,1.83,1,17,非加入,なし
あり,5.81,2,2,非加入,なし
なし,0.93,1,1,非加入,なし
あり,7.59,0,12,非加入,なし
あり,6.2,1,16,非加入,あり
なし,2.66,1,19,加入,なし
あり,3.01,1,3,加入,なし
あり,3.77,1,23,加入,なし
なし,3.2,2,24,加入,なし
あり,3.89,1,20,非加入,なし
なし,0,1,21,非加入,あり
なし,2.77,2,11,非加入,なし
あり,3.38,2,5,非加入,なし
あり,5.94,1,3,非加入,あり
あり,9,1,18,非加入,なし
なし,4.43,2,23,加入,なし
あり,4.9,1,23,加入,なし
なし,4.97,1,21,非加入,なし
あり,6.45,0,14,加入,なし
あり,5.2,1,24,非加入,なし
あり,6.15,1,19,非加入,なし
あり,4.6,1,3,非加入,なし
なし,2.08,1,10,非加入,なし
なし,1.91,2,0,加入,なし
なし,5.48,1,1,非加入,なし
なし,0,2,16,非加入,なし
なし,2.85,1,24,非加入,なし
あり,8.49,1,18,非加入,なし
あり,2.29,1,10,非加入,なし
なし,5.67,1,12,加入,あり
なし,0.7,2,16,非加入,なし
なし,1.02,1,19,非加入,なし
あり,4.18,1,3,加入,なし
なし,7.76,1,18,加入,あり
なし,5.68,1,20,加入,なし
あり,3.49,1,7,非加入,なし
あり,2.6,1,21,非加入,なし
あり,6.7,1,7,非加入,なし
なし,5.97,1,20,非加入,あり
なし,4.28,2,17,非加入,なし
なし,6.64,1,5,加入,なし
あり,4.89,1,21,非加入,なし
あり,4.21,0,18,非加入,なし
あり,0.56,1,2,加入,なし
あり,8.08,1,25,非加入,なし
なし,1.73,1,23,加入,なし
なし,1.52,1,18,加入,なし
なし,4.75,1,10,加入,あり
なし,4.95,1,11,加入,あり
あり,3.29,2,2,非加入,なし
なし,2.8,1,11,非加入,あり
あり,7.27,0,19,非加入,あり
あり,8.3,1,5,加入,あり
あり,6.97,1,11,加入,なし
なし,7.19,1,7,加入,あり
なし,1.86,1,15,非加入,なし
あり,3.5,0,17,非加入,なし
あり,3.84,1,9,非加入,なし
なし,1.49,1,2,加入,なし
なし,2.75,2,16,加入,なし
なし,3.18,1,10,加入,なし
あり,4.25,1,18,加入,なし
なし,1.07,0,13,非加入,なし
なし,5.31,1,11,非加入,なし
なし,3.9,2,12,加入,あり
なし,5.33,0,6,加入,なし
なし,3.92,1,21,非加入,なし
あり,5.23,1,10,加入,なし
あり,3.79,0,16,非加入,なし
あり,5.4,1,20,非加入,あり
あり,4.84,1,15,加入,なし
なし,4.43,1,4,加入,なし
なし,4.8,1,23,非加入,なし
あり,7.73,1,5,加入,なし
なし,2.48,1,21,加入,あり
あり,6.44,1,6,加入,なし
なし,0,0,14,加入,なし
なし,3.77,1,19,非加入,なし
あり,4.07,0,13,加入,なし
なし,1.69,2,14,非加入,あり
あり,5.53,0,14,加入,なし
なし,0.39,1,21,非加入,なし
あり,7.15,1,21,非加入,なし
あり,3.19,1,12,加入,なし
あり,3.94,0,9,非加入,なし
なし,0.3,0,14,加入,なし
あり,6.13,1,6,加入,なし
なし,3.43,0,2,加入,なし
なし,3.43,0,24,加入,なし
なし,2.89,1,11,非加入,あり
あり,6.2,0,2,非加入,なし
あり,1.46,2,8,非加入,なし
あり,7.62,1,8,加入,なし
あり,1.55,2,22,非加入,なし
あり,5.62,0,2,非加入,なし
あり,9,0,11,加入,なし
なし,1.45,1,5,加入,あり
あり,1.4,1,23,非加入,なし
なし,2.47,1,16,非加入,なし
あり,6.56,0,9,非加入,なし
あり,3.11,1,17,非加入,なし
なし,5.25,1,14,加入,なし
なし,5.05,2,18,非加入,なし
なし,1.93,1,19,非加入,なし
あり,2.35,1,10,非加入,あり
なし,3.28,1,24,加入,なし
なし,1.24,0,23,加入,なし
あり,5.23,0,22,加入,なし
あり,7.03,1,24,加入,なし
あり,2.95,1,2,非加入,なし
あり,6.3,1,5,非加入,なし
なし,2.62,1,7,加入,なし
あり,7.82,1,18,非加入,なし
あり,3.54,1,6,非加入,なし
あり,8.09,0,7,加入,あり
あり,1.77,0,11,非加入,あり
あり,5.52,1,1,加入,なし
なし,4.76,1,4,加入,あり
あり,2.64,1,20,非加入,あり
なし,3.58,1,19,非加入,なし
あり,4.08,1,1,加入,なし
なし,0,1,2,加入,なし
あり,7.04,0,23,加入,なし
なし,1.28,1,12,加入,なし
あり,3.68,1,9,非加入,なし
なし,3.83,0,11,加入,あり
なし,3.31,0,2,加入,なし
あり,6.32,1,23,非加入,なし
なし,1.61,1,8,非加入,なし
なし,2.61,0,10,加入,なし
あり,8.55,0,9,非加入,なし
あり,4.37,0,9,加入,なし
あり,6.13,1,4,非加入,なし
あり,7.28,1,23,非加入,なし
なし,0,2,6,加入,なし
なし,5.45,1,9,非加入,なし
なし,2.66,1,14,非加入,なし
なし,0.45,1,20,非加入,なし
なし,3.95,1,17,加入,なし
あり,1.8,1,1,加入,なし
あり,6.74,0,12,非加入,なし
なし,5.43,1,12,加入,あり
あり,6.88,1,25,加入,なし
あり,3.42,1,20,加入,なし
あり,5.82,1,1,加入,なし
あり,6.8,1,7,非加入,あり
あり,7.47,1,1,加入,なし
なし,2.62,1,4,非加入,あり
なし,3.59,1,5,加入,なし
なし,5.33,1,20,加入,なし
あり,3.05,0,7,非加入,なし
なし,3.12,1,16,加入,なし
なし,3.32,1,11,非加入,なし
なし,6.66,1,24,加入,なし
なし,6.16,0,6,加入,なし
なし,6.73,1,1,加入,なし
あり,4.56,1,8,非加入,なし
なし,5.01,1,5,非加入,なし
あり,2.35,1,20,非加入,なし
なし,2.64,2,3,非加入,なし
なし,1.14,0,8,非加入,なし
なし,4.15,1,10,加入,なし
なし,0.95,2,19,加入,なし
なし,3.19,2,12,加入,あり
なし,4.64,1,12,加入,なし
なし,2.16,1,0,非加入,なし
あり,5.64,1,15,非加入,なし
あり,5.19,1,19,非加入,なし
なし,2.99,2,18,非加入,なし
あり,8.57,1,0,加入,なし
あり,5.05,1,12,非加入,なし
あり,3.94,1,7,非加入,なし
なし,0,1,1,加入,なし
あり,8.01,0,18,加入,あり
あり,5.66,0,18,加入,なし
あり,2.58,2,14,加入,なし
なし,4.58,1,10,非加入,なし
なし,2.66,0,4,非加入,なし
なし,0.99,1,3,加入,なし
あり,6.2,1,0,非加入,なし
あり,5.87,0,5,加入,なし
あり,3.73,1,17,非加入,なし
なし,3.98,1,22,加入,なし
なし,3.48,0,18,加入,なし
なし,8.01,1,5,非加入,なし
あり,8.65,1,10,加入,なし
なし,3.99,1,12,加入,なし
なし,1.49,2,2,非加入,なし
なし,4.32,1,19,加入,なし
あり,4.03,1,23,加入,なし
あり,7.57,1,6,加入,なし
なし,2.35,1,21,加入,なし
あり,5.5,2,22,非加入,なし
なし,3.85,1,16,非加入,なし
あり,8.52,1,6,加入,なし
なし,3.37,2,9,加入,なし
なし,3.76,1,1,非加入,なし
あり,3.47,1,3,非加入,なし
あり,6.2,0,7,非加入,あり
なし,4.51,1,2,加入,なし
なし,1.79,1,13,非加入,なし
なし,0,2,6,非加入,なし
あり,2.71,1,5,非加入,なし
なし,3.49,1,20,加入,あり
あり,2.99,1,21,非加入,あり
あり,4.29,1,19,非加入,なし
なし,5.83,0,11,加入,あり
なし,3.02,1,2,加入,なし
あり,5.05,0,25,加入,なし
あり,6.07,1,12,加入,なし
あり,5.8,1,10,非加入,あり
あり,2.62,1,23,非加入,あり
なし,0.06,1,6,非加入,なし
あり,9,0,15,加入,なし
なし,2.49,2,3,非加入,なし
なし,5.27,2,25,非加入,なし
なし,0.48,2,16,加入,なし
なし,3.17,1,22,非加入,なし
なし,2.97,1,3,非加入,なし
あり,2.97,1,14,加入,なし
なし,7,1,8,加入,なし
なし,1.27,2,3,加入,なし
なし,5.98,1,0,非加入,なし
あり,7.02,0,11,加入,なし
なし,1.35,2,22,加入,なし
あり,4.24,1,15,非加入,なし
なし,5.05,0,23,非加入,なし
あり,4.12,2,17,加入,なし
なし,6.07,1,6,非加入,なし
あり,4.32,1,1,非加入,なし
なし,3.69,0,4,非加入,なし
あり,7.3,0,14,加入,なし
なし,3.04,1,0,加入,あり
なし,3.54,0,10,非加入,なし
あり,5.66,0,20,非加入,なし
あり,5.54,1,2,非加入,なし
なし,4.76,0,13,加入,あり
あり,6.51,1,8,加入,なし
あり,5.25,1,16,加入,なし
なし,4.67,1,17,加入,あり
あり,5.5,1,4,加入,なし
なし,1.75,3,5,非加入,なし
あり,5.21,1,5,非加入,あり
なし,4.53,0,22,加入,なし
なし,3.91,1,12,加入,なし
あり,3.64,1,7,加入,あり
なし,5.79,1,4,非加入,なし
なし,1.87,1,21,加入,なし
なし,5.38,0,8,加入,なし
あり,5.5,1,5,加入,あり
あり,6.34,2,20,非加入,なし
なし,1.87,1,21,加入,あり
あり,4.89,1,4,加入,なし
なし,0.41,0,12,非加入,なし
あり,7.42,0,11,加入,なし
なし,2.51,0,5,非加入,なし
なし,5.43,2,8,加入,なし
なし,5.81,1,8,非加入,あり
あり,4.15,0,1,加入,なし
あり,5.05,1,22,加入,なし
あり,5.43,1,19,非加入,なし
なし,1.19,2,14,加入,なし
なし,1.69,1,23,加入,なし
なし,5.71,1,6,非加入,なし
あり,8.41,0,22,加入,なし
なし,2.06,0,22,非加入,なし
なし,4.83,1,19,加入,あり
なし,7.24,0,22,非加入,なし
なし,6.92,1,19,加入,なし
なし,1.67,1,8,非加入,なし
あり,2.16,0,2,非加入,なし
なし,5.55,2,9,加入,なし
なし,5.43,1,5,加入,なし
あり,6.64,0,9,加入,なし
あり,9,1,20,加入,なし
なし,2.68,2,3,加入,なし
あり,6.52,0,13,加入,なし
なし,1.73,1,18,加入,なし
あり,5.04,0,3,非加入,あり
なし,4.4,2,10,加入,なし
なし,6.77,1,17,非加入,あり
なし,6.98,2,6,加入,なし
なし,5.06,1,3,加入,なし
あり,4.99,0,23,非加入,なし
なし,4.25,0,4,非加入,なし
あり,4.79,1,15,加入,なし
あり,9,1,18,非加入,なし
なし,2.78,1,20,加入,なし
なし,3.32,1,14,非加入,あり
あり,8.9,1,10,非加入,なし
なし,4.12,1,20,非加入,あり
なし,3.41,1,3,非加入,なし
なし,6.9,1,0,加入,なし
あり,3.63,1,4,非加入,あり
あり,9,2,10,加入,なし
なし,5.26,1,20,加入,なし
なし,1.2,1,5,非加入,なし
あり,4.21,1,18,非加入,なし
あり,5.52,1,23,加入,なし
あり,3.98,0,23,非加入,なし
なし,2.2,2,3,加入,なし
あり,5.97,0,18,加入,なし
あり,4.56,1,5,加入,なし
なし,3.41,1,11,加入,なし
あり,4.26,1,15,非加入,なし
あり,4.89,0,12,加入,なし
あり,7.95,1,3,加入,なし
なし,3.87,1,24,加入,なし
あり,4.44,1,21,非加入,あり
あり,2.78,1,19,非加入,なし
なし,4.37,1,20,非加入,なし
あり,7.81,1,10,非加入,なし
あり,5.48,0,17,加入,なし
あり,4.17,0,9,非加入,あり
あり,6.53,1,1,非加入,なし
あり,1.98,0,17,加入,なし
なし,5.82,1,6,加入,なし
あり,6.05,0,8,非加入,あり
あり,3.26,1,3,加入,なし
なし,5.92,2,6,加入,なし
なし,3.14,2,21,非加入,なし
なし,0,1,22,非加入,なし
なし,3.98,1,13,非加入,なし
なし,1.98,0,22,加入,なし
なし,4.29,1,23,非加入,なし
なし,0,1,5,加入,なし
なし,3.87,2,11,非加入,なし
あり,3.94,2,3,非加入,なし
なし,6.19,2,21,非加入,あり
あり,6.11,1,13,非加入,なし
なし,6.23,1,3,加入,なし
あり,6.64,1,13,加入,なし
あり,2.8,2,11,加入,あり
なし,2.84,1,19,非加入,なし
あり,1.29,1,9,非加入,なし
あり,1.46,0,7,加入,なし
なし,3.31,1,17,加入,なし
あり,3.23,1,10,非加入,なし
あり,4.21,1,9,加入,なし
あり,6,1,6,加入,あり
あり,5.55,2,11,加入,なし
あり,4.7,0,18,非加入,なし
あり,4.4,1,9,加入,なし
なし,1.17,1,3,加入,なし
なし,9,1,11,加入,なし
なし,1.64,2,11,非加入,なし
あり,3.9,0,19,非加入,なし
なし,6.49,1,20,加入,あり
あり,1.58,1,21,加入,あり
あり,0.27,1,0,非加入,なし
あり,2.27,1,4,非加入,なし
あり,6.38,1,9,加入,なし
あり,2.8,1,5,加入,なし
あり,3.35,1,7,加入,あり
なし,6.51,1,3,加入,あり
あり,8.19,1,19,非加入,なし
あり,5.31,2,21,加入,なし
なし,2.23,1,21,加入,なし
なし,4.58,1,1,加入,なし
あり,2.78,0,24,加入,なし
なし,5.08,0,4,加入,あり
なし,4.86,0,11,非加入,あり
あり,6.72,1,10,非加入,なし
あり,4.55,2,16,非加入,あり
あり,2.11,0,2,非加入,なし
なし,5.72,0,13,加入,なし
なし,0.78,1,12,加入,なし
なし,3.61,1,20,非加入,なし
なし,4.45,2,4,非加入,なし
なし,0.66,0,21,加入,なし
あり,6.56,1,1,非加入,なし
あり,3.72,1,12,加入,なし
なし,3.47,1,7,非加入,あり
なし,1.49,1,13,加入,なし
なし,4.28,1,20,非加入,あり
あり,3.96,1,4,非加入,なし
なし,3.77,1,22,非加入,あり
なし,3.5,0,1,加入,なし
なし,3.91,2,3,非加入,あり
なし,0.99,1,12,非加入,なし
あり,4.12,1,17,非加入,なし
なし,8.49,1,25,非加入,なし
なし,3.31,2,14,加入,なし
なし,5.1,1,1,加入,なし
あり,7.93,1,18,非加入,なし
なし,4.75,1,10,加入,なし
あり,6.04,1,13,非加入,なし
なし,2.31,1,14,非加入,あり
あり,3.16,1,18,非加入,なし
あり,2.68,0,14,加入,なし
なし,4.25,1,12,加入,なし
あり,5.8,1,8,非加入,なし
なし,3.06,1,15,加入,なし
なし,2.74,1,10,加入,なし
あり,6.74,1,25,非加入,なし
あり,4.85,0,13,非加入,なし
なし,0,2,3,加入,なし
あり,6.11,1,17,加入,なし
あり,6.29,0,11,非加入,なし
なし,2.38,1,23,非加入,なし
あり,1.71,1,16,非加入,なし
なし,3.68,2,20,非加入,なし
なし,7.5,1,6,加入,なし
あり,3.91,1,2,加入,なし
あり,4.1,2,3,加入,あり
あり,2.63,1,7,非加入,なし
なし,2.43,1,16,非加入,あり
あり,8.01,1,19,加入,なし
なし,3.93,1,7,加入,なし
あり,7.28,1,8,非加入,なし
なし,5.48,0,6,加入,なし
あり,5.16,0,1,加入,なし
なし,4.57,1,20,加入,なし
なし,1.71,1,12,加入,なし
あり,5.15,1,22,加入,なし
あり,8.54,1,8,加入,なし
なし,1.51,2,10,加入,なし
あり,5.59,1,22,加入,なし
なし,2.15,2,14,非加入,なし
あり,4.72,1,22,非加入,あり
あり,6.99,2,15,加入,なし
