試験結果,勉強時間,祈願,年齢
不合格,2.14,あり,26
合格,1.74,あり,24
合格,2.38,あり,26
合格,2.05,なし,26
合格,2.41,なし,31
不合格,2.9,なし,20
合格,2.27,あり,27
不合格,1.82,なし,31
不合格,1.74,なし,23
合格,2.49,あり,28
不合格,1.75,あり,25
不合格,2.77,なし,30
合格,3.4,なし,29
不合格,1.58,あり,27
不合格,1.65,なし,24
合格,2.47,あり,31
不合格,2.59,なし,29
不合格,0.61,なし,25
不合格,2.86,なし,23
不合格,2.57,あり,26
合格,2.11,なし,25
不合格,2.02,あり,28
不合格,1.44,あり,26
不合格,1.35,なし,28
合格,2.88,なし,29
合格,2.45,あり,22
合格,3.05,あり,30
不合格,1.76,あり,26
合格,3.48,なし,25
不合格,2.41,あり,27
合格,1.17,なし,27
合格,4.17,あり,23
不合格,2.92,あり,32
合格,2.74,なし,25
不合格,3.93,あり,21
合格,2.13,なし,22
合格,1.5,なし,23
合格,2.72,あり,25
不合格,1.33,なし,24
合格,1.81,なし,23
不合格,0.77,なし,28
合格,2.85,あり,24
合格,2.57,なし,25
不合格,3.71,あり,27
合格,3.34,あり,25
不合格,1.16,なし,25
合格,3.19,なし,27
不合格,1.78,なし,27
不合格,0.47,なし,21
不合格,3.03,あり,22
不合格,2.17,なし,19
不合格,2.47,なし,26
不合格,2.16,なし,23
不合格,1.64,なし,25
不合格,2.29,あり,26
合格,1.49,あり,30
不合格,3.04,あり,21
不合格,1.84,あり,21
合格,1.61,あり,28
不合格,1.4,あり,28
合格,0.88,なし,27
不合格,1.91,なし,23
合格,2.25,あり,26
不合格,1.8,あり,30
不合格,2.63,あり,25
不合格,2.25,あり,28
不合格,1.68,なし,28
合格,1.64,あり,30
合格,2.57,あり,25
不合格,1.81,なし,20
合格,1.67,なし,26
不合格,3.21,なし,30
合格,2.22,なし,24
合格,1.73,あり,29
不合格,0.72,あり,26
合格,1.8,なし,27
不合格,2.54,あり,30
不合格,2.23,あり,24
合格,2.37,あり,26
合格,3.38,あり,26
不合格,0.75,なし,28
不合格,2.85,あり,24
不合格,1.05,なし,28
不合格,2.11,なし,31
不合格,2.34,なし,28
合格,0.99,あり,27
不合格,3.55,なし,21
不合格,2.35,なし,24
合格,3.45,あり,29
合格,2.81,あり,25
合格,2.76,なし,34
不合格,1.68,あり,26
不合格,1.28,あり,24
不合格,2.1,あり,24
合格,2.23,なし,31
不合格,2.65,なし,23
合格,1.1,なし,29
合格,3.28,なし,30
合格,1.56,あり,21
合格,1.79,なし,30
合格,1.81,なし,26
合格,2.14,あり,28
不合格,1.78,あり,27
不合格,2.56,あり,24
合格,2.98,なし,29
不合格,3.27,なし,26
合格,2.19,あり,23
不合格,1.28,なし,24
合格,3.61,なし,29
不合格,1.68,あり,26
合格,2.72,あり,28
不合格,2.51,あり,33
合格,2.44,あり,28
合格,3.21,あり,21
不合格,2.08,あり,24
不合格,2.14,あり,30
合格,2.83,なし,23
不合格,1.74,あり,23
合格,1.64,あり,23
不合格,2.33,あり,25
不合格,1.18,なし,24
合格,1.36,あり,20
不合格,1.31,なし,26
不合格,1.96,なし,27
不合格,1.67,あり,23
合格,2,あり,21
合格,2.68,あり,29
合格,2.61,あり,23
不合格,2.05,あり,24
合格,2.84,あり,29
合格,2.49,あり,25
合格,2.7,あり,21
不合格,3.1,あり,23
不合格,0.91,なし,26
合格,3.44,あり,27
不合格,3.19,なし,28
不合格,2.81,なし,25
不合格,2.81,なし,26
不合格,1.29,あり,22
不合格,1.57,あり,30
不合格,2.24,なし,25
不合格,2.82,なし,26
不合格,1.54,あり,32
不合格,1.21,なし,23
不合格,3.36,なし,28
不合格,2.44,なし,27
不合格,2.41,なし,29
不合格,1.08,なし,29
不合格,2.32,なし,31
合格,2.91,なし,24
不合格,2.26,なし,26
合格,1.86,あり,26
不合格,1.83,あり,23
不合格,0.93,あり,28
不合格,1.74,なし,22
不合格,2.58,あり,26
不合格,1.47,あり,24
不合格,3.09,なし,28
不合格,2.18,なし,29
合格,1.88,あり,27
合格,2.59,あり,28
不合格,1.91,あり,24
不合格,2.79,なし,29
不合格,1.93,あり,25
合格,2.32,なし,32
不合格,2.17,なし,27
不合格,1.95,なし,16
合格,2.9,あり,25
合格,2.34,あり,24
不合格,2.39,なし,33
不合格,1.06,なし,29
合格,2.93,あり,24
合格,2.36,あり,23
合格,2.04,なし,27
不合格,1.47,なし,21
合格,2.82,なし,27
合格,1.45,なし,30
不合格,1.9,なし,23
合格,1.76,あり,23
合格,2.38,あり,22
不合格,1.6,なし,26
合格,2.85,あり,24
合格,0.97,なし,25
不合格,2.13,あり,21
合格,2.59,あり,30
合格,2.59,あり,22
不合格,2.36,なし,22
合格,1.97,あり,26
不合格,1.87,あり,26
不合格,3.21,あり,25
不合格,2.39,なし,25
不合格,1.66,なし,25
不合格,2.55,なし,23
合格,1.97,なし,23
合格,3.35,あり,24
合格,2.18,あり,26
合格,3.26,なし,24
合格,2.73,あり,29
合格,2.24,あり,29
不合格,2.28,なし,23
不合格,1.74,あり,26
合格,2.74,なし,21
不合格,1.95,あり,22
合格,2.09,あり,28
不合格,3.82,あり,32
合格,2.97,なし,27
合格,1.15,なし,27
不合格,3.36,なし,30
合格,3.34,あり,23
不合格,2.28,なし,23
不合格,2.41,なし,29
合格,2.38,なし,25
不合格,2.18,あり,31
不合格,1.62,なし,29
不合格,3.33,あり,25
不合格,2.48,あり,25
合格,1.7,なし,27
不合格,2.49,あり,26
合格,1.61,あり,21
合格,1.96,あり,29
合格,2.36,あり,27
不合格,1.08,なし,22
合格,1.65,なし,23
不合格,2.58,あり,24
合格,3.41,なし,28
不合格,2.35,あり,29
不合格,2.63,あり,28
不合格,2.31,なし,27
合格,1.43,なし,26
合格,2.56,なし,28
不合格,2.07,なし,27
不合格,1.53,あり,25
不合格,1.95,あり,28
合格,2.86,あり,32
不合格,2.2,あり,26
不合格,3.44,なし,22
合格,1.69,あり,28
不合格,2.18,なし,25
不合格,1.82,あり,28
合格,2.19,あり,28
不合格,1.36,あり,24
不合格,2.96,あり,20
合格,2.73,なし,29
不合格,2.1,なし,29
合格,1.53,なし,28
不合格,3.34,あり,31
不合格,2.26,なし,20
不合格,2.47,なし,26
不合格,1.81,あり,24
合格,1.82,あり,24
不合格,1.57,あり,27
不合格,1.28,あり,24
合格,0.93,なし,21
合格,1.95,あり,25
不合格,2.5,あり,27
合格,2.55,なし,25
不合格,2.44,なし,24
不合格,2.71,あり,28
不合格,1.35,なし,23
合格,2.32,なし,28
合格,2,あり,28
不合格,2.88,なし,23
合格,3.25,あり,30
不合格,2.35,あり,19
合格,1.44,あり,27
合格,2.57,あり,26
不合格,1.95,あり,23
不合格,1.31,あり,24
合格,1.91,なし,25
不合格,1.94,なし,31
不合格,2.22,あり,29
合格,1.98,あり,30
不合格,2.24,なし,26
不合格,2.37,なし,30
合格,2.13,あり,29
合格,2.88,あり,27
不合格,1.77,あり,28
不合格,0.72,あり,33
不合格,1.28,あり,27
不合格,1.83,あり,19
不合格,2.87,なし,32
合格,2.32,あり,33
合格,1.55,あり,24
合格,2.52,あり,22
合格,1.17,あり,25
合格,2.19,なし,23
合格,2.52,あり,24
合格,1.69,なし,26
合格,2.21,あり,26
合格,2.42,あり,22
合格,2.38,あり,26
不合格,2.22,なし,21
合格,0.25,なし,24
合格,3.66,あり,24
合格,2.72,あり,29
不合格,1.56,あり,27
合格,2.75,あり,24
合格,2.73,あり,24
合格,2.06,あり,24
合格,1.53,なし,26
合格,2.34,なし,28
不合格,3,なし,22
合格,1.43,なし,23
合格,1.81,なし,23
合格,2.39,あり,27
不合格,1.91,あり,24
不合格,2.12,あり,25
不合格,1.96,なし,23
不合格,2.21,なし,27
合格,2.99,あり,29
合格,2.19,あり,25
不合格,1.53,なし,31
合格,4.41,あり,28
合格,0.91,あり,23
合格,3.39,あり,29
不合格,1.73,なし,28
不合格,2.43,なし,29
合格,2.41,なし,23
不合格,2.47,なし,27
不合格,1.45,あり,24
合格,2.95,あり,25
合格,2.24,あり,26
不合格,3.55,なし,29
不合格,2.16,あり,27
不合格,2.63,なし,28
不合格,2.3,なし,32
不合格,2,あり,24
合格,3.14,あり,27
合格,2.25,なし,28
不合格,1.96,なし,23
不合格,1.7,あり,25
不合格,2.03,なし,30
