"","subj","trial","condition","word","color","RT"
"334",24,18,"Incongruent","green","red",559
"335",24,19,"Incongruent","red","blue",710
"336",24,20,"Incongruent","blue","red",660
"337",24,21,"Congruent","red","red",497
"338",24,22,"Incongruent","red","green",752
"339",24,23,"Congruent","blue","blue",538
"340",24,24,"Incongruent","green","blue",492
"341",24,25,"Congruent","red","red",604
"342",24,26,"Incongruent","blue","red",618
"343",24,27,"Congruent","green","green",629
"344",24,28,"Incongruent","red","blue",625
"345",24,29,"Incongruent","red","green",687
"346",24,30,"Incongruent","blue","green",570
"347",24,31,"Incongruent","red","green",469
"348",24,32,"Incongruent","green","red",494
"349",24,33,"Incongruent","blue","green",671
"350",24,34,"Congruent","blue","blue",613
"351",24,35,"Congruent","green","green",514
"352",24,36,"Congruent","blue","blue",747
"353",24,37,"Incongruent","blue","green",683
"354",24,38,"Incongruent","blue","red",671
"355",24,39,"Congruent","red","red",694
"356",24,40,"Incongruent","red","green",668
"357",24,41,"Incongruent","green","red",662
"358",24,42,"Incongruent","red","blue",554
"359",24,43,"Congruent","green","green",593
"360",24,44,"Incongruent","green","red",577
"361",24,45,"Incongruent","blue","red",726
"362",24,46,"Incongruent","green","blue",743
"363",24,47,"Congruent","red","red",563
"364",24,48,"Congruent","blue","blue",584
"365",24,49,"Incongruent","blue","red",595
"366",24,50,"Incongruent","red","green",550
"368",24,52,"Congruent","red","red",612
"369",24,53,"Incongruent","green","red",1047
"370",24,54,"Incongruent","red","blue",618
"372",24,56,"Incongruent","green","blue",1774
"373",24,57,"Incongruent","red","blue",2151
"374",24,58,"Incongruent","blue","green",886
"375",24,59,"Congruent","green","green",872
"376",24,60,"Incongruent","red","green",613
"377",24,61,"Incongruent","blue","green",1471
"378",24,62,"Congruent","blue","blue",730
"379",36,0,"Congruent","green","green",935
"380",36,1,"Incongruent","red","green",377
"381",36,2,"Congruent","red","red",345
"382",36,3,"Congruent","blue","blue",280
"383",36,4,"Incongruent","red","blue",536
"384",36,5,"Incongruent","green","red",511
"385",36,6,"Incongruent","blue","red",762
"386",36,7,"Incongruent","green","red",393
"387",36,8,"Incongruent","green","blue",639
"388",36,9,"Congruent","red","red",452
"389",36,10,"Incongruent","blue","green",604
"390",36,11,"Incongruent","blue","red",688
"391",36,12,"Congruent","blue","blue",482
"392",36,13,"Incongruent","green","red",619
"393",36,14,"Incongruent","red","blue",538
"394",36,15,"Incongruent","blue","red",494
"396",36,17,"Congruent","blue","blue",826
"398",36,19,"Incongruent","red","green",1058
"399",36,20,"Congruent","green","green",664
"400",36,21,"Incongruent","blue","green",522
"401",36,22,"Congruent","green","green",410
"402",36,23,"Incongruent","red","blue",590
"403",36,24,"Incongruent","green","blue",386
"404",36,25,"Incongruent","red","green",600
"405",36,26,"Incongruent","blue","green",622
"406",36,27,"Incongruent","blue","red",543
"407",36,28,"Incongruent","blue","green",530
"408",36,29,"Congruent","green","green",477
"409",36,30,"Congruent","blue","blue",548
"411",36,32,"Congruent","red","red",1371
"413",36,34,"Incongruent","red","blue",943
"414",36,35,"Incongruent","green","blue",1556
"415",36,36,"Incongruent","green","red",577
"416",36,37,"Congruent","green","green",570
"417",36,38,"Incongruent","green","red",631
"418",36,39,"Congruent","blue","blue",548
"419",36,40,"Incongruent","blue","green",518
"420",36,41,"Incongruent","red","green",616
"421",36,42,"Congruent","red","red",551
"422",36,43,"Incongruent","blue","green",860
"423",36,44,"Incongruent","red","blue",536
"424",36,45,"Incongruent","red","blue",561
"425",36,46,"Incongruent","blue","red",474
"426",36,47,"Incongruent","green","red",594
"427",36,48,"Incongruent","green","blue",522
"428",36,49,"Incongruent","red","green",419
"429",36,50,"Congruent","blue","blue",442
"430",36,51,"Congruent","green","green",419
"431",36,52,"Congruent","red","red",482
"432",36,53,"Congruent","green","green",466
"433",36,54,"Incongruent","blue","red",443
"434",36,55,"Incongruent","green","blue",548
"435",36,56,"Incongruent","red","green",418
"436",36,57,"Incongruent","green","red",448
"437",36,58,"Incongruent","blue","red",452
"438",36,59,"Incongruent","blue","green",504
"439",36,60,"Congruent","blue","blue",525
"440",36,61,"Congruent","red","red",435
"441",36,62,"Incongruent","red","blue",390
"443",38,1,"Incongruent","green","blue",794
"444",38,2,"Congruent","red","red",670
"445",38,3,"Incongruent","red","green",475
"446",38,4,"Incongruent","blue","green",558
"447",38,5,"Incongruent","red","blue",462
"448",38,6,"Congruent","green","green",569
"449",38,7,"Incongruent","green","red",437
"450",38,8,"Incongruent","green","red",652
"451",38,9,"Congruent","green","green",477
"452",38,10,"Incongruent","blue","green",762
"453",38,11,"Incongruent","red","green",477
"454",38,12,"Congruent","blue","blue",556
"455",38,13,"Incongruent","red","green",591
"456",38,14,"Incongruent","blue","red",577
"457",38,15,"Congruent","red","red",582
"458",38,16,"Congruent","green","green",594
"459",38,17,"Incongruent","blue","green",635
"460",38,18,"Congruent","red","red",570
"461",38,19,"Congruent","blue","blue",533
"462",38,20,"Incongruent","red","blue",432
"463",38,21,"Incongruent","blue","red",538
"464",38,22,"Incongruent","blue","green",493
"465",38,23,"Congruent","green","green",482
"466",38,24,"Incongruent","green","blue",651
"467",38,25,"Incongruent","green","red",528
"468",38,26,"Congruent","blue","blue",536
"469",38,27,"Incongruent","blue","red",515
"470",38,28,"Incongruent","red","blue",378
"471",38,29,"Congruent","red","red",580
"472",38,30,"Incongruent","green","blue",590
"473",38,31,"Incongruent","green","red",663
"474",38,32,"Incongruent","green","red",472
"475",38,33,"Congruent","red","red",416
"476",38,34,"Incongruent","red","green",527
"477",38,35,"Incongruent","red","blue",721
"478",38,36,"Congruent","green","green",551
"479",38,37,"Incongruent","blue","red",567
"480",38,38,"Congruent","blue","blue",555
"481",38,39,"Incongruent","green","blue",432
"482",38,40,"Incongruent","blue","red",483
"483",38,41,"Congruent","blue","blue",535
"484",38,42,"Incongruent","red","blue",506
"485",38,43,"Incongruent","red","green",552
"486",38,44,"Incongruent","green","blue",484
"487",38,45,"Incongruent","green","blue",652
"488",38,46,"Incongruent","blue","green",443
"489",38,47,"Incongruent","green","red",569
"490",38,48,"Incongruent","red","green",589
"491",38,49,"Congruent","red","red",738
"492",38,50,"Congruent","green","green",801
"493",38,51,"Incongruent","blue","green",552
"494",38,52,"Congruent","green","green",404
"495",38,53,"Congruent","blue","blue",523
"496",38,54,"Incongruent","blue","green",565
"497",38,55,"Incongruent","blue","red",600
"498",38,56,"Incongruent","green","red",513
"499",38,57,"Incongruent","red","blue",548
"500",38,58,"Incongruent","green","blue",672
"501",38,59,"Incongruent","red","green",549
"502",38,60,"Incongruent","red","blue",486
"503",38,61,"Congruent","red","red",528
"504",38,62,"Congruent","blue","blue",570
"505",45,0,"Incongruent","green","red",1023
"506",45,1,"Incongruent","red","green",497
"507",45,2,"Incongruent","blue","green",1221
"508",45,3,"Congruent","green","green",500
"509",45,4,"Congruent","red","red",461
"510",45,5,"Congruent","green","green",436
"511",45,6,"Incongruent","blue","red",597
"512",45,7,"Incongruent","blue","red",392
"513",45,8,"Incongruent","blue","green",514
"514",45,9,"Incongruent","red","blue",549
"515",45,10,"Incongruent","red","green",683
"516",45,11,"Incongruent","green","red",513
"517",45,12,"Congruent","red","red",475
"518",45,13,"Incongruent","red","green",518
"519",45,14,"Congruent","green","green",388
"520",45,15,"Incongruent","blue","red",565
"521",45,16,"Congruent","red","red",471
"522",45,17,"Incongruent","blue","green",401
"523",45,18,"Congruent","blue","blue",496
"524",45,19,"Incongruent","green","red",559
"525",45,20,"Incongruent","green","blue",572
"526",45,21,"Congruent","green","green",802
"527",45,22,"Incongruent","green","blue",486
"528",45,23,"Incongruent","green","red",528
"529",45,24,"Incongruent","blue","green",523
"530",45,25,"Congruent","blue","blue",436
"531",45,26,"Congruent","red","red",421
"533",45,28,"Incongruent","green","blue",562
"534",45,29,"Congruent","blue","blue",614
"535",45,30,"Incongruent","blue","red",594
"536",45,31,"Incongruent","red","green",592
"537",45,32,"Incongruent","red","blue",474
"538",45,33,"Incongruent","blue","green",643
"539",45,34,"Incongruent","red","green",553
"540",45,35,"Congruent","blue","blue",644
"541",45,36,"Congruent","green","green",608
"542",45,37,"Incongruent","green","blue",580
"543",45,38,"Incongruent","blue","green",511
"544",45,39,"Incongruent","red","green",429
"545",45,40,"Incongruent","red","blue",452
"546",45,41,"Congruent","red","red",489
"547",45,42,"Congruent","green","green",601
"548",45,43,"Congruent","blue","blue",506
"549",45,44,"Incongruent","red","green",380
"550",45,45,"Incongruent","green","red",554
"551",45,46,"Incongruent","blue","red",486
"552",45,47,"Incongruent","blue","green",583
"553",45,48,"Incongruent","blue","red",722
"554",45,49,"Incongruent","green","blue",424
"555",45,50,"Congruent","red","red",665
"556",45,51,"Incongruent","red","blue",662
"557",45,52,"Congruent","green","green",724
"558",45,53,"Incongruent","green","blue",440
"559",45,54,"Incongruent","red","blue",434
"560",45,55,"Incongruent","green","red",586
"561",45,56,"Incongruent","blue","red",701
"562",45,57,"Incongruent","green","red",436
"563",45,58,"Congruent","blue","blue",593
"564",45,59,"Congruent","red","red",526
"565",45,60,"Congruent","blue","blue",528
"566",45,61,"Incongruent","red","blue",697
"567",45,62,"Incongruent","green","blue",400
"568",48,0,"Incongruent","blue","green",1691
"569",48,1,"Congruent","green","green",938
"571",48,3,"Congruent","blue","blue",595
"572",48,4,"Incongruent","green","blue",454
"573",48,5,"Incongruent","red","green",693
"574",48,6,"Incongruent","green","red",450
"575",48,7,"Congruent","blue","blue",606
"576",48,8,"Congruent","green","green",443
"577",48,9,"Incongruent","red","green",770
"578",48,10,"Congruent","red","red",602
"579",48,11,"Incongruent","blue","red",848
"580",48,12,"Incongruent","green","blue",674
"582",48,14,"Incongruent","red","blue",1015
"583",48,15,"Incongruent","green","red",702
"584",48,16,"Incongruent","green","blue",549
"585",48,17,"Incongruent","blue","green",392
"586",48,18,"Congruent","blue","blue",391
"587",48,19,"Incongruent","red","blue",786
"589",48,21,"Incongruent","blue","red",750
"590",48,22,"Incongruent","green","blue",865
"591",48,23,"Congruent","green","green",398
"592",48,24,"Congruent","blue","blue",664
"593",48,25,"Incongruent","green","red",565
"594",48,26,"Congruent","red","red",450
"595",48,27,"Incongruent","blue","green",512
"596",48,28,"Incongruent","red","blue",345
"597",48,29,"Incongruent","red","green",678
"599",48,31,"Congruent","green","green",670
"600",48,32,"Congruent","blue","blue",444
"601",48,33,"Incongruent","blue","red",572
"602",48,34,"Incongruent","blue","red",454
"603",48,35,"Congruent","red","red",520
"604",48,36,"Incongruent","blue","green",736
"605",48,37,"Incongruent","green","red",626
"606",48,38,"Incongruent","red","green",749
"607",48,39,"Incongruent","blue","green",539
"608",48,40,"Incongruent","green","red",743
"609",48,41,"Congruent","red","red",515
"610",48,42,"Congruent","green","green",796
"611",48,43,"Incongruent","green","blue",593
"612",48,44,"Incongruent","blue","red",694
"613",48,45,"Congruent","red","red",387
"614",48,46,"Incongruent","green","blue",706
"615",48,47,"Congruent","blue","blue",504
"616",48,48,"Incongruent","green","red",618
"617",48,49,"Incongruent","red","green",613
"618",48,50,"Incongruent","blue","green",504
"619",48,51,"Incongruent","red","blue",403
"620",48,52,"Incongruent","blue","red",754
"621",48,53,"Incongruent","red","blue",606
"622",48,54,"Congruent","green","green",501
"623",48,55,"Incongruent","green","red",671
"624",48,56,"Congruent","red","red",636
"625",48,57,"Incongruent","red","green",937
"626",48,58,"Incongruent","blue","red",725
"627",48,59,"Incongruent","blue","green",797
"628",48,60,"Congruent","green","green",606
"629",48,61,"Incongruent","green","blue",563
"630",48,62,"Congruent","blue","blue",389
"37675",2,0,"Congruent","blue","blue",1771
"37677",2,2,"Congruent","green","green",576
"37679",2,4,"Incongruent","red","green",920
"37681",2,6,"Congruent","blue","blue",704
"37682",2,7,"Incongruent","green","red",1154
"37683",2,8,"Congruent","green","green",648
"37684",2,9,"Incongruent","green","blue",699
"37685",2,10,"Incongruent","red","green",881
"37686",2,11,"Incongruent","blue","green",577
"37687",2,12,"Incongruent","blue","green",458
"37688",2,13,"Incongruent","red","blue",652
"37689",2,14,"Incongruent","blue","red",529
"37690",2,15,"Congruent","red","red",427
"37691",2,16,"Congruent","green","green",651
"37692",2,17,"Congruent","blue","blue",459
"37693",2,18,"Incongruent","red","blue",402
"37694",2,19,"Incongruent","green","red",555
"37697",2,22,"Incongruent","green","blue",2130
"37698",2,23,"Incongruent","green","blue",422
"37699",2,24,"Incongruent","red","green",700
"37700",2,25,"Congruent","red","red",554
"37701",2,26,"Incongruent","blue","green",757
"37702",2,27,"Incongruent","green","red",763
"37703",2,28,"Congruent","green","green",736
"37704",2,29,"Incongruent","red","green",690
"37705",2,30,"Congruent","green","green",442
"37706",2,31,"Incongruent","red","blue",817
"37707",2,32,"Congruent","blue","blue",499
"37708",2,33,"Incongruent","blue","red",675
"37709",2,34,"Incongruent","blue","green",705
"37710",2,35,"Congruent","red","red",687
"37711",2,36,"Incongruent","blue","green",620
"37712",2,37,"Congruent","blue","blue",544
"37713",2,38,"Congruent","green","green",650
"37714",2,39,"Incongruent","green","blue",560
"37715",2,40,"Incongruent","blue","red",613
"37716",2,41,"Incongruent","red","blue",1380
"37717",2,42,"Incongruent","green","red",1090
"37718",2,43,"Congruent","red","red",613
"37720",2,45,"Incongruent","green","red",1292
"37721",2,46,"Congruent","red","red",538
"37722",2,47,"Congruent","blue","blue",509
"37723",2,48,"Incongruent","blue","red",654
"37724",2,49,"Incongruent","red","green",628
"37725",2,50,"Incongruent","green","red",1216
"37726",2,51,"Incongruent","blue","red",516
"37727",2,52,"Incongruent","red","blue",1025
"37728",2,53,"Incongruent","red","green",591
"37729",2,54,"Congruent","red","red",692
"37730",2,55,"Congruent","red","red",530
"37732",2,57,"Congruent","blue","blue",579
"37733",2,58,"Incongruent","red","blue",566
"37734",2,59,"Incongruent","blue","green",674
"37735",2,60,"Congruent","green","green",437
"37736",2,61,"Incongruent","blue","red",662
"37737",2,62,"Incongruent","green","blue",764
"37738",3,0,"Congruent","red","red",1148
"37739",3,1,"Incongruent","red","blue",615
"37740",3,2,"Incongruent","blue","green",445
"37741",3,3,"Congruent","green","green",399
"37742",3,4,"Incongruent","red","green",364
"37743",3,5,"Incongruent","blue","red",424
"37744",3,6,"Incongruent","green","red",412
"37745",3,7,"Incongruent","green","red",282
"37746",3,8,"Incongruent","blue","red",278
"37747",3,9,"Incongruent","red","green",599
"37748",3,10,"Incongruent","green","blue",396
"37749",3,11,"Congruent","blue","blue",456
"37750",3,12,"Incongruent","blue","green",429
"37751",3,13,"Congruent","green","green",465
"37752",3,14,"Incongruent","red","green",309
"37753",3,15,"Congruent","blue","blue",558
"37755",3,17,"Congruent","red","red",556
"37756",3,18,"Incongruent","red","blue",581
"37757",3,19,"Incongruent","blue","green",496
"37758",3,20,"Incongruent","green","blue",506
"37759",3,21,"Incongruent","red","blue",331
