Season,Basin,Name,Wind1,Wind2,Wind3,Wind4,Speeds
1980,WP,Dom,85,85,70,70,Medi
1980,WP,ed,45,45,45,45,Low
1980,WP,ELLEN,105,105,100,95,High
1980,WP,forrest,55,55,50,50,Low
1980,WP,georgia,55,55,50,50,Low
1980,WP,herbert,50,45,45,45,Low
1980,WP,Ida,70,70,60,60,Medi
1980,WP,Joe,85,80,75,75,Medi
1980,WP,KIM,100,100,90,80,High
1980,WP,Lex,75,70,70,70,Medi
1980,WP,Marge,90,90,90,90,Medi
1980,WP,Norris,95,75,75,70,Medi
1980,WP,Orchid,70,70,70,70,Medi
1980,WP,PERCY,100,100,90,90,High
1980,WP,ruth,55,55,50,45,Low
1980,WP,Sperry,65,65,65,60,Medi
1980,WP,thelma,55,55,55,55,Low
1980,WP,VERNON,95,90,90,90,High
1980,WP,WYNNE,120,120,110,110,High
1981,EP,adrian,40,40,35,35,Low
1981,EP,Beatriz,75,75,75,75,Medi
1981,EP,calvin,45,40,40,40,Low
1981,EP,Dora,80,80,75,70,Medi
1981,EP,eugene,45,45,45,45,Low
1981,EP,Fernanda,90,90,85,85,Medi
1981,EP,greg,65,65,55,55,Low
1981,EP,Hilary,75,75,70,70,Medi
1981,EP,irwin,45,45,35,35,Low
1981,EP,Jova,75,75,70,70,Medi
1981,EP,knut,55,55,55,50,Low
1981,EP,lidia,45,45,40,35,Low
1981,EP,max,45,40,40,40,Low
1981,EP,NORMA,110,110,100,100,High
1981,EP,Otis,75,75,70,70,Medi
1981,NA,arlene,50,45,40,35,Low
1981,NA,bret,60,60,60,55,Low
1981,NA,cindy,50,50,50,50,Low
1981,NA,Dennis,70,65,60,55,Medi
1981,NA,Emily,80,80,80,80,Medi
1981,NA,FLOYD,100,100,100,100,High
1981,NA,Gert,90,90,90,90,Medi
1981,NA,HARVEY,115,110,110,105,High
1981,NA,IRENE,105,105,105,100,High
1981,NA,jose,45,45,40,40,Low
1981,NA,Katrina,75,70,65,65,Medi
1981,SI,ALICE/ADELAI,105,105,100,100,High
1981,SI,CAROL,110,110,105,100,High
1981,SI,dan,50,50,50,50,Low
1981,SI,edna,40,40,35,35,Low
1981,SI,FELIX,100,100,100,100,High
1981,SI,MABEL,110,110,110,110,High
1981,SI,Max,85,85,80,80,Medi
1981,SI,NEIL,105,100,100,100,High
1981,SI,OLGA,95,95,95,90,High
1981,SI,Paddy,65,65,65,65,Medi
1981,SP,Arthur,70,70,65,65,Medi
1981,SP,betsy,40,40,40,35,Low
1981,SP,Cliff,65,65,65,65,Medi
1981,SP,cyc1981,50,45,40,40,Low
1981,SP,daman,55,50,45,40,Low
1981,SP,diola,40,40,35,35,Low
1981,SP,eddie,55,55,55,50,Low
1981,SP,esau,55,55,50,50,Low
1981,SP,fran,50,50,50,50,Low
1981,SP,Freda,80,75,75,70,Medi
1981,SP,Tahmar,65,65,60,55,Medi
1981,WP,Agnes,80,80,80,80,Medi
1981,WP,Bill,75,70,70,70,Medi
1981,WP,CLARA,100,100,95,90,High
1981,WP,Doyle,70,70,70,70,Medi
1981,WP,ELSIE,120,120,110,110,High
1981,WP,fabian,45,40,40,40,Low
1981,WP,Freda,90,90,90,90,Medi
1981,WP,Gay,85,85,80,80,Medi
1981,WP,gerald(-)1,60,60,60,55,Low
1981,WP,Hazen,70,70,70,65,Medi
1981,WP,holly,45,45,45,45,Low
1981,WP,ike,60,60,60,55,Low
1981,WP,IRMA,110,110,110,110,High
1981,WP,jeff,40,35,35,35,Low
1981,WP,June,70,70,70,70,Medi
1981,WP,kelly,60,60,60,60,Low
1981,WP,KIT(-)1,100,100,95,95,High
1981,WP,Lee,80,80,75,70,Medi
1981,WP,lynn,55,55,55,55,Low
1981,WP,maury,50,50,50,45,Low
1981,WP,ogden,50,50,50,45,Low
1981,WP,phyllis,55,50,45,45,Low
1981,WP,roy,45,45,45,45,Low
1981,WP,susan,60,60,55,55,Low
1981,WP,td0731,40,40,40,40,Low
1981,WP,Thad,70,70,70,70,Medi
1981,WP,vanessa,50,50,50,45,Low
1982,EP,akoni,45,45,45,45,Low
1982,EP,aletta,55,50,50,50,Low
1982,EP,bud,45,45,45,45,Low
1982,EP,carlotta,50,50,50,45,Low
1982,EP,DANIEL,100,100,100,100,High
1982,EP,ema,40,40,40,40,Low
1982,EP,emilia,55,55,55,50,Low
1982,EP,Fabio,70,70,70,65,Medi
1982,EP,GILMA,110,105,100,100,High
1982,EP,hana,40,35,35,35,Low
1982,EP,Hector,65,65,65,65,Medi
1982,EP,iva,35,35,35,35,Low
1982,EP,Iwa,80,80,80,75,Medi
1982,EP,JOHN,100,100,100,100,High
1982,EP,Kristy,80,75,75,75,Medi
1982,EP,lane,55,55,55,55,Low
1982,EP,Miriam,75,75,75,75,Medi
1982,EP,Norman,90,90,90,90,Medi
1982,EP,OLIVIA,125,125,125,115,High
1982,EP,PAUL,95,95,95,85,High
1982,EP,rosa,45,45,40,40,Low
1982,EP,SERGIO,110,110,110,105,High
1982,EP,tara,45,45,45,45,Low
1982,NA,Alberto,75,65,55,50,Medi
1982,NA,beryl,60,60,60,60,Low
1982,NA,chris,55,50,50,45,Low
1982,NA,DEBBY,115,110,110,100,High
1982,NA,ernesto,60,55,50,50,Low
1982,SI,amelia,35,35,35,35,Low
1982,SI,Benedicte,72,62,62,52,Medi
1982,SI,bessi/armell,52,36,36,36,Low
1982,SI,clarissee,28,28,24,20,Low
1982,SI,DAMIA,112,112,112,105,High
1982,SI,electre,44,44,36,36,Low
1982,SI,errol,55,55,55,55,Low
1982,SI,gabrielle,44,44,44,36,Low
1982,SI,graham,55,55,55,50,Low
1982,SI,harriet,50,50,50,50,Low
1982,SI,heberte,28,28,28,20,Low
1982,SI,hsk1382,50,50,50,50,Low
1982,SI,hsk1482,50,50,50,50,Low
1982,SI,Ian,80,80,80,80,Medi
1982,SI,Justine,82,72,72,52,Medi
1982,SI,Karla,92,72,52,52,Medi
1982,SP,Abigail,70,70,65,65,Medi
1982,SP,BERNIE,100,100,100,100,High
1982,SP,claudia,40,40,40,35,Low
1982,SP,coral,35,35,35,35,Low
1982,SP,DOMINIC,110,110,100,85,High
1982,SP,Gyan,100,90,80,80,Medi
1982,SP,Hettie,70,70,70,65,Medi
1982,SP,Isaac,95,85,80,75,Medi
1982,WP,ANDY(-)1,100,100,100,100,High
1982,WP,BESS,125,125,125,120,High
1982,WP,CECIL,110,110,100,100,High
1982,WP,Dot,80,80,70,70,Medi
1982,WP,ELLIS,100,100,100,100,High
1982,WP,Faye,80,80,70,70,Medi
1982,WP,Gordon,90,90,90,90,Medi
1982,WP,hope,55,55,55,55,Low
1982,WP,Irving,85,80,80,80,Medi
1982,WP,Judy,80,80,80,80,Medi
1982,WP,KEN,95,95,90,90,High
1982,WP,lola,45,45,45,45,Low
1982,WP,MAC,120,120,110,100,High
1982,WP,mimie,50,50,45,45,Low
1982,WP,NANCY,100,100,90,80,High
1982,WP,NELSON,100,100,100,100,High
1982,WP,Odessa,75,70,65,65,Medi
1982,WP,Owen,90,85,85,85,Medi
1982,WP,Pamela,90,90,90,80,Medi
1982,WP,Pat,90,90,90,90,Medi
1982,WP,roger,60,60,50,50,Low
1982,WP,Ruby,70,65,65,65,Medi
1982,WP,skip,45,45,40,40,Low
1982,WP,val,45,45,45,45,Low
1982,WP,winona,50,50,50,50,Low
1983,EP,ADOLPH,95,95,95,95,High
1983,EP,BARBARA,115,115,115,115,High
1983,EP,cosme,35,35,35,35,Low
1983,EP,dalilia,60,60,60,55,Low
1983,EP,erick,55,55,55,55,Low
1983,EP,flossie,50,50,45,45,Low
1983,EP,Gil,80,80,80,75,Medi
1983,EP,HENRIETTE,115,115,115,110,High
1983,EP,Ismael,85,80,80,75,Medi
1983,EP,juliette,50,50,45,40,Low
1983,EP,KIKO,125,125,120,115,High
1983,EP,LORENA,100,100,90,90,High
1983,EP,MANUEL,100,100,90,90,High
1983,EP,narda,60,60,55,55,Low
1983,EP,octave,45,40,40,40,Low
1983,EP,PRISCILLA,100,100,100,95,High
1983,EP,RAYMOND,125,125,120,120,High
1983,EP,sonia,40,40,40,35,Low
1983,EP,TICO,115,110,110,110,High
1983,EP,velma,35,35,35,30,Low
1983,EP,Winnie,80,80,75,70,Medi
1983,NA,ALICIA,100,100,95,90,High
1983,NA,Barry,70,70,65,60,Medi
1983,NA,Chantal,65,65,65,65,Medi
1983,NA,dean,55,55,55,55,Low
1983,SI,arilisy,28,24,24,20,Low
1983,SI,bemany,62,44,36,24,Low
1983,SI,dadafy,52,52,52,52,Low
1983,SI,elinah,62,52,52,52,Low
1983,SI,Jane,90,90,90,85,Medi
1983,SI,Ken,65,65,65,60,Medi
1983,SI,Lena,65,65,65,55,Medi
1983,SI,Monty,65,65,65,65,Medi
1983,SI,Naomi,80,80,80,80,Medi
1983,SP,des,35,35,30,30,Low
1983,SP,ELINOR,110,110,105,100,High
1983,SP,joti,60,60,55,55,Low
1983,SP,kina,40,35,35,30,Low
1983,SP,lisa,60,55,55,50,Low
1983,SP,Mark,80,70,65,65,Medi
1983,SP,Nano,65,65,60,55,Medi
1983,SP,nisha,30,30,30,30,Low
1983,SP,NISHA/ORAMA,100,100,90,85,High
1983,SP,OSCAR,110,100,95,95,High
1983,SP,prema,45,45,40,40,Low
1983,SP,REWA,100,100,95,95,High
1983,SP,saba,50,50,50,50,Low
1983,SP,Sarah,90,80,75,70,Medi
1983,SP,TOMASI,100,95,95,80,High
1983,SP,VEENA,100,100,100,95,High
1983,SP,William,80,80,80,70,Medi
1983,WP,ABBY,120,120,115,110,High
1983,WP,ben,55,50,50,45,Low
1983,WP,carmen,40,40,40,40,Low
1983,WP,dom,40,40,40,40,Low
1983,WP,ELLEN,110,110,105,95,High
1983,WP,FORREST,110,110,110,110,High
1983,WP,georgia,70,70,50,50,Low
1983,WP,herbert,45,45,45,40,Low
1983,WP,ida,60,60,60,55,Low
1983,WP,joe,55,50,50,50,Low
1983,WP,lex,50,50,50,50,Low
1983,WP,MARGE,110,110,110,110,High
1983,WP,norris,45,45,45,40,Low
1983,WP,ORCHID,110,110,100,100,High
1983,WP,Percy,70,70,70,70,Medi
1983,WP,sperry,45,45,45,45,Low
1983,WP,td1121,50,50,50,45,Low
1983,WP,thelma,55,55,45,45,Low
1983,WP,Tip,65,65,60,60,Medi
1983,WP,Vera,75,75,70,70,Medi
1983,WP,WAYNE,110,110,110,100,High
1984,EP,alma,50,50,50,50,Low
1984,EP,boris,65,60,60,55,Low
1984,EP,Cristina,90,90,85,80,Medi
1984,EP,DOUGLAS,125,120,120,115,High
1984,EP,ELIDA,115,110,110,105,High
1984,EP,FAUSTO,95,95,95,90,High
1984,EP,GENEVIEVE,100,100,90,90,High
1984,EP,hernan,45,35,35,35,Low
1984,EP,ISELLE,115,115,110,100,High
1984,EP,julio,55,50,50,50,Low
1984,EP,KELI,100,90,90,85,High
1984,EP,kenna,50,45,45,45,Low
1984,EP,lala,45,40,40,40,Low
1984,EP,Lowell,75,70,65,65,Medi
1984,EP,Marie,80,80,75,75,Medi
1984,EP,moke,45,45,45,35,Low
1984,EP,NORBERT,115,115,115,115,High
1984,EP,Odile,90,85,80,80,Medi
1984,EP,POLO,100,100,100,100,High
1984,EP,rachel,55,55,55,55,Low
1984,EP,simon,55,55,55,55,Low
1984,NA,arthur,45,45,40,35,Low
1984,NA,bertha,35,35,35,35,Low
1984,NA,cesar,50,50,45,45,Low
1984,NA,DIANA,115,110,100,95,High
1984,NA,edouard,55,45,40,35,Low
1984,NA,fran,55,55,55,55,Low
1984,NA,gustav,45,45,45,30,Low
1984,NA,Hortense,65,65,60,60,Medi
1984,NA,isidore,50,50,50,45,Low
1984,NA,Josephine,90,90,90,90,Medi
1984,NA,Klaus,80,80,80,80,Medi
1984,NA,Lili,70,70,70,70,Medi
1984,SI,ANDRY,92,92,92,92,High
1984,SI,Bakoly,92,92,62,62,Medi
1984,SI,BOBBY,95,95,90,90,High
1984,SI,caboto,36,36,36,36,Low
1984,SI,Chloe,90,90,90,90,Medi
1984,SI,Daryl,90,90,90,85,Medi
1984,SI,domoina,52,52,52,52,Low
1984,SI,edoara,36,36,36,36,Low
1984,SI,ferdinand,60,60,55,50,Low
1984,SI,galy,36,36,36,36,Low
1984,SI,haja,52,52,44,44,Low
1984,SI,imboa,52,44,44,44,Low
1984,SI,JAMINY,92,92,92,92,High
1984,SI,Kamisy,92,92,92,82,Medi
1984,SI,Oscar,75,70,70,70,Medi
1984,SI,Quenton,90,90,90,90,Medi
1984,SI,tim,55,55,55,55,Low
1984,SI,vivienne/fan,65,55,55,55,Low
1984,SI,Willy,80,80,80,75,Medi
1984,SP,atu,45,45,40,35,Low
1984,SP,beti,65,65,60,50,Low
1984,SP,cyril,45,45,40,40,Low
1984,SP,fritz,45,40,40,35,Low
1984,SP,Grace,70,70,70,65,Medi
1984,SP,harvey,60,60,60,60,Low
1984,SP,Ingrid,65,65,65,60,Medi
1984,SP,Jim,70,65,60,60,Medi
1984,SP,KATHY,120,120,120,120,High
1984,SP,lance,60,50,50,45,Low
1984,WP,AGNES,105,100,100,100,High
1984,WP,Alex(-)1,80,80,70,65,Medi
1984,WP,betty,50,50,45,45,Low
1984,WP,BILL,100,100,100,100,High
1984,WP,Cary,80,80,70,70,Medi
1984,WP,Clara,90,90,90,90,Medi
1984,WP,DINAH,100,100,90,90,High
1984,WP,DOYLE,100,90,90,90,High
1984,WP,Ed,80,80,70,70,Medi
1984,WP,freda,50,50,50,50,Low
1984,WP,gerald,55,55,50,50,Low
1984,WP,Holly,70,70,70,70,Medi
1984,WP,Ike,90,90,90,90,Medi
1984,WP,june,65,50,50,50,Low
1984,WP,Kelly,70,70,70,70,Medi
1984,WP,maury,50,50,50,50,Low
1984,WP,nina,45,45,45,45,Low
1984,WP,Ogden,65,65,60,60,Medi
1984,WP,Phyllis,65,60,60,60,Medi
1984,WP,roy,40,40,40,40,Low
1984,WP,Thad,90,90,90,90,Medi
1984,WP,VANESSA,120,120,120,120,High
1984,WP,vernon,40,40,40,35,Low
1984,WP,warren,60,60,60,60,Low
1984,WP,wynne,55,55,55,55,Low
1985,EP,andres,60,55,50,50,Low
1985,EP,BLANCA,105,100,100,100,High
1985,EP,carlos,35,30,30,30,Low
1985,EP,DOLORES,100,100,90,90,High
1985,EP,enrique,35,35,35,35,Low
1985,EP,fefa,60,60,60,50,Low
1985,EP,guillermo,50,45,45,40,Low
1985,EP,hilda,35,35,35,35,Low
1985,EP,IGNACIO,115,115,115,115,High
1985,EP,JIMENA,115,115,105,100,High
1985,EP,kevin,55,55,55,55,Low
1985,EP,linda,45,45,45,40,Low
1985,EP,Marty,65,65,65,60,Medi
1985,EP,Nele,80,80,80,75,Medi
1985,EP,nora,40,35,35,35,Low
1985,EP,Olaf,75,75,75,70,Medi
1985,EP,Pauline,75,75,75,75,Medi
1985,EP,RICK,125,125,125,125,High
1985,EP,SANDRA,110,110,100,95,High
1985,EP,TERRY,100,100,95,95,High
1985,EP,vivian,35,35,35,35,Low
1985,EP,Waldo,90,80,75,65,Medi
1985,EP,XINA,100,90,90,90,High
1985,NA,ana,60,55,55,50,Low
1985,NA,Bob,65,65,65,60,Medi
1985,NA,Claudette,75,75,70,70,Medi
1985,NA,Danny,80,80,75,70,Medi
1985,NA,ELENA,110,110,105,105,High
1985,NA,fabian,55,55,55,55,Low
1985,NA,GLORIA,125,120,115,105,High
1985,NA,henri,50,45,40,35,Low
1985,NA,isabel,60,60,60,60,Low
1985,NA,Juan,75,75,75,70,Medi
1985,NA,KATE,105,105,105,100,High
1985,SI,anety,36,36,36,36,Low
1985,SI,bobalahy,44,44,44,44,Low
1985,SI,celestina,52,44,44,44,Low
1985,SI,ditra,62,62,52,52,Low
1985,SI,Emma,65,65,65,65,Medi
1985,SI,esitera,44,44,44,36,Low
1985,SI,feliska,52,44,44,44,Low
1985,SI,Frank,85,85,85,80,Medi
1985,SI,gerimena,44,44,44,36,Low
1985,SI,gertie,60,60,60,60,Low
1985,SI,gretel,50,50,50,50,Low
1985,SI,Helisaonina,82,82,72,72,Medi
1985,SI,Hubert,80,80,80,80,Medi
1985,SI,Isobel,75,70,70,65,Medi
1985,SI,Jacob,75,75,70,70,Medi
1985,SI,KIRSTY,110,110,110,110,High
1985,SI,Lindsay,80,80,80,80,Medi
1985,SI,Margot,85,85,80,80,Medi
1985,SP,drena,45,45,40,40,Low
1985,SP,Eric,80,75,70,65,Medi
1985,SP,Freda,80,75,70,65,Medi
1985,SP,gavin,50,50,50,50,Low
1985,SP,HINA,120,110,110,95,High
1985,SP,hsk0785,45,40,35,30,Low
1985,SP,monica,55,55,55,50,Low
1985,SP,Nigel,80,75,70,65,Medi
1985,SP,ODETTE,100,100,95,95,High
1985,SP,pierre,50,50,45,45,Low
1985,SP,rebecca,40,40,40,30,Low
1985,SP,SANDY,105,105,100,95,High
1985,SP,tanya,55,55,55,55,Low
1985,WP,andy,55,55,55,55,Low
1985,WP,Brendan,85,85,85,85,Medi
1985,WP,Cecil,80,80,80,80,Medi
1985,WP,DOT,120,120,120,120,High
1985,WP,ellis,50,50,50,50,Low
1985,WP,elsie,35,35,35,35,Low
1985,WP,fabian(1),50,50,50,50,Low
1985,WP,Faye,75,75,75,75,Medi
1985,WP,Gay,80,80,80,80,Medi
1985,WP,gordon,40,40,40,40,Low
1985,WP,Hal,80,80,80,75,Medi
1985,WP,Hope,90,90,90,85,Medi
1985,WP,Irma,80,75,75,75,Medi
1985,WP,irving,50,50,50,50,Low
1985,WP,Jeff,70,70,70,65,Medi
1985,WP,Kit,75,70,70,70,Medi
1985,WP,lee,60,60,60,60,Low
1985,WP,Mimie,65,65,60,60,Medi
1985,WP,Nelson,80,80,75,75,Medi
1985,WP,Odessa,80,80,80,80,Medi
1985,WP,Pat,75,70,70,65,Medi
1985,WP,ruby,55,55,50,50,Low
1985,WP,td0617,35,35,35,35,Low
1985,WP,Tess,70,70,70,65,Medi
1985,WP,Two-C / Tropical Storm Skip,75,75,70,65,Medi
1985,WP,val,45,45,45,45,Low
1985,WP,winona,45,45,45,45,Low
1986,EP,Agatha,65,65,65,55,Medi
1986,EP,blas,35,35,30,30,Low
1986,EP,Celia,75,70,70,70,Medi
1986,EP,darby,35,35,35,30,Low
1986,EP,ESTELLE,115,115,115,115,High
1986,EP,Frank,75,75,75,65,Medi
1986,EP,howard,35,35,35,35,Low
1986,EP,isis,45,45,45,45,Low
1986,EP,JAVIER,115,115,110,110,High
1986,EP,kay,40,40,40,35,Low
1986,EP,lester,45,45,40,40,Low
1986,EP,madeline,60,60,60,60,Low
1986,EP,Newton,75,70,65,65,Medi
1986,EP,Orlene,70,70,70,70,Medi
1986,EP,Paine,85,80,80,80,Medi
1986,EP,ROSLYN,125,125,125,120,High
1986,NA,andrew,45,45,45,45,Low
1986,NA,Bonnie,75,75,70,65,Medi
1986,NA,Charley,70,65,65,65,Medi
1986,NA,danielle,50,50,50,45,Low
1986,NA,Earl,90,90,90,90,Medi
1986,NA,Frances,75,75,70,65,Medi
1986,SI,alifredy,36,36,36,36,Low
1986,SI,berobia,44,44,44,44,Low
1986,SI,costa,52,52,52,52,Low
1986,SI,delifina,52,52,52,52,Low
1986,SI,ERINESTA,92,92,92,92,High
1986,SI,filomena,36,36,36,36,Low
1986,SI,gista,52,52,52,52,Low
1986,SI,hector,40,40,40,35,Low
1986,SI,Honorinina,82,82,72,72,Medi
1986,SI,iarima,36,36,36,36,Low
1986,SI,Jefotra,72,72,72,72,Medi
1986,SI,krisostoma,60,55,50,50,Low
1986,SI,Lila,90,90,90,85,Medi
1986,SI,Nicholas,85,85,85,80,Medi
1986,SI,ophelia,45,40,40,40,Low
1986,SI,pancho,55,55,55,55,Low
1986,SI,Rhonda,65,65,65,65,Medi
1986,SI,selwyn,60,60,60,50,Low
1986,SI,tiffany,50,50,50,50,Low
1986,SI,VICTOR,100,100,90,90,High
1986,SP,alfred,40,40,40,40,Low
1986,SP,Ima,90,90,90,90,Medi
1986,SP,june,55,55,55,55,Low
1986,SP,keli,45,45,45,40,Low
1986,SP,lusi,40,40,40,40,Low
1986,SP,Manu,70,70,65,65,Medi
1986,SP,Martin,65,65,60,55,Medi
1986,SP,Namu,80,80,70,70,Medi
1986,SP,vernon,45,40,40,40,Low
1986,SP,Winifred,85,80,70,65,Medi
1986,WP,Abby,85,85,80,80,Medi
1986,WP,BEN,100,95,95,95,High
1986,WP,Carmen,85,85,85,80,Medi
1986,WP,dom,40,40,40,40,Low
1986,WP,Ellen,70,70,70,70,Medi
1986,WP,Forrest,90,85,85,85,Medi
1986,WP,georgette,60,60,60,60,Low
1986,WP,georgia,45,45,45,45,Low
1986,WP,herbert,60,60,60,55,Low
1986,WP,ida,50,50,50,50,Low
1986,WP,Joe,85,85,85,80,Medi
1986,WP,Judy,70,70,70,65,Medi
1986,WP,Ken,65,65,65,65,Medi
1986,WP,KIM,110,110,110,105,High
1986,WP,lex,50,50,45,40,Low
1986,WP,LOLA,120,120,120,120,High
1986,WP,mac,40,40,40,40,Low
1986,WP,Marge,85,85,80,80,Medi
1986,WP,Nancy,70,70,60,60,Medi
1986,WP,Norris,85,85,85,80,Medi
1986,WP,owen,45,45,45,40,Low
1986,WP,PEGGY,110,110,100,95,High
1986,WP,Roger,75,75,65,65,Medi
1986,WP,sarah(2),55,55,55,55,Low
1986,WP,Tip,70,70,70,70,Medi
1986,WP,Vera,90,90,90,90,Medi
1986,WP,Wayne,75,75,75,75,Medi
1987,EP,adrian,40,35,35,35,Low
1987,EP,beatriz,45,45,40,40,Low
1987,EP,calvin,55,55,50,45,Low
1987,EP,dora,50,50,45,45,Low
1987,EP,Eugene,85,80,80,75,Medi
1987,EP,fernanda,55,55,55,55,Low
1987,EP,Greg,70,70,65,65,Medi
1987,EP,HILARY,105,105,105,100,High
1987,EP,irwin,55,55,55,55,Low
1987,EP,Jova,90,90,80,75,Medi
1987,EP,knut,35,35,35,35,Low
1987,EP,Lidia,75,75,70,65,Medi
1987,EP,MAX,135,135,135,135,High
1987,EP,Norma,65,65,60,55,Medi
1987,EP,oka,50,50,50,50,Low
1987,EP,OTIS,100,100,100,100,High
1987,EP,Peke,90,90,90,90,Medi
1987,EP,pilar,35,30,30,30,Low
1987,EP,RAMON,120,120,120,120,High
1987,EP,selma,35,35,35,35,Low
1987,NA,Arlene,65,65,65,65,Medi
1987,NA,bret,45,45,45,40,Low
1987,NA,cindy,45,45,45,40,Low
1987,NA,dennis,45,45,45,40,Low
1987,NA,EMILY,110,105,95,90,High
1987,NA,Floyd,65,65,65,60,Medi
1987,SI,alinina,52,52,44,44,Low
1987,SI,bemazava,36,36,36,36,Low
1987,SI,clotilda,60,60,60,52,Low
1987,SI,Connie,85,85,85,80,Medi
1987,SI,damien,50,50,50,50,Low
1987,SI,Daodo,72,72,72,72,Medi
1987,SI,elizabeta,52,52,44,44,Low
1987,SI,ELSIE,100,100,90,90,High
1987,SI,kay,60,60,60,60,Low
1987,SP,blanch(e),45,45,45,45,Low
1987,SP,irma,60,60,50,50,Low
1987,SP,Jason,75,70,70,65,Medi
1987,SP,noname,50,50,50,50,Low
1987,SP,osea,55,50,50,45,Low
1987,SP,patsy,60,60,60,60,Low
1987,SP,Raja,80,80,80,80,Medi
1987,SP,Sally,80,80,80,80,Medi
1987,SP,Tusi,80,80,80,75,Medi
1987,SP,Veli,90,90,85,80,Medi
1987,SP,Wini,70,70,70,70,Medi
1987,SP,Yali,65,65,60,55,Medi
1987,SP,zuman,60,60,60,55,Low
1987,WP,Alex,65,65,65,60,Medi
1987,WP,BETTY,110,110,105,100,High
1987,WP,Cary,75,70,70,70,Medi
1987,WP,DINAH,100,100,100,100,High
1987,WP,FREDA,105,105,105,100,High
1987,WP,Gerald,80,80,75,75,Medi
1987,WP,HOLLY,110,110,110,110,High
1987,WP,Ian,75,75,75,75,Medi
1987,WP,june,45,45,45,45,Low
1987,WP,Kelly,75,75,75,75,Medi
1987,WP,LYNN,105,100,100,100,High
1987,WP,maury(2),45,45,45,40,Low
1987,WP,Nina,90,90,90,90,Medi
1987,WP,Orchid,90,90,80,75,Medi
1987,WP,Phyllis,75,75,70,70,Medi
1987,WP,ruth,45,45,45,35,Low
1987,WP,Sperry,65,65,65,65,Medi
1987,WP,THELMA,100,100,100,100,High
1987,WP,vernon,60,60,60,55,Low
1987,WP,WYNNE,100,100,100,100,High
1988,EP,aletta,60,60,60,60,Low
1988,EP,bud,45,40,40,40,Low
1988,EP,Carlotta,65,65,65,65,Medi
1988,EP,daniel,55,55,50,50,Low
1988,EP,debby,30,30,30,30,Low
1988,EP,emilia,60,60,55,55,Low
1988,EP,FABIO,120,115,110,105,High
1988,EP,gilma,45,45,40,40,Low
1988,EP,HECTOR,125,125,120,120,High
1988,EP,Iva,90,90,90,90,Medi
1988,EP,john,35,35,35,30,Low
1988,EP,Kristy,80,80,75,75,Medi
1988,EP,Lane,90,90,85,85,Medi
1988,EP,miriam,60,60,55,55,Low
1988,EP,ULEKI,110,105,105,105,High
1988,EP,wila,35,35,35,25,Low
1988,NA,alberto,35,35,35,35,Low
1988,NA,beryl,45,45,45,40,Low
1988,NA,chris,45,40,40,35,Low
1988,NA,debby,65,65,50,50,Low
1988,NA,ernesto,55,50,50,45,Low
1988,NA,Florence,70,70,70,65,Medi
1988,NA,GILBERT,160,155,145,140,High
1988,NA,HELENE,125,120,120,120,High
1988,NA,isaac,40,35,35,30,Low
1988,NA,Keith,65,65,65,65,Medi
1988,NA,MIRIAM,125,125,120,120,High
1988,SI,ariny,36,28,28,28,Low
1988,SI,benandro,36,36,36,36,Low
1988,SI,calidera,36,36,36,36,Low
