困難度,有用性,興味,学習行動,成績
6,10,15,24,61
10,7,10,35,52
10,6,9,35,49
3,9,13,49,57
3,12,14,49,56
10,5,6,30,18
3,6,7,49,51
5,12,15,43,44
10,3,10,29,51
4,12,11,41,57
7,12,20,55,56
9,9,7,29,31
5,6,11,49,41
6,11,13,38,49
4,10,12,36,49
4,7,12,39,35
3,12,11,60,54
3,10,13,60,64
6,10,18,40,66
6,6,16,57,57
4,9,14,55,66
7,5,9,57,46
8,6,6,20,24
5,6,12,49,35
12,5,4,41,51
5,8,14,54,54
12,3,12,16,27
4,7,12,47,40
3,11,8,50,41
8,4,10,54,59
3,12,16,59,66
3,9,9,51,61
7,10,13,41,48
4,12,8,57,44
8,7,14,54,54
3,8,13,50,48
5,9,20,60,43
5,4,8,22,26
6,9,12,58,65
7,12,13,37,46
6,3,4,35,21
4,11,12,42,58
12,7,5,60,75
3,12,16,47,36
4,10,17,60,54
5,4,16,51,68
5,7,15,59,61
3,10,12,30,46
6,11,14,39,48
3,11,13,49,54
10,12,17,41,43
10,7,14,33,66
3,5,7,39,52
5,9,14,47,68
3,12,18,59,43
4,9,15,52,57
12,4,11,44,52
8,6,10,48,59
3,12,14,52,49
3,12,10,46,61
4,9,14,59,41
6,9,16,58,73
7,9,13,47,74
6,10,14,56,36
4,10,14,54,59
4,7,19,59,77
11,12,13,20,23
6,6,8,54,66
8,8,12,60,43
5,6,8,49,40
8,7,18,43,43
7,7,10,47,49
6,3,6,54,27
3,12,10,34,49
8,12,7,43,35
6,11,15,53,66
3,10,11,59,49
5,10,12,60,57
3,8,7,42,46
10,7,8,60,43
9,8,8,42,46
5,10,10,29,57
7,6,11,60,59
8,11,11,22,48
