ID,shape,color,area,conv
156,square,black,28,1
157,square,black,47,1
158,square,black,49,1
159,square,black,25,1
160,square,black,36,0
161,square,black,18,0
162,square,black,55,1
163,square,black,29,1
164,square,black,19,1
165,square,black,36,1
166,square,black,35,1
167,square,black,10,0
168,square,black,49,0
169,square,black,16,0
170,square,black,51,0
171,square,black,36,1
172,square,black,40,0
173,square,black,3,0
174,square,black,48,0
175,square,black,69,0
176,square,black,55,1
177,square,black,25,0
178,square,black,21,1
179,square,black,41,1
180,square,black,5,0
181,square,black,44,1
182,square,black,20,0
183,square,black,18,0
184,square,black,5,0
185,square,black,9,1
186,square,black,3,0
187,square,black,27,1
188,square,black,43,1
189,square,black,29,0
190,square,black,49,1
191,square,black,61,1
192,square,black,35,0
193,square,black,26,0
194,square,black,36,1
195,square,black,19,0
196,square,black,18,0
197,square,black,81,0
198,square,black,18,1
199,square,black,55,1
200,square,black,32,1
201,square,black,41,0
202,square,black,3,0
203,square,black,3,0
204,square,black,26,0
205,square,black,54,1
206,square,black,31,1
207,square,black,34,1
208,square,black,21,0
209,square,black,3,0
210,square,black,21,1
211,square,black,37,0
212,square,black,17,0
213,square,black,64,0
214,square,black,10,0
215,square,black,33,0
216,square,black,19,0
217,square,black,77,1
218,square,black,63,0
219,square,black,35,0
220,square,black,53,1
221,square,black,38,1
222,square,black,19,0
223,square,black,3,0
224,square,black,50,1
225,square,black,20,1
226,square,black,43,0
227,square,black,37,0
228,square,black,3,0
229,square,black,14,0
230,square,black,62,0
231,square,black,63,0
232,square,black,28,1
233,square,black,42,0
234,square,black,3,1
235,square,black,15,0
236,square,black,56,1
237,square,black,49,0
238,square,black,3,0
239,square,black,33,0
240,square,black,45,1
241,square,black,60,1
242,square,black,8,0
243,square,black,47,0
244,square,black,34,0
245,square,black,39,0
246,square,black,23,1
247,square,black,38,1
248,square,black,29,1
249,square,black,34,0
250,square,black,40,1
251,square,black,18,1
252,square,black,31,1
253,square,black,44,1
254,square,black,57,1
255,square,black,9,1
256,square,black,31,1
257,square,black,12,0
258,square,black,30,1
259,square,black,26,1
260,square,black,14,1
261,square,black,24,1
262,square,black,8,0
263,square,black,31,0
264,square,black,38,0
265,square,black,24,1
266,square,black,45,1
267,square,black,44,1
268,square,black,51,1
269,square,black,16,0
270,square,black,30,1
271,square,black,39,1
272,square,black,45,1
273,square,black,14,0
274,square,black,46,1
275,square,black,52,0
276,square,black,29,0
277,square,black,45,0
278,square,black,31,1
279,square,black,27,0
280,square,black,35,0
281,square,black,67,0
282,square,black,51,1
283,square,black,59,1
284,square,black,45,0
285,square,black,21,1
286,square,black,3,0
287,square,black,35,1
288,square,black,61,1
289,square,black,6,0
290,square,black,20,1
291,square,black,4,0
292,square,black,3,0
293,square,black,67,1
294,square,black,51,0
295,square,black,7,0
296,square,black,34,1
297,square,black,36,1
298,square,black,33,0
299,square,black,65,1
300,square,black,22,0
301,square,black,10,0
302,square,black,13,1
303,square,black,32,0
304,square,black,3,0
305,square,black,30,1
306,square,black,46,1
307,square,black,68,1
308,square,black,12,1
309,square,black,65,1
310,square,black,3,0
311,square,black,13,0
312,square,black,47,1
313,square,black,3,0
314,square,black,3,0
315,square,black,18,0
316,square,black,18,0
317,square,black,32,1
318,square,black,56,0
319,square,black,19,1
320,square,black,70,1
321,square,black,28,0
322,square,black,35,0
323,square,black,36,1
324,square,black,20,1
325,square,black,25,1
326,square,black,78,0
327,square,black,3,0
328,square,black,13,0
329,square,black,32,1
330,square,black,37,1
331,square,black,22,0
332,square,black,26,0
333,square,black,35,0
334,square,black,17,0
335,square,black,3,0
336,square,black,37,1
337,square,black,59,1
338,square,black,45,1
339,square,black,11,1
340,square,black,25,1
341,square,black,100,1
342,square,black,31,1
343,square,black,6,0
344,square,black,63,1
345,square,black,39,1
346,square,black,20,1
347,square,black,38,1
348,square,black,54,1
349,square,black,33,1
350,square,black,52,1
351,square,black,19,1
352,square,black,47,0
353,square,black,38,1
354,square,black,30,0
355,square,black,19,1
356,square,black,31,1
357,square,black,43,1
358,square,black,24,1
359,square,black,45,0
360,square,black,36,1
361,square,black,8,0
362,square,black,32,0
363,square,black,31,1
364,square,black,38,0
365,square,black,37,0
366,square,black,17,1
367,square,black,29,0
368,square,black,34,0
369,square,black,50,1
370,square,black,48,0
371,square,black,27,0
372,square,black,34,1
373,square,black,52,0
374,square,black,79,1
375,square,black,79,0
376,square,black,10,0
377,square,black,16,1
378,square,black,25,1
379,square,black,39,1
380,square,black,4,0
381,square,black,44,1
382,square,black,29,1
383,square,black,34,1
384,square,black,6,0
385,square,black,89,1
386,square,black,30,0
387,square,black,30,1
388,square,black,72,1
389,square,black,4,0
390,square,black,37,0
391,square,black,31,0
392,square,black,54,1
393,square,black,23,0
394,square,black,46,1
395,square,black,45,0
396,square,black,16,0
397,square,black,23,1
398,square,black,36,1
399,square,black,33,0
400,square,black,42,1
401,square,black,55,0
402,square,black,13,0
403,square,black,36,1
404,square,black,56,0
405,square,black,35,1
406,square,black,11,0
407,square,black,57,1
408,square,black,21,1
409,square,black,43,1
410,square,black,4,0
411,square,black,54,0
412,square,black,51,0
413,square,black,32,1
414,square,black,52,1
415,square,black,7,0
416,square,black,17,1
417,square,black,9,0
418,square,black,92,1
419,square,black,62,1
420,square,black,44,1
421,square,black,39,0
422,square,black,50,0
423,square,black,3,0
424,square,black,20,1
425,square,black,75,0
426,square,black,3,0
427,square,black,93,0
428,square,black,53,1
429,square,black,29,1
430,square,black,51,0
431,square,black,56,0
432,square,black,34,0
433,square,black,7,1
434,square,black,9,0
435,square,black,53,0
436,square,black,8,0
437,square,black,33,0
438,square,black,71,0
439,square,black,20,0
440,square,black,3,0
441,square,black,3,0
442,square,black,75,0
443,square,black,35,0
444,square,black,62,0
445,square,black,76,0
446,square,black,22,1
447,square,black,34,1
448,square,black,49,1
449,square,black,50,1
450,square,black,15,0
451,square,black,23,0
452,square,black,61,1
453,square,black,56,1
454,square,black,39,0
455,square,black,17,0
456,square,black,22,0
457,square,black,31,0
458,square,black,11,1
459,square,black,34,1
460,square,black,31,0
461,square,black,14,0
462,square,black,58,0
463,square,black,78,0
464,square,black,56,1
465,square,black,74,1
466,square,black,14,0
467,square,black,48,1
468,square,black,3,0
469,square,black,25,1
470,square,black,12,1
471,square,black,19,0
472,square,black,3,0
473,square,black,21,0
474,square,black,42,0
475,square,black,51,1
476,square,black,19,1
477,square,black,64,0
478,square,black,27,0
479,square,black,22,0
480,square,black,47,0
481,square,black,50,1
482,square,black,46,1
483,square,black,48,1
484,square,black,28,1
485,square,black,25,1
486,square,black,39,0
487,square,black,11,0
488,square,black,7,0
489,square,black,17,0
490,square,black,30,1
491,square,black,46,0
492,square,black,19,0
493,square,black,25,0
494,square,black,43,0
495,square,black,46,1
496,square,black,20,1
497,square,black,42,1
498,square,black,46,1
499,square,black,37,1
500,square,black,12,0
501,square,black,46,0
502,square,black,66,0
503,square,black,17,0
504,square,black,44,0
505,square,black,11,0
506,square,black,26,1
507,square,black,30,1
508,square,black,58,1
509,square,black,43,1
510,square,black,31,1
511,square,black,14,0
512,square,black,27,1
513,square,black,30,1
514,square,black,19,1
515,square,black,3,0
516,square,black,23,1
517,square,black,44,0
518,square,black,51,1
519,square,black,34,1
520,square,black,14,1
521,square,black,13,1
522,square,black,19,1
523,square,black,36,0
524,square,black,77,1
525,square,black,3,0
526,square,black,37,1
527,square,black,49,1
528,square,black,3,1
529,square,black,54,0
530,square,black,39,1
531,square,black,44,0
532,square,black,34,0
533,square,black,10,1
534,square,black,10,0
535,square,black,31,0
536,square,black,23,1
537,square,black,47,1
538,square,black,20,0
539,square,black,40,1
540,square,black,16,0
541,square,black,3,0
542,square,black,45,0
543,square,black,35,1
544,square,black,68,0
545,square,black,27,0
546,square,black,24,0
547,square,black,6,0
548,square,black,49,1
549,square,black,20,1
550,square,black,6,0
551,square,black,3,0
552,square,black,17,0
553,square,black,3,1
554,square,black,40,0
555,square,black,27,1
556,square,black,49,0
557,square,black,30,1
558,square,black,18,0
559,square,black,27,1
560,square,black,25,1
561,square,black,25,1
562,square,black,30,0
563,square,black,28,0
564,square,black,55,1
565,square,black,17,0
566,square,black,41,1
567,square,black,6,0
568,square,black,3,0
569,square,black,35,0
570,square,black,44,1
571,square,black,33,0
572,square,black,61,1
573,square,black,37,0
574,square,black,47,0
575,square,black,39,0
576,square,black,37,1
577,square,black,12,0
578,square,black,31,0
579,square,black,3,1
580,square,black,56,1
581,square,black,11,1
582,square,black,34,1
583,square,black,41,0
584,square,black,44,0
585,square,black,73,1
586,square,black,69,1
587,square,black,38,1
588,square,black,43,1
589,square,black,33,0
590,square,black,39,1
591,square,black,7,0
592,square,black,8,1
593,square,black,53,1
594,square,black,50,1
595,square,black,34,0
596,square,black,6,0
597,square,black,31,1
598,square,black,50,0
599,square,black,3,0
600,square,black,3,0
601,square,black,42,0
602,square,black,40,1
603,square,black,70,1
604,square,black,23,0
605,square,black,61,1
606,square,black,38,0
607,square,black,18,0
608,square,black,40,0
609,square,black,32,0
610,square,black,22,0
611,square,black,40,0
612,square,black,28,0
613,square,black,20,0
614,square,black,35,1
615,square,black,3,0
616,square,black,59,0
617,square,black,53,1
618,square,black,48,1
619,square,black,38,1
620,square,black,42,1
621,square,black,37,0
622,square,black,68,0
623,square,black,24,0
624,square,black,17,1
625,square,black,3,0
626,square,black,40,0
627,square,black,49,1
628,square,black,27,0
629,square,black,11,0
630,square,black,49,1
631,square,black,32,1
632,square,black,26,1
633,square,black,15,0
634,square,black,39,1
635,square,black,30,0
636,square,black,33,1
637,square,black,3,0
638,square,black,10,0
639,square,black,23,0
640,square,black,24,1
641,square,black,34,1
642,square,black,59,1
643,square,black,32,1
644,square,black,3,0
645,square,black,29,0
646,square,black,50,0
647,square,black,32,0
648,square,black,67,0
649,square,black,53,0
650,square,black,33,1
651,square,black,22,1
652,square,black,39,1
653,square,black,44,0
654,square,black,65,0
655,square,black,47,1
656,square,black,46,1
657,square,black,26,1
658,square,black,3,0
659,square,black,22,1
660,square,black,33,1
661,square,black,18,1
662,square,black,41,0
663,square,black,60,0
664,square,black,29,1
665,square,black,24,0
666,square,black,11,0
667,square,black,34,0
668,square,black,19,0
669,square,black,57,1
670,square,black,47,1
671,square,black,48,0
672,square,black,17,0
673,square,black,39,1
674,square,black,3,0
675,square,black,47,1
676,square,black,94,1
677,square,black,27,1
678,square,black,38,1
679,square,black,62,1
680,square,black,4,0
681,square,black,47,1
682,square,black,12,1
683,square,black,12,0
684,square,black,39,0
685,square,black,39,1
686,square,black,9,0
687,square,black,82,0
688,square,black,47,1
689,square,black,36,1
690,square,black,46,1
691,square,black,53,1
692,square,black,27,1
693,square,black,32,1
694,square,black,49,0
695,square,black,19,0
696,square,black,38,1
697,square,black,40,1
698,square,black,8,0
699,square,black,32,0
700,square,black,87,1
701,square,black,52,1
702,square,black,86,0
703,square,black,57,1
704,square,black,50,1
705,square,black,10,0
706,square,black,21,1
707,square,black,55,1
708,square,black,38,1
709,square,black,3,0
710,square,black,35,1
711,square,black,49,0
712,square,black,32,1
713,square,black,28,0
714,square,black,3,0
715,square,black,35,1
716,square,black,20,0
717,square,black,43,1
718,square,black,7,1
719,square,black,20,1
720,square,black,25,1
721,square,black,28,1
722,square,black,55,1
723,square,black,50,1
724,square,black,55,1
725,square,black,21,0
726,square,black,9,1
727,square,black,73,1
728,square,black,48,1
729,square,black,3,0
730,square,black,45,0
731,square,black,39,0
732,square,black,25,1
733,square,black,62,1
734,square,black,31,1
735,square,black,26,0
736,square,black,49,1
737,square,black,21,0
738,square,black,23,1
739,square,black,25,0
740,square,black,10,0
741,square,black,26,0
742,square,black,14,1
743,square,black,40,1
744,square,black,29,1
745,square,black,26,1
746,square,black,16,0
747,square,black,33,1
748,square,black,12,0
749,square,black,29,0
750,square,black,37,1
751,square,black,25,1
752,square,black,5,0
753,square,black,46,1
754,square,black,56,1
755,square,black,33,0
756,square,black,25,1
757,square,black,31,0
758,square,black,15,0
759,square,black,3,0
760,square,black,12,1
761,square,black,16,0
762,square,black,36,1
763,square,black,39,1
764,square,black,52,1
765,square,black,35,0
766,square,black,15,1
767,square,black,42,1
768,square,black,65,1
769,square,black,25,1
770,square,black,20,0
771,square,black,42,0
772,square,black,22,0
773,square,black,16,0
774,square,black,34,1
775,square,black,41,1
776,square,black,54,0
777,square,black,31,1
778,square,black,3,1
779,square,black,44,0
780,square,black,10,0
781,square,black,51,0
782,square,black,29,0
783,square,black,10,0
784,square,black,25,1
785,square,black,28,1
786,square,black,16,0
787,square,black,56,1
788,square,black,61,0
789,square,black,28,1
790,square,black,39,0
791,square,black,42,1
792,square,black,55,0
793,square,black,9,0
794,square,black,30,1
795,square,black,24,1
796,square,black,16,1
797,square,black,23,1
798,square,black,41,1
799,square,black,3,0
800,square,black,17,0
801,square,black,33,1
802,square,black,54,1
803,square,black,38,0
804,square,black,53,1
805,square,black,28,1
806,square,black,20,1
807,square,black,46,1
808,square,black,33,1
809,square,black,69,1
810,square,black,9,0
811,square,black,54,0
812,square,black,17,0
813,square,black,16,0
814,square,black,21,1
815,square,black,19,1
816,square,black,3,0
817,square,black,48,1
818,square,black,32,1
819,square,black,74,0
820,square,black,34,0
821,square,black,48,0
822,square,black,41,1
823,square,black,59,0
824,square,black,25,1
825,square,black,35,0
826,square,black,50,1
827,square,black,20,1
828,square,black,29,1
829,square,black,43,1
830,square,black,19,0
831,square,black,51,0
832,square,black,55,0
833,square,black,60,1
834,square,black,3,0
835,square,black,25,0
836,square,black,30,0
837,square,black,25,0
838,square,black,9,0
839,square,black,25,0
840,square,black,35,0
841,square,black,28,0
842,square,black,12,0
843,square,black,29,1
844,square,black,44,1
845,square,black,10,0
846,square,black,20,0
847,square,black,6,0
848,square,black,63,0
849,square,black,39,1
850,square,black,27,1
851,square,black,25,1
852,square,black,28,0
853,square,black,9,0
854,square,black,40,1
855,square,black,74,0
856,square,black,54,1
857,square,black,51,1
858,square,black,6,1
859,square,black,51,0
860,square,black,51,1
861,square,black,9,0
862,square,black,31,0
863,square,black,15,0
864,square,black,7,0
865,square,black,40,1
866,square,black,31,1
867,square,black,58,1
868,square,black,7,0
869,square,black,36,0
870,square,black,21,0
871,square,black,30,0
872,square,black,50,0
873,square,black,30,1
874,square,black,31,0
875,square,black,3,0
876,square,black,34,0
877,square,black,28,1
878,square,black,16,1
879,square,black,61,0
880,square,black,49,1
881,square,black,18,1
882,square,black,3,0
883,square,black,19,1
884,square,black,32,1
885,square,black,34,1
886,square,black,50,1
887,square,black,22,1
888,square,black,59,1
889,square,black,3,0
890,square,black,65,0
891,square,black,39,0
892,square,black,75,0
893,square,black,46,1
894,square,black,54,1
895,square,black,46,1
896,square,black,15,1
897,square,black,61,0
898,square,black,14,0
899,square,black,35,1
900,square,black,24,1
901,square,black,37,0
902,square,black,19,1
903,square,black,33,0
904,square,black,45,0
905,square,black,63,0
906,square,black,36,1
907,square,black,21,1
908,square,black,54,1
909,square,black,16,0
910,square,black,35,1
911,square,black,18,0
912,square,black,40,1
913,square,black,59,1
914,square,black,28,1
915,square,black,26,1
916,square,black,3,0
917,square,black,47,1
918,square,black,45,1
919,square,black,3,0
920,square,black,3,0
921,square,black,50,1
922,square,black,21,0
923,square,black,6,0
924,square,black,28,0
925,square,black,31,1
926,square,black,34,0
927,square,black,3,0
928,square,black,22,0
929,square,black,15,1
930,square,black,61,0
931,square,black,22,0
932,square,black,37,0
933,square,black,8,1
934,square,black,26,1
935,square,black,67,1
936,square,black,13,0
937,square,black,9,0
938,square,black,38,1
939,square,black,19,1
940,square,black,42,0
941,square,black,34,1
942,square,black,9,1
943,square,black,29,0
944,square,black,29,1
945,square,black,33,1
946,square,black,59,1
947,square,black,47,1
948,square,black,40,0
949,square,black,41,1
950,square,black,25,1
951,square,black,30,1
952,square,black,12,0
953,square,black,42,0
954,square,black,61,1
955,square,black,41,1
956,square,black,47,1
957,square,black,3,0
958,square,black,57,0
959,square,black,75,0
960,square,black,43,1
961,square,black,62,0
962,square,black,37,0
963,square,black,41,0
964,square,black,21,1
965,square,black,26,1
966,square,black,47,1
967,square,black,65,0
968,square,black,38,1
969,square,black,35,1
970,square,black,15,1
971,square,black,45,0
972,square,black,26,0
973,square,black,3,0
974,square,black,91,1
975,square,black,39,0
976,square,black,31,0
977,square,black,70,1
978,square,black,3,0
979,square,black,35,1
980,square,black,15,0
981,square,black,56,1
982,square,black,57,1
983,square,black,67,1
984,square,black,59,1
985,square,black,19,0
986,square,black,8,0
987,square,black,48,1
988,square,black,80,0
989,square,black,27,0
990,square,black,63,1
991,square,black,44,0
992,square,black,11,0
993,square,black,3,0
994,square,black,18,1
995,square,black,45,0
996,square,black,27,1
997,square,black,21,1
998,square,black,40,0
999,square,black,44,1
1000,square,black,14,1
1001,square,black,3,1
1002,square,black,25,1
1003,square,black,14,1
1004,square,black,34,0
1005,square,black,33,1
1006,square,black,51,1
1007,square,black,50,0
1008,square,black,105,1
1009,square,black,61,0
1010,square,black,32,1
1011,square,black,18,0
1012,square,black,73,1
1013,square,black,39,1
1014,square,black,31,1
1015,square,black,18,0
1016,square,black,48,0
1017,square,black,56,0
1018,square,black,13,0
1019,square,black,44,1
1020,square,black,32,1
1021,square,black,38,1
1022,square,black,31,1
1023,square,black,18,1
1024,square,black,81,1
1025,square,black,17,0
1026,square,black,44,1
1027,square,black,3,0
1028,square,black,36,1
1029,square,black,22,1
1030,square,black,46,1
1031,square,black,56,0
1032,square,black,15,1
1033,square,black,39,0
1034,square,black,18,1
1035,square,black,66,0
1036,square,black,3,1
1037,square,black,32,1
1038,square,black,55,0
1039,square,black,3,0
1040,square,black,24,1
1041,square,black,21,0
1042,square,black,23,0
1043,square,black,33,0
1044,square,black,23,0
1045,square,black,50,0
1046,square,black,58,0
1047,square,black,16,0
1048,square,black,8,0
1049,square,black,18,1
1050,square,black,15,0
1051,square,black,25,0
1052,square,black,16,0
1053,square,black,27,0
1054,square,black,24,1
1055,square,black,48,0
1056,square,black,28,0
1057,square,black,36,0
1058,square,black,32,1
1059,square,black,52,1
1060,square,black,34,1
1061,square,black,32,1
1062,square,black,52,1
1063,square,black,52,1
1064,square,black,27,1
1065,square,black,27,1
1066,square,black,47,1
1067,square,black,26,1
1068,square,black,58,1
1069,square,black,42,1
1070,square,black,45,0
1071,square,black,3,0
1072,square,black,72,0
1073,square,black,3,1
1074,square,black,64,0
1075,square,black,44,1
1076,square,black,51,1
1077,square,black,25,0
1078,square,black,39,0
1079,square,black,21,0
1080,square,black,56,0
1081,square,black,23,1
1082,square,black,59,0
1083,square,black,47,1
1084,square,black,18,0
1085,square,black,55,0
1086,square,black,22,0
1087,square,black,15,0
1088,square,black,34,0
1089,square,black,42,1
1090,square,black,47,1
1091,square,black,12,1
1092,square,black,29,1
1093,square,black,41,1
1094,square,black,21,1
1095,square,black,51,0
1096,square,black,36,1
1097,square,black,32,1
1098,square,black,40,1
1099,square,black,59,0
1100,square,black,71,1
1101,square,black,48,1
1102,square,black,12,0
1103,square,black,41,1
1104,square,black,32,0
1105,square,black,40,1
1106,square,black,14,0
1107,square,black,71,0
1108,square,black,21,1
1109,square,black,37,1
1110,square,black,3,0
1111,square,black,3,0
1112,square,black,15,1
1113,square,black,34,1
1114,square,black,37,1
1115,square,black,44,1
1116,square,black,55,1
1117,square,black,53,1
1118,square,black,32,0
1119,square,black,14,1
1120,square,black,50,0
1121,square,black,33,1
1122,square,black,16,0
1123,square,black,55,0
1124,square,black,63,1
1125,square,black,6,1
1126,square,black,14,0
1127,square,black,24,0
1128,square,black,40,0
1129,square,black,46,0
1130,square,black,33,1
1131,square,black,74,1
1132,square,black,68,0
1133,square,black,47,0
1134,square,black,56,1
1135,square,black,12,1
1136,square,black,51,0
1137,square,black,35,1
1138,square,black,24,0
1139,square,black,54,0
1140,square,black,97,1
1141,square,black,39,1
1142,square,black,17,0
1143,square,black,30,1
1144,square,black,41,1
1145,square,black,19,0
1146,square,black,28,1
1147,square,black,17,0
1148,square,black,57,1
1149,square,black,14,0
1150,square,black,40,0
1151,square,black,16,0
1152,square,black,49,0
1153,square,black,26,1
1154,square,black,49,0
1155,square,black,10,1
1156,square,black,36,1
1157,square,black,62,0
1158,square,black,15,1
1159,square,black,12,1
1160,square,black,23,0
1161,square,black,29,0
1162,square,black,3,0
1163,square,black,5,0
1164,square,black,19,0
1165,square,black,45,1
1166,square,black,11,0
1167,square,black,43,0
1168,square,black,24,0
1169,square,black,21,1
1170,square,black,43,0
1171,square,black,59,1
1172,square,black,4,0
1173,square,black,14,0
1174,square,black,10,0
1175,square,black,3,0
1176,square,black,48,0
1177,square,black,66,0
1178,square,black,38,1
1179,square,black,36,0
1180,square,black,54,1
1181,square,black,30,1
1182,square,black,16,1
1183,square,black,12,0
1184,square,black,3,0
1185,square,black,14,0
1186,square,black,17,1
1187,square,black,32,1
1188,square,black,27,1
1189,square,black,15,1
1190,square,black,25,1
1191,square,black,45,1
1192,square,black,3,0
1193,square,black,9,0
1194,square,black,63,1
1195,square,black,51,1
1196,square,black,49,1
1197,square,black,28,1
1198,square,black,51,0
1199,square,black,11,0
1200,square,black,58,1
1201,square,black,35,1
1202,square,black,40,0
1203,square,black,25,0
1204,square,black,4,0
1205,square,black,37,1
1206,square,black,17,1
1207,square,black,46,1
1208,square,black,18,0
1209,square,black,19,0
1210,square,black,58,1
1211,square,black,3,0
1212,square,black,47,1
1213,square,black,58,0
1214,square,black,30,1
1215,square,black,11,0
1216,square,black,17,0
1217,square,black,54,1
1218,square,black,29,0
1219,square,black,51,1
1220,square,black,25,1
1221,square,black,14,0
1222,square,black,8,0
1223,square,black,43,1
1224,square,black,49,1
1225,square,black,15,0
1226,square,black,30,1
1227,square,black,55,0
1228,square,black,25,0
1229,square,black,7,0
1230,square,black,52,0
1231,square,black,40,0
1232,square,black,57,0
1233,square,black,47,0
1234,square,black,28,1
1235,square,black,40,1
1236,square,black,4,0
1237,square,black,29,1
1238,square,black,36,0
1239,square,black,58,1
1240,square,black,24,1
1241,square,black,52,0
1242,square,black,18,0
1243,square,black,43,0
1244,square,black,35,0
1245,square,black,73,0
1246,square,black,56,0
1247,square,black,29,1
1248,square,black,91,0
1249,square,black,55,0
1250,square,black,44,0
1251,square,black,33,1
1252,square,black,29,0
1253,square,black,33,0
1254,square,black,25,1
1255,square,black,17,1
1256,square,black,12,1
1257,square,black,19,0
1258,square,black,25,1
1259,square,black,40,0
1260,square,black,58,1
1261,square,black,7,0
1262,square,black,80,0
1263,square,black,41,1
1264,square,black,47,1
1265,square,black,3,0
1266,square,black,45,0
1267,square,black,37,1
1268,square,black,36,0
1269,square,black,9,1
1270,square,black,3,0
1271,square,black,15,0
1272,square,black,35,1
1273,square,black,39,0
1274,square,black,8,0
1275,square,black,38,1
1276,square,black,32,1
1277,square,black,29,1
1278,square,black,4,0
1279,square,black,55,1
1280,square,black,59,0
1281,square,black,20,1
1282,square,black,14,1
1283,square,black,47,0
1284,square,black,28,1
1285,square,black,47,0
1286,square,black,32,1
1287,square,black,36,1
1288,square,black,35,0
1289,square,black,36,0
1290,square,black,41,0
1291,square,black,12,1
1292,square,black,51,1
1293,square,black,14,1
1294,square,black,35,1
1295,square,black,43,1
1296,square,black,23,0
1297,square,black,30,1
1298,square,black,46,0
1299,square,black,34,1
1300,square,black,4,0
1301,square,black,46,0
1302,square,black,64,1
1303,square,black,55,0
1304,square,black,3,0
1305,square,black,16,1
1306,square,black,5,1
1307,square,black,32,1
1308,square,black,28,1
1309,square,black,19,0
1310,square,black,7,0
1311,square,black,34,0
1312,square,black,11,0
1313,square,black,76,1
1314,square,black,19,0
1315,square,black,45,0
1316,square,black,22,0
1317,square,black,34,1
1318,square,black,66,0
1319,square,black,15,0
1320,square,black,10,0
1321,square,black,3,1
1322,square,black,23,1
1323,square,black,32,0
1324,square,black,44,0
1325,square,black,70,1
1326,square,black,3,1
1327,square,black,50,0
1328,square,black,52,1
1329,square,black,33,1
1330,square,black,46,1
1331,square,black,54,1
1332,square,black,57,1
1333,square,black,53,0
1334,square,black,49,0
1335,square,black,31,0
1336,square,black,34,1
1337,square,black,34,1
1338,square,black,12,1
1339,square,black,14,1
1340,square,black,85,0
1341,square,black,17,0
1342,square,black,64,0
1343,square,black,16,0
1344,square,black,39,0
1345,square,black,38,1
1346,square,black,18,1
1347,square,black,26,1
1348,square,black,3,0
1349,square,black,34,0
1350,square,black,9,0
1351,square,black,31,1
1352,square,black,24,1
1353,square,black,44,1
1354,square,black,23,1
1355,square,black,27,0
1356,square,black,18,1
1357,square,black,58,1
1358,square,black,46,1
1359,square,black,48,0
1360,square,black,25,0
1361,square,black,11,1
