Year,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C3803,C3804,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,F3106,G5105,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2008,R01000,ñkäCìπ,5548000,2626000,2922000,5530000,2619000,2911000,675000,344000,331000,3555000,1728000,1828000,1305000,544000,760000,41074,21005,20069,1.2,52955,28713,24242,49497,29876,19621,70626,42405,28221,29115,12677,9.5,25.7,-7.5,121,843,21348,5586615,3504,115395,660,61797,22000,75200,562,5200,67776,1307,19836,283111,687,12585,150790,50544,49370,321,11791,148535,47293,19508,21,36,415,6325,7165,81503,3549,599,17846,2331,184,61,33779,4736,371723,1266313,467068,60693,63569,61139,93855,36050,11282,20033,4292,3129408,1509074,471231,1110482,524,3375,3027,831,65151,532,64357,9272,288692,64770,23728,25648,8849,11811,10931,36944,10787,30331,64893
2007,R01000,ñkäCìπ,5579000,2644000,2935000,5562000,2637000,2925000,689000,351000,338000,3608000,1753000,1855000,1274000,534000,740000,41550,21070,20480,1.19,51456,28142,23314,51445,30799,20646,71712,43170,28542,28825,12956,9.4,28.3,-5.2,132,1028.5,23514,6503298,3556,114909,653,60123,23400,71600,569,5168,69107,1334,19834,286496,696,12649,154550,52346,51205,326,11954,150769,48189,19439,21,36,449,6418,7844,82265,3800,540,18175,2384,184,66,35635,5124,370891,1421043,675182,127709,134254,129717,111325,42397,12049,22919,7098,3737272,1643068,808501,1261767,534,3381,3051,832,64781,450,64209,9055,289715,63948,22306,24174,8429,12314,12955,36094,10763,32836,65896
2006,R01000,ñkäCìπ,5605000,2661000,2944000,5589000,2654000,2935000,704000,359000,345000,3656000,1776000,1879000,1241000,522000,719000,42204,21899,20305,1.18,50229,27519,22710,52600,31553,21047,70986,43070,27916,30210,13182,9.1,28.8,-6.8,143,1145.5,26663,7575052,3666,113906,628,57274,23300,58800,572,5153,69274,1371,19902,292704,708,12671,156550,53333,52059,330,12108,155140,51010,19579,22,36,541,6324,8608,82570,4241,776,18078,2255,184,77,37498,5939,385156,1537175,830159,156413,161880,157009,116318,49946,13411,29520,6631,4311819,1868078,741004,1671910,543,3366,3055,830,64046,638,64025,8992,289261,61090,34551,24109,7628,12327,11223,37406,9414,28579,62933
2017,R02000,ê¬êXåß,1278000,600000,678000,1274000,599000,675000,141000,72000,69000,731000,362000,368000,407000,166000,241000,8035,4104,3931,1.43,17575,8868,8707,17454,10449,7005,23529,12997,10532,5122,2092,10.7,28.6,-3.2,172,1388,6731,1143670,693,20461,140,11706,16300,33600,94,695,5734,289,4753,59233,161,3148,33921,11830,11599,78,3061,35865,11717,5491,5,10,142,1356,1287,15055,651,24,3368,257,28,11,2373,286,58225,203753,227618,18233,19476,17609,15396,6454,3725,2105,561,653599,473907,53278,120944,78,881,534,467,34493,0,32943,3252,246650,69216,13980,27751,8785,7371,11031,30689,5877,21813,50136
2016,R02000,ê¬êXåß,1293000,608000,686000,1290000,606000,683000,145000,74000,71000,748000,370000,377000,401000,164000,238000,8626,4380,4246,1.48,17309,8777,8532,17061,10203,6858,23384,12901,10483,5135,2164,11,28.7,-3,170,1389.5,6704,1214427,704,20380,136,11433,16400,33900,100,711,6013,293,4770,60644,165,3250,35505,12357,12136,80,3078,36620,12094,5385,5,10,147,1332,1429,14972,683,18,3432,271,29,11,2367,302,63536,218954,209505,19427,20773,18742,14904,6513,3670,2346,471,648888,467813,49208,128824,80,884,548,464,34434,0,33236,3416,236801,69202,9368,26793,9614,7771,9884,30923,5689,18255,49302
2015,R02000,ê¬êXåß,1308265,614694,693571,1302132,612113,690019,148208,75661,72547,757867,373796,384071,390940,158837,232103,8621,4400,4221,1.43,17148,8694,8454,17724,10596,7128,24284,13598,10686,5432,2267,11.5,27.9,-2.7,131,1003.5,6333,1147399,768,20684,137,10915,16700,34500,107,672,6533,302,4854,62719,166,3262,36719,12452,12219,80,3093,37409,12242,5342,5,10,153,1300,1643,14736,757,25,3203,257,30,12,2495,291,70454,243951,188078,20839,22136,19992,13298,5826,3363,1824,621,595631,428742,64628,101106,81,889,550,465,33728,0,33174,3813,226214,61805,10343,27941,10105,6888,9631,28664,6719,17920,46196
2014,R02000,ê¬êXåß,1323000,622000,701000,1320000,620000,699000,155000,79000,76000,784000,388000,396000,383000,154000,229000,8853,4508,4345,1.42,17042,8856,8186,17792,10622,7170,24252,13594,10658,5481,2195,10.7,27.8,-4.4,158,1483.5,6086,1132021,823,21107,139,10907,17100,35400,119,755,7946,310,4921,64876,168,3272,37540,12666,12431,82,3163,38266,12547,5517,5,10,151,1314,1731,14635,771,16,3283,248,31,12,2500,328,77139,267573,176531,22318,24002,21550,13559,5530,3353,1735,436,581210,438073,44096,98394,81,895,555,448,30765,0,33107,5167,243627,63139,9693,30606,9222,8087,12354,32782,4986,19572,53187
2013,R02000,ê¬êXåß,1337000,628000,708000,1334000,627000,706000,159000,81000,78000,804000,397000,407000,373000,150000,223000,9126,4725,4401,1.4,17112,8738,8374,18472,10989,7483,24528,13808,10720,5723,2335,10.5,29.3,-4.7,164,1664,6849,1218028,852,21535,137,10927,17700,36700,120,823,8150,316,5072,67394,169,3310,38452,13256,12929,82,3188,38878,12594,5378,6,10,165,1300,1849,14658,805,26,3377,270,31,13,2504,427,83221,292194,170283,23237,24835,22280,14969,6454,4206,1940,285,702051,558134,29998,110925,85,896,556,459,31342,0,33427,5328,246445,62383,13864,29311,8995,8959,9992,32405,12268,19961,48308
2012,R02000,ê¬êXåß,1350000,635000,716000,1347000,634000,714000,164000,83000,80000,822000,406000,416000,364000,145000,219000,9168,4771,4397,1.36,17294,8953,8341,19305,11454,7851,24648,13871,10777,5846,2408,10.5,29.6,-5.1,173,1295.5,6008,1177329,890,22040,138,10984,19200,38200,122,816,8602,323,5148,69759,170,3322,39374,13314,12997,85,3258,40037,13330,5518,6,10,177,1320,1910,14636,846,30,3341,276,34,14,2664,422,88269,309813,151798,23847,25368,22840,18765,5578,3363,1844,348,585937,443657,35199,104809,86,893,563,446,30406,0,32655,5142,251153,61839,13668,29040,10381,9811,10989,28739,8907,23000,54779
2011,R02000,ê¬êXåß,1363000,641000,722000,1360000,640000,720000,168000,86000,83000,840000,414000,426000,355000,141000,214000,9531,4772,4759,1.38,16419,8679,7740,20089,11757,8332,23345,13263,10082,5583,2377,10.6,28.4,-4.9,176,1570.5,5504,1158805,906,22094,133,10866,20300,40700,129,834,8835,333,5286,72426,171,3362,40509,13817,13383,85,3334,40878,13253,5457,6,10,181,1305,1935,14848,773,31,3333,294,35,14,2628,581,94204,334875,122773,23525,25389,22652,16435,5085,3059,1696,325,534413,407752,34158,92147,86,903,560,447,30281,0,32577,5116,260743,64734,14803,28662,9103,9856,11112,30439,10641,22516,58878
2010,R02000,ê¬êXåß,1373339,646141,727198,1367057,643407,723650,171842,87585,84257,843587,414888,428699,352768,140636,212132,9711,4949,4762,1.38,16030,8552,7478,19963,11844,8119,24995,14183,10812,5924,2679,11.1,30.6,-4.2,167,1570,5484,1095327,922,22236,133,10866,21600,43500,131,788,9228,347,5399,74754,174,3391,41203,13957,13559,86,3359,41639,13267,5555,6,10,183,1256,1820,14854,708,34,3220,326,37,16,2616,579,99098,351128,103253,22295,24111,21589,18940,4680,3121,1269,221,529048,431852,23059,69671,88,932,572,453,30591,5,32932,5140,250433,64016,14169,27266,9315,9257,11535,31313,8267,24357,50936
2009,R02000,ê¬êXåß,1383000,651000,732000,1380000,650000,730000,173000,88000,85000,862000,424000,439000,344000,136000,208000,9523,4873,4650,1.26,15387,8312,7075,20700,12472,8228,27299,15515,11784,6067,2768,10.6,26,-3.5,162,1459.5,5296,970441,940,22261,131,10796,22900,47000,133,821,9721,354,5489,76894,173,3412,42567,14722,14312,88,3390,42078,13760,5873,6,10,178,1224,1678,14779,703,24,3341,348,38,16,2282,812,105078,395497,84068,20323,22300,19646,16561,5016,2995,1756,224,545738,416558,23842,101803,88,936,570,461,31441,28,33465,5158,260264,65269,16660,26466,9082,9625,10777,33471,11278,21796,55839
2008,R02000,ê¬êXåß,1395000,657000,738000,1392000,656000,736000,179000,91000,88000,873000,428000,445000,340000,135000,205000,10187,5267,4920,1.3,15400,8273,7127,20228,11955,8273,29494,16918,12576,6401,2828,10.7,25.8,-3.9,146,1085,5948,1281013,958,22069,131,10502,24000,49800,134,854,10317,366,5629,78983,175,3431,43348,14576,14191,88,3409,42344,13426,5667,6,9,154,1203,1659,14930,785,40,3604,317,37,16,2444,834,110316,366467,106234,20021,22245,19302,16095,6429,3286,2606,463,665787,465664,47526,145543,90,938,570,474,32511,34,34725,5231,262682,66660,15636,27856,8871,11450,10336,32770,9593,23441,56068
2007,R02000,ê¬êXåß,1409000,664000,745000,1405000,663000,742000,185000,94000,91000,886000,434000,451000,336000,134000,202000,10162,5165,4997,1.28,14968,8107,6861,20620,12216,8404,30894,17678,13216,6405,3014,11.1,29.6,-1.8,151,1293,6360,1435635,972,21680,126,10103,25000,52400,135,880,10986,376,5728,80598,178,3490,44134,14707,14238,89,3490,43230,14013,5843,6,9,149,1253,1670,15117,730,35,3528,329,37,16,2370,830,109020,367129,137499,22300,25426,21728,18205,6228,3531,2351,275,686107,509378,29794,142031,91,969,579,478,32731,75,35086,5183,259883,66056,12568,26556,8985,10682,11556,27340,11059,25599,59483
2006,R02000,ê¬êXåß,1424000,672000,752000,1420000,671000,749000,192000,98000,94000,899000,441000,458000,331000,132000,199000,10556,5301,5255,1.31,14733,7955,6778,21063,12574,8489,30528,17658,12870,6642,3044,10.2,29,-4.4,158,1422.5,7886,1684256,1015,21407,118,9106,24500,55500,140,895,11468,380,5754,82982,176,3460,44627,15237,14771,90,3555,44221,14693,5859,6,9,151,1222,1707,15366,831,35,3481,333,36,18,2571,960,120033,402818,143236,23322,27098,22758,19379,7637,4330,2795,429,847612,627076,47004,168395,94,976,580,487,33162,141,35598,5221,273732,68275,14976,30443,9876,12598,11332,32023,5435,24606,64168
2017,R03000,ä‚éËåß,1255000,604000,651000,1249000,602000,647000,144000,74000,70000,711000,363000,348000,400000,168000,232000,8175,4132,4043,1.47,17232,8658,8574,16658,9512,7146,21019,11393,9626,4775,1860,10.6,29.2,-4.7,131,1409.5,8070,1485889,826,21983,175,12264,24800,45300,102,748,7387,326,4911,60141,165,3051,33023,11302,11123,80,3029,34446,11162,4975,5,6,89,1400,999,11319,500,77,2413,352,36,7,5127,412,48998,175221,236325,19552,20647,18480,16615,8024,4204,3233,540,736734,510899,54540,166926,78,874,587,370,29056,178,28301,3971,276258,71755,15542,25384,9352,10428,13667,34538,10128,25039,60424
2016,R03000,ä‚éËåß,1268000,610000,658000,1263000,609000,654000,147000,75000,72000,726000,370000,356000,395000,165000,230000,8341,4296,4045,1.45,16959,8459,8500,17113,9842,7271,20983,11375,9608,4872,1877,11.2,30.5,-3.6,124,1318,8138,1380149,837,21789,174,12027,24700,45900,106,732,7810,334,4979,61184,167,3111,34239,11839,11630,80,3067,35110,11558,5034,5,5,97,1371,1118,11278,518,91,2408,356,36,7,5143,425,52561,189671,225437,20999,22549,20007,15156,7974,4361,3029,476,745606,538905,47244,153201,78,898,592,368,28888,194,28156,4019,288989,71061,14922,25048,10591,10948,14803,42315,7422,26790,65088
2015,R03000,ä‚éËåß,1279594,615584,664010,1272745,613118,659627,150992,77222,73770,734886,373365,361521,386573,160565,226008,8814,4473,4341,1.49,16502,8275,8227,17636,10158,7478,21758,11818,9940,5243,1956,11.6,29.3,-3.8,119,1094,8288,1507568,847,21641,170,11582,24500,46200,113,763,8687,342,5082,63101,171,3187,35404,12081,11889,81,3086,35313,11390,5032,5,5,97,1355,1125,11466,501,56,2457,331,36,7,5266,390,56312,202179,218857,22222,23729,21097,15066,8422,4463,3520,412,806968,564956,41485,198140,76,904,594,361,27961,128,27807,4036,286439,70729,18443,26961,9502,11143,12291,39066,9212,25138,63955
2014,R03000,ä‚éËåß,1290000,620000,670000,1285000,618000,667000,156000,80000,76000,749000,378000,370000,380000,156000,224000,8803,4536,4267,1.44,16274,8266,8008,17845,10244,7601,21045,11568,9477,5482,1855,10.6,28.8,-5.8,133,1280,8188,1610262,859,21594,168,11413,24300,46400,141,956,11709,347,5093,64512,172,3235,36137,12083,11937,81,3091,35879,11705,4991,5,5,100,1365,1164,11610,550,77,2467,400,34,8,5547,479,62898,225517,221324,25165,26738,24016,16443,9006,4433,3847,643,860473,562547,66024,224906,76,902,594,350,26018,193,26681,4229,273964,68915,22237,28701,9363,11393,11924,37866,7110,23066,53390
2013,R03000,ä‚éËåß,1299000,623000,676000,1294000,621000,672000,159000,82000,77000,764000,385000,378000,372000,152000,220000,9231,4766,4465,1.46,15969,8185,7784,18529,10675,7854,20960,11335,9625,5398,2003,10.6,29.4,-7.1,133,1643,9370,1949583,910,21752,164,10918,24500,46400,142,974,11962,362,5221,66328,178,3290,36764,12530,12348,81,3099,36252,11892,5034,5,5,105,1351,1173,11680,508,79,2482,405,33,8,5904,487,67848,247765,232325,27196,28950,26083,16733,9870,5176,3926,689,982420,674537,68998,235216,77,923,602,348,25544,168,26214,4090,276415,65103,13991,28262,8664,9829,12342,44567,7771,25646,60240
2012,R03000,ä‚éËåß,1306000,625000,680000,1302000,624000,677000,162000,83000,79000,777000,392000,386000,364000,148000,216000,9276,4776,4500,1.44,16072,8269,7803,19306,11201,8105,21691,11892,9799,5629,1975,10.8,32,-7.2,111,1029.5,8691,1694783,923,21260,160,10583,25300,49800,142,965,12287,372,5303,68004,189,3346,37079,12377,12238,81,3109,37533,12581,5088,5,5,100,1353,1153,11600,534,89,2347,332,33,8,5900,501,73936,275175,228714,31510,32925,29835,20756,8121,4522,2978,539,807571,587995,55565,160338,77,918,590,354,26121,135,27256,4147,275001,67891,19574,26990,9875,10115,13264,32743,5851,24827,63872
2011,R03000,ä‚éËåß,1315000,628000,686000,1310000,627000,683000,165000,85000,81000,791000,398000,393000,358000,145000,213000,9310,4696,4614,1.41,22335,11217,11118,18756,10541,8215,22199,11917,10282,5344,2038,10.5,29.5,-7.3,125,1229,6781,1275929,934,21564,160,10791,26700,53000,145,951,12066,378,5358,70055,189,3326,37709,12714,12556,82,3159,38374,12382,5076,5,5,100,1344,1170,11519,523,73,2275,346,34,8,5945,501,88930,347841,194076,33577,35118,31814,16759,5178,3405,1333,416,554818,438149,42666,72582,77,902,580,321,23913,83,24963,3880,279059,70157,14292,27116,10043,10099,11606,31660,9185,25775,69126
2010,R03000,ä‚éËåß,1330147,634971,695176,1322417,632252,690165,168804,86612,82192,795780,399160,396620,360498,146040,214458,9745,4939,4806,1.46,15756,8188,7568,17893,10188,7705,22131,11868,10263,5724,2327,11,31.4,-5.2,145,1634,6062,1174121,969,21940,160,10702,27300,56300,147,966,12616,394,5399,71949,193,3276,38010,12885,12708,82,3179,39350,12750,5244,5,5,101,1356,1236,11938,596,73,2544,410,35,8,5927,493,82681,328763,125686,25867,27244,24605,19455,5228,3278,1567,357,552543,430709,36591,83500,80,918,611,339,25115,53,25819,3908,283340,66158,24066,24107,9102,10553,11841,34753,12082,27813,62864
