5,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,一般世帯総数（住居の種類・住宅の所有の関係）,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,一般世帯人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,1世帯当たり人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」
61,"13101","019004","3","","","","東京都","千代田区","飯田橋","４丁目",286,282,278,157,-,109,12,4,4,-,459,452,448,284,-,144,20,4,7,-,1.6048951049,1.6028368794,1.6115107914,1.8089171975,-,1.3211009174,1.6666666667,1.0000000000,1.7500000000,-
62,"13101","0200","2","","","","東京都","千代田区","一ツ橋","",44,35,35,5,-,26,4,-,9,-,57,48,48,8,-,35,5,-,9,-,1.2954545455,1.3714285714,1.3714285714,1.6000000000,-,1.3461538462,1.2500000000,-,1.0000000000,-
63,"13101","020001","3","","","","東京都","千代田区","一ツ橋","１丁目",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,"13101","020002","3","","","","東京都","千代田区","一ツ橋","２丁目",44,35,35,5,-,26,4,-,9,-,57,48,48,8,-,35,5,-,9,-,1.2954545455,1.3714285714,1.3714285714,1.6000000000,-,1.3461538462,1.2500000000,-,1.0000000000,-
65,"13101","0210","2","","","","東京都","千代田区","神田神保町","",1851,1628,1601,718,46,765,72,27,223,-,3008,2640,2589,1395,71,1011,112,51,368,-,1.6250675311,1.6216216216,1.6171143036,1.9428969359,1.5434782609,1.3215686275,1.5555555556,1.8888888889,1.6502242152,-
66,"13101","021001","3","","","","東京都","千代田区","神田神保町","１丁目",804,661,645,381,-,233,31,16,143,-,1390,1161,1131,761,-,314,56,30,229,-,1.7288557214,1.7564296520,1.7534883721,1.9973753281,-,1.3476394850,1.8064516129,1.8750000000,1.6013986014,-
67,"13101","021002","3","","","","東京都","千代田区","神田神保町","２丁目",662,609,603,176,46,351,30,6,53,-,990,895,882,322,71,450,39,13,95,-,1.4954682779,1.4696223317,1.4626865672,1.8295454545,1.5434782609,1.2820512821,1.3000000000,2.1666666667,1.7924528302,-
68,"13101","021003","3","","","","東京都","千代田区","神田神保町","３丁目",385,358,353,161,-,181,11,5,27,-,628,584,576,312,-,247,17,8,44,-,1.6311688312,1.6312849162,1.6317280453,1.9378881988,-,1.3646408840,1.5454545455,1.6000000000,1.6296296296,-
69,"13101","0220","2","","","","東京都","千代田区","三崎町","",573,527,520,184,43,274,19,7,46,-,953,871,855,340,68,422,25,16,82,-,1.6631762653,1.6527514231,1.6442307692,1.8478260870,1.5813953488,1.5401459854,1.3157894737,2.2857142857,1.7826086957,-
70,"13101","022001","3","","","","東京都","千代田区","三崎町","１丁目",11,7,7,6,-,1,-,-,4,-,23,17,17,15,-,2,-,-,6,-,2.0909090909,2.4285714286,2.4285714286,2.5000000000,-,2.0000000000,-,-,1.5000000000,-
71,"13101","022002","3","","","","東京都","千代田区","三崎町","２丁目",251,215,211,72,43,92,4,4,36,-,497,432,419,176,68,168,7,13,65,-,1.9800796813,2.0093023256,1.9857819905,2.4444444444,1.5813953488,1.8260869565,1.7500000000,3.2500000000,1.8055555556,-
72,"13101","022003","3","","","","東京都","千代田区","三崎町","３丁目",311,305,302,106,-,181,15,3,6,-,433,422,419,149,-,252,18,3,11,-,1.3922829582,1.3836065574,1.3874172185,1.4056603774,-,1.3922651934,1.2000000000,1.0000000000,1.8333333333,-
73,"13101","0230","2","","","","東京都","千代田区","西神田","",694,678,669,90,193,356,30,9,16,-,1238,1216,1206,200,439,521,46,10,22,-,1.7838616715,1.7935103245,1.8026905830,2.2222222222,2.2746113990,1.4634831461,1.5333333333,1.1111111111,1.3750000000,-
74,"13101","023001","3","","","","東京都","千代田区","西神田","１丁目",50,49,49,18,-,28,3,-,1,-,89,88,88,38,-,47,3,-,1,-,1.7800000000,1.7959183673,1.7959183673,2.1111111111,-,1.6785714286,1.0000000000,-,1.0000000000,-
75,"13101","023002","3","","","","東京都","千代田区","西神田","２丁目",403,391,385,57,193,120,15,6,12,-,738,721,714,129,439,126,20,7,17,-,1.8312655087,1.8439897698,1.8545454545,2.2631578947,2.2746113990,1.0500000000,1.3333333333,1.1666666667,1.4166666667,-
76,"13101","023003","3","","","","東京都","千代田区","西神田","３丁目",241,238,235,15,-,208,12,3,3,-,411,407,404,33,-,348,23,3,4,-,1.7053941909,1.7100840336,1.7191489362,2.2000000000,-,1.6730769231,1.9166666667,1.0000000000,1.3333333333,-
77,"13101","0240","2","","","","東京都","千代田区","猿楽町","",465,446,438,156,38,177,67,8,19,-,787,757,743,326,96,248,73,14,30,-,1.6924731183,1.6973094170,1.6963470320,2.0897435897,2.5263157895,1.4011299435,1.0895522388,1.7500000000,1.5789473684,-
78,"13101","024001","3","","","","東京都","千代田区","猿楽町","１丁目",107,98,96,38,38,17,3,2,9,-,249,231,226,96,96,31,3,5,18,-,2.3271028037,2.3571428571,2.3541666667,2.5263157895,2.5263157895,1.8235294118,1.0000000000,2.5000000000,2.0000000000,-
79,"13101","024002","3","","","","東京都","千代田区","猿楽町","２丁目",358,348,342,118,-,160,64,6,10,-,538,526,517,230,-,217,70,9,12,-,1.5027932961,1.5114942529,1.5116959064,1.9491525424,-,1.3562500000,1.0937500000,1.5000000000,1.2000000000,-
80,"13101","0250","2","","","","東京都","千代田区","神田駿河台","",606,379,378,66,-,302,10,1,227,-,744,488,486,125,-,345,16,2,256,-,1.2277227723,1.2875989446,1.2857142857,1.8939393939,-,1.1423841060,1.6000000000,2.0000000000,1.1277533040,-
81,"13101","025001","3","","","","東京都","千代田区","神田駿河台","１丁目",46,43,43,7,-,35,1,-,3,-,54,51,51,8,-,42,1,-,3,-,1.1739130435,1.1860465116,1.1860465116,1.1428571429,-,1.2000000000,1.0000000000,-,1.0000000000,-
82,"13101","025002","3","","","","東京都","千代田区","神田駿河台","２丁目",331,128,128,46,-,79,3,-,203,-,376,163,163,79,-,81,3,-,213,-,1.1359516616,1.2734375000,1.2734375000,1.7173913043,-,1.0253164557,1.0000000000,-,1.0492610837,-
83,"13101","025003","3","","","","東京都","千代田区","神田駿河台","３丁目",43,32,31,10,-,17,4,1,11,-,92,68,66,24,-,34,8,2,24,-,2.1395348837,2.1250000000,2.1290322581,2.4000000000,-,2.0000000000,2.0000000000,2.0000000000,2.1818181818,-
84,"13101","025004","3","","","","東京都","千代田区","神田駿河台","４丁目",186,176,176,3,-,171,2,-,10,-,222,206,206,14,-,188,4,-,16,-,1.1935483871,1.1704545455,1.1704545455,4.6666666667,-,1.0994152047,2.0000000000,-,1.6000000000,-
85,"13101","0260","2","","","","東京都","千代田区","神田錦町","",589,537,534,136,-,375,23,3,52,-,824,739,734,261,-,443,30,5,85,-,1.3989813243,1.3761638734,1.3745318352,1.9191176471,-,1.1813333333,1.3043478261,1.6666666667,1.6346153846,-
86,"13101","026001","3","","","","東京都","千代田区","神田錦町","１丁目",244,223,223,25,-,183,15,-,21,-,316,281,281,56,-,209,16,-,35,-,1.2950819672,1.2600896861,1.2600896861,2.2400000000,-,1.1420765027,1.0666666667,-,1.6666666667,-
87,"13101","026002","3","","","","東京都","千代田区","神田錦町","２丁目",97,86,86,26,-,60,-,-,11,-,168,147,147,67,-,80,-,-,21,-,1.7319587629,1.7093023256,1.7093023256,2.5769230769,-,1.3333333333,-,-,1.9090909091,-
88,"13101","026003","3","","","","東京都","千代田区","神田錦町","３丁目",248,228,225,85,-,132,8,3,20,-,340,311,306,138,-,154,14,5,29,-,1.3709677419,1.3640350877,1.3600000000,1.6235294118,-,1.1666666667,1.7500000000,1.6666666667,1.4500000000,-
89,"13101","0270","2","","","","東京都","千代田区","神田小川町","",712,625,620,259,19,304,38,5,87,-,1154,1021,1014,484,30,442,58,7,133,-,1.6207865169,1.6336000000,1.6354838710,1.8687258687,1.5789473684,1.4539473684,1.5263157895,1.4000000000,1.5287356322,-
90,"13101","027001","3","","","","東京都","千代田区","神田小川町","１丁目",146,130,130,86,19,23,2,-,16,-,253,227,227,155,30,39,3,-,26,-,1.7328767123,1.7461538462,1.7461538462,1.8023255814,1.5789473684,1.6956521739,1.5000000000,-,1.6250000000,-
91,"13101","027002","3","","","","東京都","千代田区","神田小川町","２丁目",120,102,101,60,-,33,8,1,18,-,195,169,167,112,-,46,9,2,26,-,1.6250000000,1.6568627451,1.6534653465,1.8666666667,-,1.3939393939,1.1250000000,2.0000000000,1.4444444444,-
92,"13101","027003","3","","","","東京都","千代田区","神田小川町","３丁目",446,393,389,113,-,248,28,4,53,-,706,625,620,217,-,357,46,5,81,-,1.5829596413,1.5903307888,1.5938303342,1.9203539823,-,1.4395161290,1.6428571429,1.2500000000,1.5283018868,-
93,"13101","0280","2","","","","東京都","千代田区","神田美土代町","",34,18,18,9,-,9,-,-,16,-,47,29,29,18,-,11,-,-,18,-,1.3823529412,1.6111111111,1.6111111111,2.0000000000,-,1.2222222222,-,-,1.1250000000,-
94,"13101","0290","2","","","","東京都","千代田区","内神田","",939,747,733,385,96,220,32,14,192,-,1541,1247,1213,693,179,290,51,34,294,-,1.6411075612,1.6693440428,1.6548431105,1.8000000000,1.8645833333,1.3181818182,1.5937500000,2.4285714286,1.5312500000,-
95,"13101","029001","3","合算地域あり","","001001;001002;001003;002001;002002","東京都","千代田区","内神田","１丁目",474,392,387,236,80,54,17,5,82,-,779,661,650,399,136,83,32,11,118,-,1.6434599156,1.6862244898,1.6795865633,1.6906779661,1.7000000000,1.5370370370,1.8823529412,2.2000000000,1.4390243902,-
96,"13101","029002","3","","","","東京都","千代田区","内神田","２丁目",217,184,180,85,-,89,6,4,33,-,350,300,288,172,-,109,7,12,50,-,1.6129032258,1.6304347826,1.6000000000,2.0235294118,-,1.2247191011,1.1666666667,3.0000000000,1.5151515152,-
97,"13101","029003","3","","","","東京都","千代田区","内神田","３丁目",248,171,166,64,16,77,9,5,77,-,412,286,275,122,43,98,12,11,126,-,1.6612903226,1.6725146199,1.6566265060,1.9062500000,2.6875000000,1.2727272727,1.3333333333,2.2000000000,1.6363636364,-
98,"13101","0300","2","","","","東京都","千代田区","神田司町","",231,208,206,87,-,108,11,2,23,-,405,358,353,199,-,140,14,5,47,-,1.7532467532,1.7211538462,1.7135922330,2.2873563218,-,1.2962962963,1.2727272727,2.5000000000,2.0434782609,-
99,"13101","0310","2","","","","東京都","千代田区","神田多町","",632,612,608,170,-,383,55,4,20,-,892,861,851,299,-,484,68,10,31,-,1.4113924051,1.4068627451,1.3996710526,1.7588235294,-,1.2637075718,1.2363636364,2.5000000000,1.5500000000,-
100,"13101","0320","2","","","","東京都","千代田区","神田淡路町","",670,613,611,367,26,210,8,2,57,-,1155,1069,1065,722,35,284,24,4,86,-,1.7238805970,1.7438825449,1.7430441899,1.9673024523,1.3461538462,1.3523809524,3.0000000000,2.0000000000,1.5087719298,-
101,"13101","032001","3","","","","東京都","千代田区","神田淡路町","１丁目",107,76,76,40,-,36,-,-,31,-,152,114,114,68,-,46,-,-,38,-,1.4205607477,1.5000000000,1.5000000000,1.7000000000,-,1.2777777778,-,-,1.2258064516,-
102,"13101","032002","3","","","","東京都","千代田区","神田淡路町","２丁目",563,537,535,327,26,174,8,2,26,-,1003,955,951,654,35,238,24,4,48,-,1.7815275311,1.7783985102,1.7775700935,2.0000000000,1.3461538462,1.3678160920,3.0000000000,2.0000000000,1.8461538462,-
103,"13101","0330","2","","","","東京都","千代田区","神田須田町","",804,729,725,257,-,430,38,4,75,-,1190,1078,1072,511,-,510,51,6,112,-,1.4800995025,1.4787379973,1.4786206897,1.9883268482,-,1.1860465116,1.3421052632,1.5000000000,1.4933333333,-
104,"13101","033001","3","","","","東京都","千代田区","神田須田町","１丁目",376,336,333,131,-,183,19,3,40,-,593,523,518,267,-,228,23,5,70,-,1.5771276596,1.5565476190,1.5555555556,2.0381679389,-,1.2459016393,1.2105263158,1.6666666667,1.7500000000,-
105,"13101","033002","3","","","","東京都","千代田区","神田須田町","２丁目",428,393,392,126,-,247,19,1,35,-,597,555,554,244,-,282,28,1,42,-,1.3948598131,1.4122137405,1.4132653061,1.9365079365,-,1.1417004049,1.4736842105,1.0000000000,1.2000000000,-
106,"13101","0340","2","","","","東京都","千代田区","外神田","",2040,1793,1759,971,49,670,69,34,247,-,3570,3202,3132,1927,108,958,139,70,368,-,1.7500000000,1.7858337981,1.7805571347,1.9845520082,2.2040816327,1.4298507463,2.0144927536,2.0588235294,1.4898785425,-
107,"13101","034001","3","","","","東京都","千代田区","外神田","１丁目",124,68,67,22,-,41,4,1,56,-,181,119,115,58,-,47,10,4,62,-,1.4596774194,1.7500000000,1.7164179104,2.6363636364,-,1.1463414634,2.5000000000,4.0000000000,1.1071428571,-
108,"13101","034002","3","","","","東京都","千代田区","外神田","２丁目",546,530,517,242,-,258,17,13,16,-,897,871,848,426,-,388,34,23,26,-,1.6428571429,1.6433962264,1.6402321083,1.7603305785,-,1.5038759690,2.0000000000,1.7692307692,1.6250000000,-
109,"13101","034003","3","","","","東京都","千代田区","外神田","３丁目",299,274,269,162,36,67,4,5,25,-,579,516,507,321,74,100,12,9,63,-,1.9364548495,1.8832116788,1.8847583643,1.9814814815,2.0555555556,1.4925373134,3.0000000000,1.8000000000,2.5200000000,-
