"ID","性別","部活","進路","意欲","プレ得点","国語","社会","数学","理科","英語","ポスト得点"
187,"M","文化系","理系",42,129,41,42,51,35,43,212
188,"F","体育系","理系",43,160,51,58,60,38,51,258
189,"M","体育系","文系",45,139,46,39,50,50,41,226
190,"M","体育系","文系",65,193,65,61,52,46,61,285
191,"F","体育系","理系",44,152,49,58,50,44,51,252
192,"M","体育系","理系",57,169,55,51,62,60,45,273
193,"F","体育系","文系",52,135,51,47,50,43,71,262
194,"M","体育系","理系",40,220,66,54,60,62,60,302
195,"F","体育系","文系",50,235,64,67,56,66,69,322
196,"M","体育系","文系",19,129,32,36,28,35,42,173
197,"M","体育系","文系",36,122,49,55,46,38,46,234
198,"M","文化系","理系",59,246,60,56,73,68,60,317
199,"M","体育系","文系",52,232,55,56,69,54,54,288
200,"M","体育系","文系",54,170,66,61,60,68,59,314
201,"M","文化系","文系",37,62,34,23,27,41,38,163
202,"F","体育系","理系",43,225,41,31,50,40,39,201
203,"F","文化系","理系",57,213,55,57,61,51,49,273
204,"M","体育系","文系",43,174,42,48,48,44,57,239
205,"F","文化系","理系",34,167,39,49,75,60,55,278
206,"M","体育系","文系",50,216,60,59,48,52,66,285
207,"M","無所属","理系",61,253,58,63,58,58,61,298
208,"M","体育系","文系",40,168,69,70,58,40,50,287
209,"M","体育系","文系",46,107,39,42,33,33,41,188
210,"F","文化系","理系",54,203,59,45,54,55,49,262
211,"M","体育系","文系",47,151,65,60,58,25,48,256
212,"M","文化系","文系",41,117,66,59,43,32,51,251
213,"F","体育系","理系",37,127,37,33,51,40,45,206
214,"M","体育系","理系",51,252,59,61,59,53,51,283
215,"M","体育系","文系",58,210,64,59,62,63,58,306
216,"F","体育系","文系",34,193,40,35,34,35,44,188
217,"M","体育系","理系",56,223,57,59,47,60,59,282
218,"F","無所属","文系",57,265,49,59,77,56,51,292
219,"M","文化系","理系",51,267,66,62,64,60,67,319
220,"F","体育系","文系",46,200,71,70,67,48,62,318
221,"F","文化系","文系",59,205,66,47,57,58,60,288
222,"F","文化系","理系",62,184,37,53,47,44,53,234
223,"F","文化系","文系",40,116,50,43,36,32,54,215
224,"M","体育系","理系",41,111,55,46,51,36,41,229
225,"M","体育系","理系",42,191,47,49,61,63,58,278
226,"M","文化系","文系",55,175,51,51,55,45,59,261
227,"M","体育系","文系",73,305,70,66,46,56,55,293
228,"M","体育系","理系",57,264,59,67,61,44,65,296
229,"M","文化系","文系",36,159,41,55,32,48,45,221
230,"F","文化系","理系",77,284,61,66,66,51,64,308
231,"F","文化系","理系",38,124,33,23,45,33,41,175
232,"M","文化系","理系",44,230,60,47,57,46,56,266
233,"F","体育系","理系",45,232,49,53,50,61,34,247
234,"M","無所属","文系",42,193,63,53,64,60,53,293
235,"F","文化系","文系",55,221,62,61,52,53,61,289
236,"F","文化系","文系",61,211,56,60,65,70,72,323
237,"F","文化系","文系",43,173,59,58,42,61,47,267
238,"F","体育系","文系",42,208,46,51,54,38,55,244
239,"M","体育系","理系",46,117,43,53,51,44,56,247
240,"F","体育系","理系",61,207,74,62,55,49,57,297
241,"M","文化系","文系",60,266,53,58,70,60,55,296
242,"F","体育系","文系",46,226,62,60,52,56,52,282
243,"M","体育系","文系",24,103,40,36,44,33,40,193
244,"M","体育系","理系",62,193,59,62,73,56,62,312
245,"M","体育系","理系",47,270,53,56,53,48,61,271
246,"M","体育系","理系",24,125,36,26,42,36,34,174
247,"M","無所属","理系",67,297,49,48,58,59,50,264
248,"M","体育系","理系",68,202,70,57,74,63,58,322
249,"M","体育系","文系",46,161,64,67,55,46,60,292
250,"M","体育系","文系",48,212,54,45,44,51,45,239
251,"M","体育系","理系",43,203,72,46,53,57,50,278
252,"F","体育系","文系",43,230,53,56,70,48,61,288
253,"F","無所属","文系",41,164,50,58,57,46,71,282
254,"M","体育系","文系",47,124,51,43,50,57,57,258
255,"F","体育系","理系",44,147,44,36,40,23,50,193
256,"F","体育系","文系",31,143,54,58,50,50,53,265
257,"F","体育系","理系",32,177,36,37,52,37,53,215
258,"M","体育系","文系",21,137,49,40,52,38,56,235
259,"F","文化系","理系",36,235,56,55,52,47,57,267
260,"F","文化系","文系",66,214,78,62,65,65,59,329
261,"M","体育系","文系",57,298,61,62,56,44,66,289
262,"F","無所属","文系",41,185,59,49,64,55,56,283
263,"F","文化系","文系",56,211,62,55,42,50,51,260
264,"F","体育系","文系",43,132,49,40,41,30,46,206
265,"F","無所属","文系",18,96,28,37,36,29,26,156
266,"F","体育系","理系",37,136,35,27,50,32,50,194
267,"F","体育系","理系",47,238,53,48,54,62,50,267
268,"M","体育系","文系",61,198,73,69,63,69,68,342
269,"F","文化系","理系",50,211,50,57,61,50,62,280
270,"M","体育系","文系",63,257,51,68,55,35,48,257
271,"F","体育系","文系",26,135,42,49,46,36,51,224
272,"F","体育系","文系",30,134,35,46,54,36,48,219
273,"F","体育系","理系",20,73,40,44,54,47,44,229
274,"F","体育系","理系",67,199,70,55,77,62,61,325
275,"F","体育系","理系",40,148,40,54,45,40,42,221
276,"M","体育系","理系",49,272,50,55,57,56,64,282
277,"F","体育系","文系",49,208,45,54,62,35,61,257
278,"M","文化系","文系",56,139,57,49,51,56,42,255
279,"M","文化系","理系",45,176,47,48,50,46,52,243
280,"F","無所属","文系",48,136,51,41,59,49,63,263
281,"F","体育系","文系",74,250,72,83,62,58,59,334
282,"M","文化系","文系",32,161,53,47,45,45,37,227
283,"M","体育系","理系",44,158,44,56,51,44,49,244
284,"M","体育系","理系",70,274,52,45,67,60,48,272
285,"M","無所属","文系",44,192,51,56,46,47,56,256
286,"F","体育系","理系",41,117,44,49,68,46,47,254
287,"F","体育系","理系",30,138,40,52,58,49,53,252
288,"F","文化系","理系",43,148,48,39,39,30,30,186
289,"M","体育系","理系",48,237,50,53,69,46,53,271
290,"M","体育系","理系",32,224,47,41,57,59,49,253
291,"F","体育系","文系",42,112,52,50,25,39,43,209
292,"F","文化系","理系",29,98,27,35,46,53,55,216
293,"M","体育系","文系",34,110,42,43,48,30,49,212
294,"M","体育系","文系",44,248,68,54,64,45,58,289
295,"M","文化系","文系",34,198,26,36,38,33,37,170
296,"F","無所属","文系",39,150,58,51,48,50,52,259
297,"M","体育系","文系",44,188,38,39,45,25,29,176
298,"M","体育系","文系",54,113,68,71,61,59,62,321
299,"F","体育系","理系",52,207,53,58,50,50,48,259
300,"M","体育系","理系",33,150,41,34,52,31,48,206
301,"F","文化系","文系",49,169,59,62,73,41,60,295
302,"M","体育系","文系",42,125,62,67,56,56,53,294
303,"F","体育系","理系",59,141,53,66,68,65,49,301
304,"M","体育系","理系",70,303,49,61,71,64,65,310
305,"F","体育系","文系",47,177,60,55,62,51,52,280
306,"F","文化系","理系",35,144,60,42,47,55,41,245
307,"M","体育系","理系",71,265,67,63,78,72,73,353
308,"F","文化系","理系",59,211,55,50,52,49,46,252
309,"M","体育系","理系",53,165,38,38,46,48,33,203
310,"M","体育系","理系",29,146,32,31,43,21,45,172
311,"M","体育系","理系",42,175,27,44,50,33,50,204
312,"F","体育系","理系",39,192,54,49,48,37,38,226
313,"M","文化系","文系",71,220,74,82,68,50,67,341
314,"M","体育系","理系",55,208,55,54,63,60,56,288
315,"F","体育系","文系",47,172,55,69,50,51,51,276
316,"M","体育系","文系",44,165,46,48,48,34,56,232
317,"F","体育系","文系",33,139,54,49,53,51,61,268
318,"F","文化系","理系",56,209,67,57,66,66,61,317
319,"M","体育系","理系",35,184,46,41,26,29,45,187
320,"M","体育系","理系",40,222,33,37,56,48,46,220
321,"M","体育系","理系",29,184,55,46,41,62,45,249
322,"F","体育系","理系",17,82,32,34,48,43,51,208
323,"F","文化系","文系",67,239,76,71,63,58,51,319
324,"M","体育系","文系",22,96,49,39,50,42,53,233
325,"F","体育系","理系",40,176,54,59,63,58,49,283
326,"F","文化系","文系",38,145,51,67,32,28,54,232
327,"M","体育系","文系",50,146,53,52,58,49,53,265
328,"M","文化系","理系",45,217,41,50,47,49,44,231
329,"M","文化系","理系",27,147,37,46,43,34,42,202
330,"M","体育系","理系",40,153,51,41,63,57,47,259
331,"F","体育系","文系",39,139,51,34,41,37,56,219
332,"F","文化系","文系",41,209,58,65,63,61,69,316
333,"F","体育系","文系",32,153,61,57,61,51,66,296
334,"F","体育系","文系",34,145,38,36,37,46,35,192
335,"M","体育系","理系",61,209,46,38,56,48,59,247
336,"M","体育系","文系",62,266,74,65,71,78,65,353
337,"M","体育系","文系",59,216,63,61,60,73,65,322
338,"F","文化系","文系",40,218,56,59,52,42,64,273
339,"M","体育系","文系",44,164,60,48,36,39,37,220
340,"M","文化系","文系",50,230,61,48,54,55,46,264
341,"F","文化系","文系",46,181,40,47,54,41,52,234
342,"M","体育系","理系",49,206,49,35,49,41,44,218
343,"F","体育系","理系",32,41,32,41,40,30,44,187
344,"M","体育系","理系",28,188,53,51,47,52,56,259
345,"F","体育系","理系",49,161,53,56,64,43,46,262
346,"M","体育系","理系",80,263,64,65,79,65,67,340
347,"M","体育系","文系",50,162,55,39,60,50,53,257
348,"F","体育系","文系",62,206,68,57,64,44,55,288
349,"M","体育系","理系",66,236,64,52,60,64,67,307
350,"M","体育系","理系",58,180,39,68,56,46,60,269
351,"M","体育系","文系",42,200,45,40,52,35,44,216
352,"M","体育系","文系",54,229,66,66,82,70,66,350
353,"M","体育系","理系",42,175,59,59,51,54,57,280
354,"M","体育系","理系",64,206,53,51,44,53,58,259
355,"M","体育系","文系",56,200,58,74,58,50,62,302
356,"F","文化系","文系",53,211,52,48,50,47,50,247
357,"F","体育系","理系",43,208,48,47,55,45,47,242
358,"F","体育系","文系",47,161,49,59,45,54,57,264
359,"M","体育系","理系",83,321,68,75,73,86,68,370
360,"F","文化系","理系",27,55,18,30,46,19,33,146
361,"M","体育系","理系",71,254,61,57,52,53,45,268
362,"M","体育系","理系",52,164,36,50,53,40,54,233
363,"M","文化系","理系",43,96,54,45,58,44,48,249
364,"M","文化系","理系",42,122,36,46,48,37,49,216
365,"F","体育系","理系",29,148,52,38,50,48,35,223
366,"F","文化系","理系",53,307,43,45,64,60,60,272
367,"F","無所属","文系",46,188,45,55,47,45,53,245
368,"F","体育系","文系",47,151,73,55,58,57,61,304
369,"F","文化系","理系",31,209,45,33,49,49,47,223
370,"M","無所属","文系",55,225,66,56,51,46,67,286
371,"F","文化系","理系",35,110,27,35,33,21,38,154
372,"M","体育系","文系",69,241,73,79,69,59,51,331
373,"M","体育系","理系",16,132,55,50,62,59,56,282
374,"M","体育系","文系",71,264,41,45,48,37,57,228
375,"F","文化系","理系",35,181,58,35,56,42,49,240
376,"F","文化系","文系",61,237,61,54,58,48,71,292
377,"F","文化系","文系",64,184,57,60,61,64,65,307
378,"F","文化系","理系",42,198,54,51,47,54,48,254
379,"M","無所属","理系",44,140,50,41,60,60,51,262
380,"M","体育系","理系",84,290,66,60,82,64,70,342
381,"M","体育系","理系",35,215,49,57,52,50,51,259
382,"F","文化系","文系",52,175,40,52,53,51,57,253
383,"M","体育系","文系",54,218,58,41,52,48,57,256
384,"F","文化系","理系",47,200,72,50,68,62,57,309
385,"F","体育系","文系",41,150,47,52,53,37,52,241
386,"M","体育系","文系",39,94,45,45,23,39,48,200
387,"F","無所属","文系",43,141,44,46,49,51,51,241
388,"M","無所属","文系",46,247,57,62,75,54,66,314
389,"F","文化系","文系",48,234,69,52,55,44,64,284
390,"F","体育系","理系",38,114,33,43,60,54,56,246
391,"M","文化系","理系",46,185,61,56,55,63,55,290
392,"F","体育系","理系",68,290,78,81,71,56,74,360
393,"M","文化系","文系",39,188,54,52,41,28,49,224
394,"M","文化系","理系",68,277,62,62,58,61,55,298
395,"F","体育系","理系",64,185,61,48,60,63,55,287
396,"M","体育系","理系",31,156,43,34,46,30,44,197
397,"F","体育系","理系",55,148,56,58,67,59,57,297
398,"M","文化系","文系",38,194,52,48,45,31,50,226
399,"F","体育系","文系",68,278,59,60,69,65,65,318
400,"F","体育系","理系",41,190,61,54,58,51,54,278
401,"F","体育系","文系",58,178,58,54,51,49,53,265
402,"F","無所属","理系",73,239,61,57,75,60,60,313
403,"F","無所属","文系",52,212,65,61,63,49,51,289
404,"M","無所属","理系",59,134,44,51,50,55,64,264
405,"F","体育系","理系",37,126,50,45,46,38,52,231
406,"F","文化系","理系",48,211,77,67,69,58,64,335
407,"F","文化系","文系",58,165,59,48,58,62,47,274
408,"M","無所属","文系",45,177,48,57,33,45,43,226
409,"F","体育系","理系",56,208,50,53,69,48,67,287
410,"M","体育系","理系",46,258,53,52,48,49,49,251
411,"M","無所属","理系",50,201,52,48,48,46,45,239
412,"M","文化系","理系",33,129,49,43,60,43,55,250
413,"M","体育系","文系",41,153,42,54,41,46,49,232
414,"M","文化系","理系",68,245,43,53,57,58,54,265
415,"M","体育系","文系",62,264,56,56,51,59,59,281
416,"F","体育系","文系",67,255,72,89,80,69,69,379
417,"F","文化系","理系",56,242,52,37,63,63,50,265
418,"M","体育系","文系",49,193,46,37,59,50,51,243
419,"M","体育系","文系",45,153,47,40,57,49,43,236
420,"F","体育系","理系",46,150,47,52,60,65,62,286
421,"M","文化系","理系",19,150,37,38,36,30,40,181
422,"F","体育系","理系",35,155,40,51,61,48,48,248
423,"M","無所属","理系",60,220,32,49,64,55,55,255
424,"M","体育系","理系",47,196,39,37,50,37,41,204
425,"F","文化系","文系",57,235,62,51,59,60,62,294
426,"M","体育系","文系",49,158,64,56,43,57,63,283
427,"F","文化系","理系",50,185,28,23,38,31,33,153
428,"F","文化系","文系",50,196,53,65,45,48,48,259
429,"F","文化系","理系",40,189,32,41,40,27,51,191
430,"F","文化系","理系",66,225,71,65,52,71,68,327
431,"M","無所属","文系",65,234,58,46,69,52,43,268
432,"M","文化系","文系",60,178,62,51,49,33,51,246
433,"M","体育系","理系",35,220,42,59,53,48,44,246
434,"F","体育系","理系",56,197,52,52,74,65,63,306
435,"M","体育系","理系",51,122,55,51,53,53,47,259
436,"M","体育系","理系",64,214,53,56,73,69,57,308
437,"M","無所属","理系",43,109,48,38,43,46,57,232
438,"F","文化系","文系",51,125,38,39,48,37,52,214
439,"M","体育系","文系",72,265,70,78,64,71,81,364
440,"M","文化系","理系",34,83,48,41,37,34,48,208
441,"M","体育系","理系",48,217,59,64,72,64,56,315
442,"F","文化系","理系",45,185,52,48,55,35,53,243
443,"M","体育系","文系",28,126,57,53,36,43,41,230
444,"F","体育系","文系",52,264,54,47,62,54,52,269
445,"M","体育系","理系",46,225,56,51,65,56,64,292
446,"F","文化系","文系",65,218,51,61,41,53,48,254
447,"F","文化系","理系",48,137,52,45,49,44,53,243
448,"M","体育系","文系",27,124,47,47,44,38,46,222
449,"M","体育系","文系",75,316,81,76,71,62,63,353
450,"F","文化系","文系",54,227,73,69,71,64,55,332
451,"F","文化系","文系",39,166,47,39,38,29,46,199
452,"M","文化系","文系",26,134,50,39,41,36,51,217
453,"F","文化系","理系",40,184,49,49,52,39,54,243
454,"F","体育系","文系",40,176,41,49,46,38,57,231
455,"F","体育系","文系",38,111,50,47,32,39,55,223
456,"M","体育系","理系",70,251,71,72,75,84,80,382
457,"M","体育系","文系",42,108,38,38,49,44,42,211
458,"F","体育系","理系",46,189,58,58,56,50,62,284
459,"F","無所属","理系",44,145,47,53,54,48,48,250
460,"F","体育系","文系",43,210,56,52,56,51,60,275
461,"M","体育系","理系",15,170,41,52,44,36,49,222
462,"F","体育系","理系",52,196,60,61,49,55,50,275
463,"M","体育系","理系",23,120,41,49,57,40,52,239
464,"F","体育系","理系",63,220,55,52,56,56,63,282
465,"M","体育系","文系",53,275,64,59,67,57,63,310
466,"M","体育系","文系",38,170,51,41,42,31,43,208
467,"M","体育系","文系",38,161,49,45,47,40,48,229
468,"M","体育系","文系",31,146,44,39,36,23,45,187
469,"F","体育系","理系",47,204,59,48,41,59,49,256
470,"F","文化系","理系",45,219,48,50,41,34,37,210
471,"M","体育系","文系",21,108,34,39,22,31,49,175
472,"F","文化系","理系",49,261,59,57,58,48,51,273
473,"F","文化系","文系",61,248,72,61,65,61,62,321
474,"M","体育系","理系",38,205,58,50,67,49,46,270
475,"F","文化系","理系",46,189,56,49,63,47,56,271
476,"M","体育系","理系",38,148,61,45,47,52,50,255
477,"M","無所属","文系",41,161,34,37,37,32,46,186
478,"F","体育系","文系",54,156,68,56,48,55,48,275
479,"M","文化系","理系",47,153,52,46,53,46,47,244
480,"F","体育系","理系",70,239,58,54,62,51,44,269
481,"M","体育系","文系",61,203,55,49,57,54,43,258
482,"M","文化系","文系",47,223,53,49,49,51,44,246
483,"M","体育系","文系",22,130,38,42,38,40,45,203
484,"M","体育系","理系",48,156,40,44,54,65,52,255
485,"M","体育系","文系",40,136,45,33,56,47,48,229
486,"F","文化系","理系",51,144,56,38,44,47,39,224
487,"M","体育系","理系",32,88,48,41,44,46,40,219
488,"M","体育系","理系",54,235,50,58,59,65,53,285
489,"F","文化系","理系",30,125,34,24,38,49,44,189
490,"F","体育系","理系",50,207,57,55,59,57,49,277
491,"M","体育系","理系",46,180,52,58,56,44,57,267
492,"M","体育系","文系",24,140,47,46,35,26,45,199
493,"F","体育系","文系",18,94,47,35,48,36,36,202
494,"M","体育系","理系",72,247,71,68,63,52,56,310
495,"M","体育系","文系",59,157,62,60,61,59,59,301
496,"M","体育系","理系",76,264,74,54,70,60,67,325
