"ID","性別","部署","年代","協調性","自己主張","技能","知識","ストレス","総合","昨年総合"
57,"M","B部","若手",60,45,61,70,45,236,208
58,"M","B部","若手",41,53,50,67,60,211,187
59,"M","A部","中堅",11,33,37,46,63,127,138
60,"M","B部","中堅",50,94,49,64,52,257,272
61,"M","A部","若手",46,61,49,75,50,231,223
62,"F","B部","中堅",54,64,54,73,55,242,209
63,"M","A部","若手",45,64,57,76,64,242,195
64,"F","A部","若手",59,61,62,71,49,250,222
65,"M","B部","若手",32,26,45,54,55,157,143
66,"M","A部","若手",79,85,59,73,49,296,277
67,"F","B部","熟練",60,55,62,65,48,239,245
68,"F","A部","熟練",61,55,64,90,63,267,251
69,"M","B部","中堅",43,57,53,56,54,209,218
70,"F","A部","若手",57,74,65,66,56,259,283
71,"F","A部","熟練",52,60,44,67,60,220,211
72,"M","B部","中堅",56,72,45,50,54,223,196
73,"M","B部","中堅",58,65,56,65,57,244,220
74,"F","A部","中堅",57,51,42,60,46,207,222
75,"M","B部","中堅",34,53,47,59,66,193,162
76,"M","A部","中堅",47,46,48,61,54,202,234
77,"F","A部","若手",59,66,51,67,55,240,246
78,"F","A部","中堅",58,58,63,74,56,250,269
79,"M","A部","中堅",40,49,50,50,57,189,174
80,"M","B部","中堅",51,63,36,66,62,216,203
81,"F","A部","熟練",50,80,55,76,56,258,267
82,"F","A部","中堅",48,86,64,57,69,252,248
83,"F","B部","中堅",66,64,64,55,49,246,258
84,"F","B部","熟練",59,57,44,63,48,220,216
85,"M","A部","中堅",31,42,33,59,61,165,161
86,"M","A部","中堅",61,62,73,73,54,269,304
87,"M","A部","中堅",52,75,51,62,60,240,250
88,"F","A部","若手",42,55,50,65,56,209,162
89,"M","A部","若手",60,82,57,76,51,275,289
90,"M","A部","若手",63,61,66,74,58,264,250
91,"F","A部","若手",57,69,59,75,60,257,258
92,"F","B部","熟練",54,82,57,62,58,252,279
93,"M","A部","中堅",47,63,54,69,61,233,267
94,"M","B部","熟練",65,51,64,78,51,258,218
95,"M","A部","若手",35,45,35,64,58,179,148
96,"M","B部","中堅",41,42,45,58,54,186,195
97,"M","A部","熟練",35,53,51,60,63,199,186
98,"M","B部","中堅",45,43,38,66,53,192,182
99,"M","B部","中堅",50,63,60,73,64,246,271
100,"F","B部","若手",62,80,74,61,50,274,265
101,"F","A部","若手",67,55,66,78,55,263,240
102,"M","B部","若手",58,54,56,68,50,236,230
103,"F","A部","若手",46,50,44,48,52,185,200
104,"M","A部","中堅",67,79,61,80,53,287,292
105,"M","A部","中堅",50,58,60,60,62,228,243
106,"M","A部","若手",51,60,31,69,46,211,176
107,"M","A部","若手",51,73,48,73,53,245,247
108,"F","B部","中堅",59,55,50,69,51,230,244
109,"F","B部","中堅",60,79,53,62,55,251,279
110,"F","A部","中堅",64,43,41,63,47,208,153
111,"M","A部","中堅",37,61,52,57,69,207,191
112,"M","A部","中堅",54,69,52,59,55,234,250
113,"M","A部","若手",48,67,55,63,58,233,243
114,"F","B部","熟練",44,40,50,59,57,190,197
115,"M","B部","中堅",33,41,46,58,56,178,146
116,"M","B部","中堅",52,36,41,66,53,195,189
117,"F","B部","中堅",47,53,46,63,54,206,163
118,"F","A部","若手",71,69,71,75,49,283,283
119,"M","B部","中堅",44,60,42,47,57,193,173
120,"F","A部","中堅",63,63,46,64,52,233,204
121,"M","A部","若手",55,46,50,49,43,200,203
122,"F","A部","熟練",48,64,35,59,61,203,239
123,"M","A部","若手",66,57,40,68,37,231,199
124,"F","A部","中堅",56,66,46,60,58,225,208
125,"M","A部","中堅",53,65,55,57,55,230,226
126,"F","B部","若手",53,63,54,57,60,224,210
127,"M","A部","中堅",60,64,40,57,51,221,200
128,"M","B部","若手",29,40,34,54,65,157,169
129,"M","A部","若手",42,36,33,71,54,182,162
130,"M","B部","中堅",53,68,58,59,59,238,235
131,"F","A部","若手",41,48,57,53,55,196,216
132,"M","A部","若手",44,46,53,60,56,203,210
133,"M","B部","中堅",53,56,55,58,60,222,190
134,"F","A部","若手",41,71,54,56,65,219,245
135,"F","A部","若手",66,73,62,65,46,263,274
136,"F","A部","若手",44,32,29,55,49,157,161
137,"M","A部","中堅",53,60,53,56,54,222,219
138,"M","B部","中堅",65,47,66,74,47,252,235
139,"M","B部","中堅",57,79,41,66,49,243,226
140,"M","B部","中堅",38,48,35,61,64,182,163
141,"M","B部","中堅",50,76,39,54,49,219,191
142,"F","A部","熟練",42,49,36,62,57,186,197
143,"M","B部","若手",48,63,56,56,60,223,196
144,"M","B部","熟練",50,50,50,58,54,208,216
145,"F","B部","中堅",42,57,39,62,57,197,180
146,"F","B部","若手",48,71,62,63,64,241,258
147,"M","A部","中堅",62,72,32,59,45,225,246
148,"F","B部","若手",41,49,46,56,64,189,189
149,"M","A部","若手",58,46,63,69,50,236,244
150,"M","A部","熟練",35,39,40,52,52,166,172
151,"M","B部","若手",62,60,59,58,36,239,211
152,"F","B部","中堅",29,51,51,49,65,177,193
153,"F","A部","熟練",56,63,51,69,51,236,252
154,"M","B部","中堅",40,57,40,69,59,206,188
155,"M","B部","若手",47,52,41,55,46,195,175
156,"M","B部","若手",38,47,45,58,62,188,195
157,"M","A部","若手",68,82,56,59,49,265,243
158,"F","A部","中堅",48,54,53,52,61,204,208
159,"F","A部","若手",60,68,56,67,57,248,261
160,"M","B部","中堅",66,94,67,66,59,293,288
161,"M","B部","中堅",54,43,55,72,55,224,221
162,"F","A部","中堅",49,50,44,53,54,193,179
163,"M","A部","若手",54,60,46,68,60,228,222
164,"M","B部","中堅",43,69,43,68,57,223,212
165,"F","A部","熟練",55,59,58,79,52,248,299
166,"M","A部","中堅",64,70,72,65,63,271,283
167,"M","B部","中堅",25,54,55,58,66,192,215
168,"M","B部","中堅",41,65,41,71,63,218,209
169,"F","B部","熟練",51,52,45,61,53,206,202
170,"M","A部","中堅",44,91,67,71,67,273,328
171,"M","A部","熟練",50,45,42,59,54,196,179
172,"F","B部","若手",63,60,45,60,41,225,212
173,"M","A部","若手",45,53,42,41,54,181,178
174,"F","B部","熟練",74,73,75,75,49,294,316
175,"M","A部","若手",61,51,70,66,61,248,188
176,"F","B部","中堅",56,56,53,72,58,234,275
177,"F","A部","若手",45,35,45,49,58,171,149
178,"M","A部","若手",55,72,59,63,55,249,224
179,"F","A部","若手",51,52,54,71,57,225,218
180,"M","B部","中堅",67,46,28,62,43,203,216
181,"M","A部","中堅",46,60,57,67,60,230,213
182,"M","A部","熟練",59,41,43,68,44,211,173
183,"M","B部","若手",60,63,60,78,54,261,251
184,"M","B部","若手",68,54,48,65,40,235,242
185,"F","B部","中堅",57,50,37,57,55,198,215
186,"F","B部","熟練",41,34,49,50,55,171,194
187,"F","B部","中堅",56,36,57,63,55,209,200
188,"M","B部","熟練",45,74,79,64,64,262,291
189,"F","B部","中堅",55,72,51,52,58,227,251
190,"F","B部","若手",42,62,46,58,61,205,196
191,"F","B部","熟練",55,59,57,73,61,241,259
192,"M","A部","中堅",49,58,44,59,58,210,231
193,"M","A部","中堅",48,64,50,58,58,220,192
194,"F","A部","中堅",41,47,48,49,55,182,212
195,"M","A部","若手",49,58,50,63,54,220,218
196,"M","B部","中堅",68,74,62,69,54,273,283
197,"M","B部","中堅",54,71,47,54,49,226,224
198,"F","A部","若手",60,74,66,65,61,262,248
199,"F","B部","中堅",68,65,54,72,53,256,287
200,"F","A部","若手",56,63,48,59,55,223,249
201,"F","B部","熟練",37,45,52,45,60,176,155
202,"M","B部","若手",57,47,56,62,55,222,222
203,"F","A部","若手",67,56,66,65,52,251,262
204,"M","A部","中堅",67,68,68,70,51,273,237
205,"F","B部","熟練",47,53,33,42,50,172,163
206,"M","A部","若手",38,64,38,56,58,196,206
207,"F","B部","熟練",50,63,46,65,60,221,214
208,"M","A部","若手",47,39,23,64,50,173,132
209,"F","A部","若手",48,61,40,73,55,219,189
210,"F","B部","熟練",51,48,54,64,55,214,196
211,"M","A部","中堅",39,61,40,51,48,191,194
212,"M","A部","若手",69,60,63,76,51,268,232
213,"M","B部","中堅",53,46,57,70,58,226,236
214,"M","A部","若手",69,59,46,74,42,248,269
215,"F","A部","若手",56,53,58,71,55,235,224
216,"M","A部","中堅",51,70,41,72,54,234,253
217,"M","B部","中堅",43,47,41,65,52,196,215
218,"M","A部","中堅",68,73,50,63,48,254,254
219,"M","A部","若手",47,68,50,57,54,222,215
220,"F","A部","熟練",45,47,40,68,56,197,193
221,"F","B部","若手",63,66,63,69,60,258,220
222,"F","B部","若手",62,50,47,57,41,213,224
223,"F","A部","若手",48,43,56,56,53,200,207
224,"F","A部","中堅",43,27,56,52,54,175,172
225,"F","B部","中堅",58,51,50,66,57,222,168
226,"M","B部","熟練",58,61,52,61,55,232,238
227,"F","B部","若手",58,62,48,60,52,225,236
228,"M","B部","熟練",51,46,54,69,49,220,203
229,"M","A部","若手",51,53,38,60,52,202,222
230,"M","A部","若手",65,41,53,74,48,233,245
231,"M","A部","若手",56,65,50,59,55,230,206
232,"F","B部","中堅",46,55,58,69,60,225,206
233,"F","B部","熟練",36,50,43,63,55,189,185
234,"M","A部","若手",38,60,47,65,60,210,190
235,"F","B部","熟練",54,48,45,67,59,211,190
236,"M","A部","若手",38,71,47,50,53,206,233
237,"M","A部","中堅",58,69,71,71,58,269,246
238,"M","A部","熟練",54,63,50,62,60,229,234
239,"F","A部","若手",69,68,43,60,45,237,206
240,"F","B部","熟練",45,63,38,55,58,198,198
241,"F","A部","中堅",48,60,38,70,54,213,224
242,"F","A部","若手",63,90,52,71,57,273,295
243,"M","A部","若手",56,60,51,69,48,236,214
244,"M","B部","熟練",36,82,41,75,62,234,219
245,"M","B部","若手",51,36,45,53,54,185,203
246,"F","B部","若手",66,65,69,74,64,271,283
247,"M","A部","熟練",53,59,56,77,55,245,239
248,"F","B部","熟練",56,49,46,61,53,209,210
249,"M","A部","若手",51,64,50,62,60,227,217
250,"M","A部","中堅",50,59,46,55,52,210,224
251,"F","A部","若手",42,43,44,51,57,177,184
252,"M","B部","中堅",57,62,53,65,56,237,235
253,"M","B部","熟練",40,58,42,59,48,199,182
254,"F","B部","熟練",48,61,56,69,62,231,237
255,"M","A部","中堅",65,58,63,81,49,267,261
256,"M","B部","若手",61,41,47,66,48,215,178
257,"M","A部","中堅",38,45,49,52,56,184,165
258,"M","A部","若手",47,64,62,75,60,248,214
259,"M","A部","中堅",35,71,36,59,64,201,220
260,"M","A部","中堅",59,50,58,59,52,226,256
261,"M","A部","中堅",58,79,55,79,54,271,318
262,"F","A部","若手",44,53,57,71,61,222,265
263,"F","A部","若手",41,55,54,76,66,223,208
264,"F","B部","若手",47,46,34,53,55,177,152
265,"F","B部","若手",55,53,32,58,43,195,183
266,"M","B部","若手",44,67,56,57,47,224,249
267,"M","B部","中堅",48,72,57,74,62,251,231
268,"M","A部","熟練",52,68,37,57,51,214,200
269,"F","A部","熟練",34,50,35,54,61,170,155
270,"M","A部","中堅",38,43,47,64,60,192,186
271,"M","A部","中堅",60,56,65,69,51,250,263
272,"M","A部","中堅",48,55,52,71,58,226,196
273,"M","B部","熟練",61,67,47,61,52,236,236
274,"M","B部","熟練",57,44,54,62,55,217,182
275,"M","B部","熟練",56,49,49,60,51,214,235
276,"M","B部","熟練",46,73,66,76,60,261,278
277,"F","A部","若手",63,72,53,63,52,248,253
278,"M","A部","若手",50,54,28,56,45,188,183
279,"M","A部","若手",65,85,52,75,54,277,297
280,"F","B部","中堅",54,40,53,74,48,218,230
281,"M","A部","若手",56,66,59,72,64,253,230
282,"M","B部","若手",24,47,36,55,55,162,212
283,"M","B部","中堅",42,44,42,65,55,193,180
284,"M","B部","熟練",50,56,49,68,64,223,203
285,"F","A部","熟練",56,61,51,59,49,224,233
286,"F","A部","若手",71,73,47,76,46,264,269
287,"M","A部","若手",71,76,66,65,42,278,281
288,"M","B部","若手",42,60,38,64,51,204,175
289,"F","A部","中堅",45,36,26,54,46,158,160
290,"M","A部","熟練",58,55,59,65,46,237,245
291,"F","B部","中堅",50,54,36,56,54,193,238
292,"M","A部","中堅",49,62,54,64,63,229,213
293,"F","A部","若手",52,59,41,70,51,219,234
294,"F","B部","若手",75,70,59,74,44,275,258
295,"F","A部","若手",55,66,51,60,60,229,235
296,"M","A部","熟練",61,58,49,55,42,223,204
297,"F","B部","若手",69,43,58,59,48,226,186
298,"F","A部","中堅",53,68,59,67,61,244,198
299,"F","B部","中堅",57,41,50,55,58,200,217
300,"M","A部","中堅",30,42,56,62,66,190,192
301,"M","B部","中堅",47,61,46,64,52,218,226
302,"F","A部","若手",56,49,49,76,60,227,186
303,"F","B部","熟練",53,57,47,69,48,223,220
304,"M","A部","若手",68,62,55,75,51,260,262
305,"M","A部","若手",44,56,54,55,58,209,242
306,"M","A部","若手",54,48,53,66,43,221,207
307,"M","B部","熟練",60,68,53,64,52,245,261
308,"M","B部","中堅",60,72,52,68,54,252,251
309,"F","A部","中堅",49,47,49,53,54,195,214
310,"M","A部","若手",46,63,57,64,65,230,233
311,"F","B部","中堅",50,49,45,63,52,204,207
312,"F","B部","中堅",43,54,49,46,51,189,186
313,"F","A部","中堅",30,60,46,63,64,196,198
314,"M","B部","若手",51,57,53,61,55,222,224
315,"F","A部","若手",55,64,56,60,45,232,229
316,"F","B部","熟練",49,70,40,54,54,210,207
317,"F","A部","中堅",53,46,50,55,55,201,218
318,"M","A部","若手",52,68,47,55,53,222,218
319,"F","A部","中堅",44,54,45,58,60,198,181
320,"M","B部","若手",54,57,69,77,64,257,255
321,"M","B部","中堅",59,55,37,62,40,213,188
322,"F","A部","中堅",56,56,62,67,62,238,272
323,"F","A部","中堅",55,66,60,55,59,233,283
324,"M","A部","若手",58,63,47,54,56,222,221
325,"F","B部","若手",69,50,62,67,52,245,245
326,"M","B部","中堅",38,71,40,63,61,212,192
327,"F","A部","若手",59,42,55,63,59,216,222
328,"F","B部","若手",48,66,54,66,58,231,251
329,"M","B部","若手",33,46,38,58,51,175,191
330,"M","A部","熟練",49,69,48,65,57,231,231
331,"F","B部","若手",63,67,55,60,43,242,267
332,"M","B部","熟練",44,71,47,55,64,217,252
333,"M","B部","若手",48,52,46,58,48,204,198
334,"M","A部","若手",58,34,63,63,55,218,227
335,"F","B部","若手",60,62,55,58,49,232,255
336,"M","B部","中堅",46,59,44,66,55,215,209
337,"M","A部","中堅",35,63,46,44,66,188,191
338,"M","B部","若手",39,38,44,54,58,175,153
339,"M","B部","中堅",56,51,46,59,44,212,194
340,"F","A部","中堅",51,51,51,56,54,206,158
341,"M","A部","若手",47,74,41,55,54,217,203
342,"M","B部","中堅",52,45,63,64,51,224,213
343,"M","B部","若手",48,67,51,60,60,226,247
344,"M","B部","熟練",44,64,49,52,68,209,187
345,"M","A部","中堅",65,61,51,58,43,235,233
346,"M","A部","若手",50,69,40,57,53,216,208
347,"F","A部","若手",69,71,56,66,61,259,251
348,"M","B部","若手",34,41,32,52,57,159,162
349,"M","B部","中堅",53,52,66,72,55,243,273
350,"M","B部","熟練",58,45,58,63,51,224,201
351,"M","A部","若手",63,79,54,69,46,265,279
352,"M","B部","熟練",55,67,52,56,52,230,216
353,"M","B部","若手",67,76,60,67,46,270,247
354,"M","A部","若手",49,53,48,54,48,204,221
355,"F","A部","中堅",46,49,65,65,61,222,196
356,"F","B部","若手",61,48,60,59,48,225,206
357,"M","B部","熟練",51,50,61,62,57,224,244
358,"M","A部","若手",41,54,58,67,63,220,218
359,"M","A部","中堅",59,42,38,68,49,207,239
360,"F","B部","熟練",34,52,24,54,58,161,215
361,"F","B部","若手",44,49,49,62,60,201,205
362,"F","A部","若手",55,56,36,60,46,204,219
363,"F","A部","若手",53,47,47,57,47,201,203
364,"M","B部","若手",52,78,60,61,55,251,240
365,"M","B部","熟練",44,85,51,61,66,241,227
366,"M","B部","中堅",38,73,47,69,63,227,249
367,"M","B部","若手",59,69,51,74,53,253,268
368,"F","B部","中堅",47,57,35,58,54,194,203
369,"M","A部","若手",53,41,44,75,52,213,231
370,"M","A部","若手",53,46,57,67,56,223,200
371,"M","A部","中堅",59,63,65,74,55,261,239
372,"M","A部","中堅",54,77,51,67,60,249,252
373,"F","A部","若手",58,63,60,79,62,257,268
374,"M","B部","熟練",43,58,37,61,60,199,222
375,"M","B部","熟練",53,66,61,72,58,252,282
376,"F","B部","若手",62,50,47,56,54,212,216
377,"M","B部","中堅",29,59,51,64,66,203,181
378,"M","A部","若手",53,50,55,58,54,216,192
379,"M","B部","熟練",47,74,44,53,57,218,199
380,"M","B部","熟練",73,55,74,63,51,265,293
381,"M","A部","若手",57,74,72,65,55,268,276
382,"F","B部","若手",43,51,32,66,52,189,219
383,"F","B部","熟練",59,60,52,69,60,237,223
384,"F","A部","熟練",56,60,56,56,48,225,224
385,"M","B部","若手",45,65,43,65,63,218,231
386,"M","B部","中堅",53,42,39,62,43,196,203
387,"M","B部","中堅",52,65,45,60,61,222,198
388,"F","B部","中堅",49,39,52,62,55,199,169
389,"F","B部","中堅",56,83,58,63,68,257,208
390,"M","B部","中堅",57,70,42,72,54,241,254
391,"F","A部","中堅",66,61,56,61,48,241,253
392,"M","A部","若手",54,31,53,61,54,199,199
393,"M","A部","中堅",43,60,59,69,62,231,272
394,"F","B部","中堅",45,48,52,64,61,206,212
395,"M","A部","中堅",35,69,50,59,64,213,203
396,"F","B部","中堅",67,48,68,66,57,246,269
397,"M","A部","熟練",47,44,47,67,58,205,225
398,"F","A部","若手",55,57,44,57,51,210,196
399,"M","B部","中堅",53,56,51,63,54,223,224
400,"F","B部","熟練",59,57,60,69,61,242,260
401,"M","B部","若手",54,64,55,71,57,244,263
402,"M","B部","熟練",45,50,44,57,60,196,193
403,"M","A部","若手",42,53,53,53,62,201,175
404,"M","A部","中堅",68,51,53,51,46,223,256
405,"F","A部","中堅",31,53,52,52,67,185,188
406,"M","B部","中堅",59,63,49,60,48,231,222
407,"M","A部","中堅",55,78,34,62,52,229,223
408,"M","A部","若手",51,73,67,62,67,253,244
409,"F","B部","若手",66,68,64,66,54,261,227
410,"M","B部","熟練",36,34,33,57,60,160,157
411,"M","B部","中堅",62,64,38,50,45,214,234
412,"M","A部","若手",64,72,54,66,41,256,302
413,"M","B部","若手",44,46,40,57,50,187,176
414,"M","A部","若手",43,52,52,54,56,201,197
415,"F","A部","中堅",49,67,44,58,51,215,228
416,"F","A部","若手",43,56,44,65,62,205,202
417,"M","A部","熟練",28,69,50,60,66,207,196
418,"M","A部","中堅",50,59,38,73,50,220,213
419,"F","A部","熟練",60,38,49,62,54,206,210
420,"M","A部","熟練",58,79,64,70,55,271,226
421,"M","A部","若手",58,67,59,70,50,254,241
422,"F","A部","中堅",52,46,43,54,51,192,195
423,"F","B部","中堅",57,46,49,58,51,207,217
424,"F","B部","中堅",53,64,54,65,67,233,213
425,"M","A部","中堅",52,70,40,72,56,234,222
426,"M","A部","若手",52,62,46,71,53,231,197
427,"M","B部","熟練",39,71,45,70,58,225,234
428,"M","A部","中堅",48,50,54,74,58,226,239
429,"M","B部","熟練",44,62,55,69,58,230,229
430,"M","A部","熟練",46,55,53,62,60,216,217
431,"F","A部","若手",71,76,55,73,52,272,222
432,"F","A部","中堅",49,60,47,58,62,211,239
433,"M","A部","若手",40,54,50,56,60,200,194
434,"F","B部","中堅",36,33,49,53,53,168,156
435,"F","A部","中堅",44,59,50,67,56,217,217
436,"M","A部","若手",60,79,68,70,57,277,289
437,"M","B部","中堅",37,25,33,45,55,140,171
438,"F","A部","若手",41,51,48,69,70,206,214
439,"F","A部","中堅",33,56,43,65,66,194,172
440,"F","A部","若手",63,55,57,79,55,251,249
441,"F","B部","熟練",60,56,65,63,49,241,243
442,"M","B部","熟練",44,49,43,62,57,198,201
443,"F","A部","中堅",71,59,61,68,43,256,276
444,"M","A部","熟練",44,57,40,56,52,197,195
445,"M","B部","中堅",58,86,54,65,59,263,247
446,"F","A部","若手",54,61,54,57,59,223,251
447,"M","B部","若手",56,52,60,59,51,227,282
448,"M","A部","若手",46,51,59,58,55,214,208
449,"M","B部","熟練",40,45,46,60,56,191,210
450,"M","A部","熟練",63,54,54,67,57,238,260
451,"F","B部","中堅",32,43,30,60,48,162,180
452,"M","A部","中堅",58,72,46,67,52,243,235
453,"F","A部","中堅",51,66,64,59,64,237,250
454,"M","B部","中堅",63,38,45,61,45,207,232
455,"M","B部","熟練",50,68,43,78,52,239,299
456,"M","B部","中堅",44,70,49,59,61,222,230
457,"M","B部","熟練",63,66,71,76,58,276,277
458,"F","A部","中堅",68,77,45,63,44,250,231
459,"M","B部","中堅",59,80,71,85,58,295,295
460,"F","B部","中堅",46,60,48,62,61,213,227
461,"F","A部","若手",62,60,70,62,51,251,264
462,"F","B部","中堅",70,86,62,80,54,295,277
463,"M","B部","熟練",54,61,63,71,55,249,249
464,"F","A部","中堅",43,49,39,63,56,191,169
465,"M","B部","中堅",35,57,36,41,56,169,177
466,"F","B部","若手",74,57,43,64,49,235,237
467,"F","B部","若手",53,64,58,79,64,251,275
468,"M","A部","若手",64,71,56,66,53,257,260
469,"M","A部","中堅",27,44,33,48,58,152,172
470,"M","A部","若手",31,50,52,59,56,192,204
471,"F","A部","若手",55,53,52,49,48,206,189
472,"M","A部","若手",55,35,39,49,51,178,148
473,"M","A部","若手",60,80,51,66,49,257,256
474,"F","A部","中堅",24,36,23,55,59,135,179
475,"M","B部","中堅",47,55,38,65,58,205,220
476,"M","B部","若手",42,57,49,65,53,213,223
477,"F","B部","中堅",42,48,47,54,65,188,201
478,"M","A部","中堅",56,35,58,71,51,220,246
479,"F","B部","若手",74,65,55,72,37,263,297
480,"F","A部","若手",46,66,59,69,57,237,256
481,"F","B部","若手",58,55,49,61,51,220,246
482,"M","A部","若手",29,41,31,58,65,159,180
483,"M","B部","中堅",48,41,42,52,55,183,211
484,"M","B部","若手",41,70,42,50,61,203,226
485,"M","A部","若手",54,60,51,54,54,219,187
486,"M","B部","熟練",54,57,49,63,52,223,208
487,"M","B部","若手",69,61,66,51,45,247,242
488,"M","B部","若手",49,46,31,55,45,181,181
489,"M","A部","中堅",46,81,57,63,65,247,286
490,"M","A部","中堅",60,62,53,71,52,246,254
491,"M","B部","中堅",41,46,59,68,64,214,235
492,"M","A部","中堅",53,61,44,66,63,224,219
493,"F","A部","熟練",60,69,49,57,54,232,236
494,"F","B部","熟練",66,55,61,75,51,254,250
495,"M","B部","中堅",42,72,45,60,63,219,216
496,"M","A部","熟練",55,66,60,55,52,236,272
497,"F","A部","中堅",56,62,56,67,57,238,244
498,"F","B部","中堅",48,60,50,46,63,201,208
499,"M","B部","中堅",49,44,52,57,51,202,201
500,"F","A部","中堅",52,74,55,59,54,237,225
501,"F","A部","若手",56,58,50,65,49,226,222
502,"M","B部","熟練",65,54,53,73,54,245,221
503,"M","A部","熟練",53,53,58,63,57,227,227
504,"M","B部","熟練",44,59,55,58,64,216,201
505,"M","A部","若手",47,44,44,56,56,191,215
506,"F","A部","熟練",48,31,48,59,54,183,213
507,"F","B部","中堅",47,54,48,59,57,205,182
508,"F","A部","若手",60,61,42,61,51,221,195
509,"M","A部","中堅",34,49,42,54,56,179,169
510,"M","A部","中堅",58,67,45,65,52,235,234
511,"M","A部","若手",48,73,70,72,61,263,266
512,"M","B部","若手",52,46,53,56,55,207,223
513,"M","A部","若手",32,70,48,56,60,206,186
514,"M","B部","若手",38,49,37,62,52,186,191
515,"F","B部","熟練",74,72,66,70,57,279,266
516,"M","A部","若手",60,90,62,69,56,281,269
517,"F","B部","熟練",27,51,29,52,67,156,167
518,"M","A部","若手",38,56,52,56,64,202,204
519,"M","B部","若手",69,55,70,70,46,264,278
520,"M","B部","中堅",52,46,47,55,47,200,184
521,"F","B部","中堅",67,62,61,74,49,261,263
522,"M","B部","熟練",55,52,60,59,45,226,222
523,"F","A部","若手",59,80,44,71,56,251,271
524,"M","A部","熟練",29,54,57,67,64,207,206
525,"M","A部","中堅",74,66,72,77,44,289,273
526,"M","B部","若手",47,71,56,66,56,240,254
527,"F","B部","中堅",38,53,38,61,64,187,198
528,"F","A部","若手",37,56,54,64,68,208,224
529,"M","B部","中堅",56,77,46,68,59,247,250
530,"M","A部","中堅",53,58,43,55,48,209,192
531,"M","B部","熟練",41,60,47,43,63,191,161
532,"F","B部","中堅",60,49,31,58,43,195,217
533,"M","A部","若手",47,55,41,53,56,196,215
534,"M","B部","熟練",55,65,63,70,56,253,254
535,"F","A部","若手",57,48,42,58,56,202,154
536,"F","A部","若手",46,47,47,64,60,201,199
537,"M","A部","中堅",40,62,47,55,52,204,220
538,"F","B部","熟練",27,52,43,59,71,178,168
539,"M","A部","若手",45,67,65,80,62,257,263
540,"M","A部","中堅",39,64,38,68,57,209,188
541,"M","A部","若手",50,50,50,47,51,197,207
542,"M","B部","中堅",46,77,53,52,53,228,201
543,"M","B部","中堅",40,57,44,57,56,198,187
