学業1,学業2,学業3,学業4,学業5,友人1,友人2,友人3,友人4,友人5,情緒1,情緒2,情緒3,情緒4,情緒5,暴力1,暴力2,暴力3,暴力4,暴力5,BMI
4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,3,19.56
4,3,4,4,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,2,21.84
2,3,3,3,2,2,2,2,1,3,3,3,3,3,3,3,2,3,3,3,21.99
3,3,3,3,2,4,4,4,3,4,3,2,2,2,2,4,4,4,4,3,23.62
3,4,4,4,3,3,3,4,4,4,3,2,2,3,3,5,5,4,4,3,19.94
3,4,4,4,4,3,4,3,3,3,2,2,2,2,2,3,4,3,3,4,21.6
3,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,22.91
3,3,3,4,3,3,4,4,4,3,3,2,2,3,3,4,4,4,4,3,19.66
2,3,2,3,3,3,3,4,4,3,2,2,2,2,3,4,3,3,4,3,20.91
3,3,3,3,3,4,4,4,4,4,2,2,2,2,2,4,5,4,4,3,20.83
3,3,2,2,3,4,4,4,4,4,3,3,3,3,3,2,3,3,2,3,15.91
3,2,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,25.33
2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,19.62
5,4,4,5,3,3,4,4,3,4,3,2,3,3,3,3,3,3,2,2,21.74
3,4,4,4,3,2,3,3,3,2,4,3,4,3,3,3,3,4,3,3,19.55
3,3,3,3,2,3,4,4,4,3,2,2,2,3,2,4,3,2,2,2,21.91
3,3,2,4,3,4,4,4,4,4,3,2,2,3,3,3,3,3,3,3,19.97
4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,3,4,18.72
3,3,4,4,3,4,4,5,4,4,3,2,2,3,3,3,2,3,2,2,24.65
4,4,4,3,3,4,4,4,5,4,3,3,2,3,3,4,4,3,5,2,20.01
3,2,2,3,2,2,3,3,2,2,3,3,3,3,2,4,4,4,4,3,25.16
3,4,3,4,3,2,3,3,3,2,3,3,2,3,3,4,4,4,2,3,21.23
4,4,4,4,3,2,3,3,3,3,4,3,3,4,3,2,1,2,2,2,21.26
3,3,3,4,3,2,3,3,3,2,4,4,5,4,4,4,3,4,4,4,21.01
2,3,3,3,2,3,3,3,3,3,3,2,2,2,3,4,4,4,5,2,21.34
2,2,2,3,2,2,3,3,3,2,4,3,4,3,4,3,3,3,4,3,20.04
3,3,1,3,2,2,3,3,3,3,4,3,3,3,3,2,3,2,2,2,21.92
3,2,1,3,2,4,4,5,4,4,2,2,2,2,2,3,4,4,3,3,22.89
4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,2,2,2,3,2,15.71
3,4,5,4,3,2,2,3,3,2,4,3,3,4,4,3,3,3,4,2,22.86
2,2,1,2,2,2,2,2,2,2,4,4,4,4,5,2,2,2,3,2,21.37
1,1,2,2,2,3,3,4,3,3,3,3,3,3,4,2,2,2,1,2,18.09
3,4,3,4,2,2,3,3,3,3,4,3,4,4,4,2,3,3,3,2,21.08
2,2,2,3,2,3,4,4,4,4,4,3,3,3,4,3,3,3,3,3,19.87
2,3,2,3,1,3,3,3,3,4,4,3,3,4,3,3,2,2,2,3,22.93
4,3,3,3,3,3,3,4,4,2,3,3,3,3,4,4,4,3,3,4,22.59
2,2,2,2,1,2,2,3,2,2,3,3,3,3,4,3,3,3,3,3,17.65
1,1,2,2,1,2,2,3,3,3,4,4,4,4,5,1,1,2,3,1,22.87
4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,22.53
2,2,2,3,2,3,3,4,3,4,3,2,2,3,3,2,3,2,2,3,17.62
3,2,2,2,2,3,3,3,4,3,3,2,3,3,3,3,4,3,4,3,19.71
4,3,3,4,3,4,4,4,4,4,3,2,3,3,3,3,3,4,4,3,16.66
2,3,3,3,2,2,3,3,3,3,4,3,4,4,3,2,3,3,3,2,18.68
2,2,3,3,2,3,4,3,4,3,3,2,3,3,3,3,4,3,4,2,21.01
2,2,1,2,3,2,2,3,2,2,3,3,2,3,3,3,3,4,3,2,19.44
2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,1,1,19.02
3,3,3,4,3,3,3,4,4,3,3,3,3,3,2,4,4,3,4,3,20.18
4,5,4,5,4,4,4,4,4,4,3,2,3,3,3,4,4,4,4,3,17.29
3,3,2,3,3,3,3,4,3,4,4,3,4,4,4,2,2,2,3,3,16.59
2,2,2,2,1,2,3,3,4,3,3,3,3,3,3,2,3,4,3,2,20.66
2,3,4,3,3,3,4,4,3,4,2,2,2,2,2,3,3,3,2,3,19.88
3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,2,3,3,3,4,23.36
3,2,2,4,3,3,3,3,3,4,3,2,3,3,2,3,4,4,3,2,21.85
3,4,4,4,4,4,4,4,4,4,2,1,2,2,3,3,3,4,4,2,21.34
3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,3,3,2,22.53
4,4,4,4,3,4,4,4,4,4,3,2,2,3,3,4,4,3,4,4,18.2
4,4,3,4,3,3,4,4,3,4,3,3,3,2,3,3,3,3,3,2,22.49
4,4,4,4,3,5,5,5,4,5,3,3,3,3,3,3,4,4,3,2,22.81
3,3,2,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,19.81
1,2,2,2,2,2,3,3,4,2,4,3,4,3,3,2,2,2,2,4,18.6
4,3,3,3,3,3,3,3,3,3,2,1,2,1,1,4,5,4,4,4,20.65
2,3,2,3,2,3,3,4,3,3,4,4,4,4,3,2,2,2,3,3,22.86
2,2,3,4,2,3,4,4,4,4,2,2,2,3,2,3,3,2,4,2,17.68
4,3,3,4,4,4,4,4,4,3,2,2,2,2,3,3,4,4,3,3,17
3,3,2,3,2,3,3,3,3,3,3,3,2,3,2,3,2,3,3,2,20.01
3,3,2,2,2,3,4,5,4,5,4,3,4,3,3,3,4,4,3,4,19.71
2,2,3,2,3,2,3,2,2,2,4,3,3,3,3,3,3,4,3,3,20.28
2,3,3,2,2,3,3,3,3,3,4,4,4,5,4,2,1,2,2,3,20.99
3,4,3,4,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,2,17.43
3,3,3,3,2,3,4,4,3,4,3,3,4,4,3,3,3,3,3,2,17.63
3,3,3,4,3,3,2,3,3,3,2,2,2,2,2,4,4,5,3,3,21.67
3,4,3,4,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,19.64
3,3,4,4,3,2,2,2,3,2,3,3,4,3,4,3,3,4,3,3,18.98
3,3,4,4,3,2,3,3,2,2,3,3,3,3,3,3,3,3,2,3,16.63
3,3,3,3,3,4,3,3,4,4,3,3,3,4,3,3,4,3,3,3,15.76
3,3,4,4,3,3,3,4,4,4,3,3,3,3,3,4,4,3,4,2,20.23
2,3,3,2,2,3,4,4,4,3,3,2,3,2,3,4,4,3,3,4,20.85
3,2,3,4,3,3,3,3,3,3,4,3,4,4,4,2,2,3,2,3,21.48
4,3,3,4,3,4,4,4,3,4,2,1,1,2,2,3,4,4,3,4,17.33
2,2,1,1,2,3,4,4,4,3,3,2,2,2,2,2,3,2,2,3,19.13
4,3,2,4,2,3,3,3,3,3,4,4,4,4,4,3,3,3,2,3,19.46
2,3,2,3,2,3,3,3,3,3,2,2,2,2,2,3,3,2,2,2,19.87
2,2,2,2,1,2,2,3,3,3,5,4,4,4,5,3,2,3,3,3,23.11
1,3,3,3,1,2,3,3,3,3,4,3,4,3,3,3,4,3,3,2,21.29
2,3,2,3,2,2,3,4,4,3,4,3,3,4,4,2,3,3,3,2,17.48
3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,17.3
2,2,2,2,1,2,2,2,2,2,4,4,4,4,4,2,2,1,2,2,20.59
3,2,3,3,2,2,2,3,2,2,3,3,4,3,3,3,3,2,3,2,20.76
3,3,2,3,2,2,3,4,3,3,3,2,2,3,3,2,3,2,2,2,23.38
2,3,2,3,3,3,3,3,4,3,2,2,2,2,2,4,3,4,3,2,20.47
3,3,4,4,3,4,4,4,4,4,3,2,2,3,2,3,3,3,3,2,19.64
3,4,3,3,2,3,4,4,3,4,3,3,3,3,3,3,3,3,2,2,20.05
3,3,3,4,2,3,4,4,4,4,3,2,3,3,2,3,3,3,2,2,20.49
2,3,3,2,2,2,3,4,4,3,4,3,3,3,3,2,3,2,3,1,15.16
2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,19.78
3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,4,4,3,3,3,21.06
3,3,2,3,2,2,3,3,3,2,3,3,3,3,3,3,4,3,3,3,19.79
3,3,3,3,3,3,3,3,2,3,4,3,4,4,4,3,3,4,3,3,21.64
3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,2,2,2,4,21.39
2,2,3,3,4,4,4,4,4,3,4,3,4,4,3,2,3,1,3,2,19.84
3,2,3,3,3,3,3,4,3,3,3,3,3,3,4,1,2,2,1,2,21.18
4,2,3,3,3,3,3,4,4,3,2,2,2,2,3,3,4,3,3,2,20.14
2,3,2,3,2,3,3,3,3,3,3,3,3,4,4,3,3,4,3,2,20.27
2,2,2,2,2,4,4,4,4,4,3,3,3,4,3,3,2,3,3,3,21.42
4,3,4,4,4,4,4,4,3,4,3,2,3,3,3,2,2,3,3,2,18.72
3,2,3,3,2,2,2,3,2,3,5,4,4,4,4,2,2,1,2,2,18.79
4,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,4,23.32
3,2,3,3,3,3,4,4,4,3,4,4,4,3,4,3,3,3,4,3,21.81
2,2,3,2,2,3,3,3,3,3,5,4,4,4,4,3,3,3,3,3,18.95
3,2,3,4,3,3,4,5,5,4,2,2,2,2,2,4,4,5,4,3,22.68
2,2,2,2,2,3,3,3,3,3,4,3,3,3,3,2,3,3,3,2,20.54
2,3,3,3,3,3,4,3,4,2,3,3,3,2,4,3,3,3,3,2,18.18
2,3,2,3,2,3,3,4,4,4,3,3,3,3,3,3,3,2,3,3,20.98
3,2,3,3,3,3,3,3,3,2,3,2,1,3,2,3,3,2,3,2,20.67
4,4,5,5,5,3,3,3,3,3,3,2,3,3,3,4,4,4,3,2,20.31
2,2,3,3,2,3,3,4,4,3,3,3,3,3,3,2,2,1,2,1,19.61
2,1,2,3,2,2,2,3,2,2,4,3,3,3,3,3,3,3,2,2,19.51
2,2,3,3,2,2,3,3,3,2,3,2,3,3,3,2,2,2,2,2,16.73
3,3,2,3,3,3,4,3,4,4,3,2,3,3,3,3,3,3,3,3,19.55
2,2,2,3,2,3,3,4,4,3,4,3,3,4,3,3,3,2,3,3,22.3
4,4,4,4,4,3,3,4,3,3,3,2,3,3,3,4,4,3,3,3,19.47
2,1,2,2,1,2,2,2,2,2,4,3,4,3,3,2,2,3,2,2,19.49
4,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,2,4,3,22.09
2,3,3,3,2,2,3,3,3,3,3,3,3,3,4,2,3,4,2,2,18.16
3,2,2,3,4,2,3,4,2,4,3,3,4,3,3,3,4,3,3,4,21.73
2,2,2,2,2,2,2,2,3,2,4,4,4,4,4,2,2,3,3,2,20.07
3,3,2,3,2,3,4,4,4,3,2,3,2,3,3,3,3,2,3,2,18.27
3,3,3,3,3,2,3,2,2,2,4,3,4,3,4,3,4,3,3,3,21.66
4,3,4,4,3,3,3,3,3,3,3,3,3,3,4,2,2,2,3,2,18.44
2,3,2,3,3,2,3,3,3,3,4,3,2,3,4,1,1,1,2,2,18.87
2,2,2,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,2,22.96
2,3,2,2,1,2,2,2,3,3,4,3,3,4,4,3,3,2,3,2,21.06
2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,17.47
3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,18.82
3,4,3,4,3,3,4,4,3,4,3,2,3,3,3,4,4,3,5,3,19.22
2,2,2,2,2,2,2,2,3,2,4,4,4,4,4,2,2,2,3,3,19.61
3,3,3,4,2,3,3,3,2,3,4,3,4,4,4,3,4,4,3,3,20.91
4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,2,2,3,20.17
3,3,2,3,2,3,3,4,4,4,4,3,4,4,4,3,3,3,3,3,19.39
4,4,3,4,3,3,4,4,3,3,3,2,2,3,3,3,4,2,3,3,19.42
2,2,2,3,2,2,3,4,3,3,3,3,3,4,4,1,2,2,2,2,20.33
4,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,24.04
2,2,3,2,2,3,2,3,3,2,4,3,4,4,4,3,2,3,2,2,19.8
4,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,19.95
3,2,3,4,3,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,22.44
3,3,2,3,2,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,19.72
2,2,2,3,2,2,3,2,4,4,3,3,3,3,3,3,3,3,3,4,21.5
2,2,2,3,2,2,3,3,3,3,4,3,4,4,4,4,3,3,3,3,19.5
2,2,2,2,2,2,2,3,2,2,4,4,4,3,4,3,3,3,2,3,22.01
4,3,4,3,2,3,3,3,2,3,3,3,3,3,2,3,4,3,3,3,21.44
2,3,2,3,3,2,2,3,2,2,4,4,4,3,4,2,2,2,4,2,19.7
3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,2,1,20.44
3,3,4,4,3,3,3,3,4,3,3,2,3,3,3,4,4,3,3,2,20.11
3,3,2,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,4,3,21.48
3,3,2,3,3,3,4,4,4,4,4,3,4,4,4,3,4,4,3,3,21.02
3,2,3,3,2,2,3,3,3,2,3,3,2,3,4,2,1,2,2,2,18.22
4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,4,4,3,3,3,23.65
3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,21.84
