"Year","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","colour","ROLE","alpha"
"2003","7.3","0.24","0.39","17.95","0.057","45","149","0.9999","3.21","0.36","8.6","5","WHITE","TRAIN","0.82254215888679"
"2002","7.3","0.24","0.39","17.95","0.057","45","149","0.9999","3.21","0.36","8.6","5","WHITE","TEST","0.25880806846544"
"2003","6.7","0.23","0.39","2.5","0.172","63","158","0.9937","3.11","0.36","9.4","6","WHITE","TRAIN","0.81260267202742"
"2000","6.7","0.24","0.39","2.9","0.173","63","157","0.9937","3.1","0.34","9.4","6","WHITE","TRAIN","0.51928415941074"
"2001","7","0.31","0.26","7.4","0.069","28","160","0.9954","3.13","0.46","9.8","6","WHITE","VALIDATE","0.42812572512775"
"2001","6.6","0.24","0.27","1.4","0.057","33","152","0.9934","3.22","0.56","9.5","6","WHITE","VALIDATE","0.39431382063776"
"2002","6.7","0.23","0.26","1.4","0.06","33","154","0.9934","3.24","0.56","9.5","6","WHITE","TRAIN","0.72897832468152"
"2003","7.4","0.18","0.31","1.4","0.058","38","167","0.9931","3.16","0.53","10","7","WHITE","TRAIN","0.8115341591183"
"2002","6.2","0.45","0.26","4.4","0.063","63","206","0.994","3.27","0.52","9.8","4","WHITE","TRAIN","0.71458754525519"
"2002","6.2","0.46","0.25","4.4","0.066","62","207","0.9939","3.25","0.52","9.8","5","WHITE","TEST","0.29512022668495"
"2003","7","0.31","0.26","7.4","0.069","28","160","0.9954","3.13","0.46","9.8","6","WHITE","TRAIN","0.81882798625156"
"2001","6.9","0.19","0.35","5","0.067","32","150","0.995","3.36","0.48","9.8","5","WHITE","VALIDATE","0.35385381896048"
"2003","7.2","0.19","0.31","1.6","0.062","31","173","0.9917","3.35","0.44","11.7","6","WHITE","TEST","0.18568715569563"
"2001","6.6","0.25","0.29","1.1","0.068","39","124","0.9914","3.34","0.58","11","7","WHITE","VALIDATE","0.3747468702495"
"2001","6.2","0.16","0.33","1.1","0.057","21","82","0.991","3.32","0.46","10.9","7","WHITE","TRAIN","0.56523203873075"
"2001","6.4","0.18","0.35","1","0.045","39","108","0.9911","3.31","0.35","10.9","6","WHITE","VALIDATE","0.36373841250315"
"2005","6.8","0.2","0.59","0.9","0.147","38","132","0.993","3.05","0.38","9.1","6","WHITE","TEST","0.0257642972283"
"2001","6.9","0.25","0.35","1.3","0.039","29","191","0.9908","3.13","0.52","11","6","WHITE","TRAIN","0.55139904376119"
"2003","7.2","0.21","0.34","11.9","0.043","37","213","0.9962","3.09","0.5","9.6","6","WHITE","TRAIN","0.78273335890844"
"2004","6","0.19","0.26","12.4","0.048","50","147","0.9972","3.3","0.36","8.9","6","WHITE","TEST","0.06293808901682"
"2005","6.6","0.38","0.15","4.6","0.044","25","78","0.9931","3.11","0.38","10.2","6","WHITE","TEST","0.01461862586438"
"2003","7.4","0.2","0.36","1.2","0.038","44","111","0.9926","3.36","0.34","9.9","6","WHITE","TRAIN","0.75080014136619"
"2003","6.8","0.22","0.24","4.9","0.092","30","123","0.9951","3.03","0.46","8.6","6","WHITE","TEST","0.24051622743718"
"2002","6","0.19","0.26","12.4","0.048","50","147","0.9972","3.3","0.36","8.9","6","WHITE","TRAIN","0.69761567702516"
"2004","7","0.47","0.07","1.1","0.035","17","151","0.991","3.02","0.34","10.5","5","WHITE","TRAIN","0.87010096572339"
"2005","6.6","0.38","0.15","4.6","0.044","25","78","0.9931","3.11","0.38","10.2","6","WHITE","TRAIN","0.95642107771709"
"2002","7.2","0.24","0.27","1.4","0.038","31","122","0.9927","3.15","0.46","10.3","6","WHITE","TRAIN","0.68472595629282"
"2004","6.2","0.35","0.03","1.2","0.064","29","120","0.9934","3.22","0.54","9.1","5","WHITE","TEST","0.13027515728026"
"2005","6.4","0.26","0.24","6.4","0.04","27","124","0.9903","3.22","0.49","12.6","7","WHITE","TRAIN","0.9927639409434"
"2003","6.7","0.25","0.13","1.2","0.041","81","174","0.992","3.14","0.42","9.8","5","WHITE","TEST","0.22911599301733"
"2000","6.7","0.23","0.31","2.1","0.046","30","96","0.9926","3.33","0.64","10.7","8","WHITE","VALIDATE","0.48405264434404"
"2003","7.4","0.24","0.29","10.1","0.05","21","105","0.9962","3.13","0.35","9.5","5","WHITE","TRAIN","0.80491022812202"
"2003","6.2","0.27","0.43","7.8","0.056","48","244","0.9956","3.1","0.51","9","6","WHITE","TRAIN","0.78325510001741"
"2004","6.8","0.3","0.23","4.6","0.061","50.5","238.5","0.9958","3.32","0.6","9.5","5","WHITE","TEST","0.06408272124826"
"2001","6","0.27","0.28","4.8","0.063","31","201","0.9964","3.69","0.71","10","5","WHITE","TRAIN","0.63961929036304"
"2002","8.6","0.23","0.46","1","0.054","9","72","0.9941","2.95","0.49","9.1","6","WHITE","TRAIN","0.73908493155613"
"2005","6.7","0.23","0.31","2.1","0.046","30","96","0.9926","3.33","0.64","10.7","8","WHITE","TRAIN","0.96548992069438"
"2001","7.4","0.24","0.29","10.1","0.05","21","105","0.9962","3.13","0.35","9.5","5","WHITE","VALIDATE","0.36377107212319"
"2002","7.1","0.18","0.36","1.4","0.043","31","87","0.9898","3.26","0.37","12.7","7","WHITE","TRAIN","0.67742394073866"
"2002","7","0.32","0.34","1.3","0.042","20","69","0.9912","3.31","0.65","12","7","WHITE","VALIDATE","0.31665093475021"
"2001","7.4","0.18","0.3","8.8","0.064","26","103","0.9961","2.94","0.56","9.3","5","WHITE","TRAIN","0.62167703919112"
"2004","6.7","0.54","0.28","5.4","0.06","21","105","0.9949","3.27","0.37","9","5","WHITE","TEST","0.14416608284227"
"2001","6.8","0.22","0.31","1.4","0.053","34","114","0.9929","3.39","0.77","10.6","6","WHITE","TRAIN","0.59398464672267"
"2004","7.1","0.2","0.34","16","0.05","51","166","0.9985","3.21","0.6","9.2","6","WHITE","TRAIN","0.93138882215134"
"2002","7.1","0.34","0.2","6.1","0.063","47","164","0.9946","3.17","0.42","10","5","WHITE","VALIDATE","0.32572066644206"
"2003","7.3","0.22","0.3","8.2","0.047","42","207","0.9966","3.33","0.46","9.5","6","WHITE","TEST","0.19641262851655"
"2003","7.1","0.43","0.61","11.8","0.045","54","155","0.9974","3.11","0.45","8.7","5","WHITE","TRAIN","0.78605172364041"
"2005","7.1","0.44","0.62","11.8","0.044","52","152","0.9975","3.12","0.46","8.7","6","WHITE","TRAIN","0.96519820881076"
"2001","7.2","0.39","0.63","11","0.044","55","156","0.9974","3.09","0.44","8.7","6","WHITE","VALIDATE","0.44270019955001"
"2005","6.8","0.25","0.31","13.3","0.05","69","202","0.9972","3.22","0.48","9.7","6","WHITE","TRAIN","0.98906326550059"
"2001","7.1","0.43","0.61","11.8","0.045","54","155","0.9974","3.11","0.45","8.7","5","WHITE","VALIDATE","0.44494844274595"
"2002","7.1","0.44","0.62","11.8","0.044","52","152","0.9975","3.12","0.46","8.7","6","WHITE","VALIDATE","0.32568635628558"
"2000","7.2","0.39","0.63","11","0.044","55","156","0.9974","3.09","0.44","8.7","6","WHITE","TRAIN","0.51435333397239"
"2003","6.1","0.27","0.43","7.5","0.049","65","243","0.9957","3.12","0.47","9","5","WHITE","TEST","0.17060097283683"
"2001","6.9","0.24","0.33","1.7","0.035","47","136","0.99","3.26","0.4","12.6","7","WHITE","TRAIN","0.63746595266275"
"2002","6.9","0.21","0.33","1.8","0.034","48","136","0.9899","3.25","0.41","12.6","7","WHITE","TRAIN","0.73934317473322"
"2003","7.5","0.17","0.32","1.7","0.04","51","148","0.9916","3.21","0.44","11.5","7","WHITE","TRAIN","0.8495990880765"
"2004","7.1","0.26","0.29","12.4","0.044","62","240","0.9969","3.04","0.42","9.2","6","WHITE","TRAIN","0.93777794134803"
"2004","6","0.34","0.66","15.9","0.046","26","164","0.9979","3.14","0.5","8.8","6","WHITE","TEST","0.08943476877175"
"2000","8.6","0.265","0.36","1.2","0.034","15","80","0.9913","2.95","0.36","11.4","7","WHITE","VALIDATE","0.46168052987195"
"2000","9.8","0.36","0.46","10.5","0.038","4","83","0.9956","2.89","0.3","10.1","4","WHITE","TRAIN","0.51209440408274"
"2003","6","0.34","0.66","15.9","0.046","26","164","0.9979","3.14","0.5","8.8","6","WHITE","TEST","0.19216831796802"
"2004","7.4","0.25","0.37","13.5","0.06","52","192","0.9975","3","0.44","9.1","5","WHITE","TRAIN","0.85579872177913"
"2002","7.1","0.12","0.32","9.6","0.054","64","162","0.9962","3.4","0.41","9.4","5","WHITE","TRAIN","0.71975342207588"
"2000","6","0.21","0.24","12.1","0.05","55","164","0.997","3.34","0.39","9.4","5","WHITE","TRAIN","0.54865445778705"
"2003","7.5","0.305","0.4","18.9","0.059","44","170","1","2.99","0.46","9","5","WHITE","TRAIN","0.84459960297681"
"2005","7.4","0.25","0.37","13.5","0.06","52","192","0.9975","3","0.44","9.1","5","WHITE","TRAIN","0.98063268908299"
"2001","7.3","0.13","0.32","14.4","0.051","34","109","0.9974","3.2","0.35","9.2","6","WHITE","VALIDATE","0.38605867698788"
"2003","7.1","0.12","0.32","9.6","0.054","64","162","0.9962","3.4","0.41","9.4","5","WHITE","TEST","0.17096510948613"
"2002","7.1","0.23","0.35","16.5","0.04","60","171","0.999","3.16","0.59","9.1","6","WHITE","TRAIN","0.7312331830617"
"2003","7.1","0.23","0.35","16.5","0.04","60","171","0.999","3.16","0.59","9.1","6","WHITE","TEST","0.18657060130499"
"2005","6.9","0.33","0.28","1.3","0.051","37","187","0.9927","3.27","0.6","10.3","5","WHITE","TRAIN","0.9786635111086"
"2003","6.5","0.17","0.54","8.5","0.082","64","163","0.9959","2.89","0.39","8.8","6","WHITE","TRAIN","0.77448145137168"
"2003","7.2","0.27","0.46","18.75","0.052","45","255","1","3.04","0.52","8.9","5","WHITE","TEST","0.21860896772705"
"2001","7.2","0.31","0.5","13.3","0.056","68","195","0.9982","3.01","0.47","9.2","5","WHITE","VALIDATE","0.42636357992887"
"2001","6.7","0.41","0.34","9.2","0.049","29","150","0.9968","3.22","0.51","9.1","5","WHITE","VALIDATE","0.38863702863454"
"2000","6.7","0.41","0.34","9.2","0.049","29","150","0.9968","3.22","0.51","9.1","5","WHITE","TRAIN","0.51850180444307"
"2000","5.5","0.485","0","1.5","0.065","8","103","0.994","3.63","0.4","9.7","4","WHITE","VALIDATE","0.48116294643841"
"2003","6","0.31","0.24","3.3","0.041","25","143","0.9914","3.31","0.44","11.3","6","WHITE","TEST","0.22463840781711"
"2004","7","0.14","0.4","1.7","0.035","16","85","0.9911","3.19","0.42","11.8","6","WHITE","TRAIN","0.85793898021802"
"2002","7.2","0.31","0.5","13.3","0.056","68","195","0.9982","3.01","0.47","9.2","5","WHITE","VALIDATE","0.30739184096455"
"2003","7.3","0.32","0.48","13.3","0.06","57","196","0.9982","3.04","0.5","9.2","5","WHITE","TRAIN","0.78747717803344"
"2005","5.9","0.36","0.04","5.7","0.046","21","87","0.9934","3.22","0.51","10.2","5","WHITE","TRAIN","0.95319558959454"
"2002","7.8","0.24","0.32","12.2","0.054","42","138","0.9984","3.01","0.54","8.8","5","WHITE","TRAIN","0.71384953195229"
"2004","7.4","0.16","0.31","6.85","0.059","31","131","0.9952","3.29","0.34","9.7","5","WHITE","TEST","0.06640171143226"
"2000","6.9","0.19","0.28","5","0.058","14","146","0.9952","3.29","0.36","9.1","6","WHITE","TRAIN","0.51137481234036"
"2003","6.4","0.13","0.47","1.6","0.092","40","158","0.9928","3.21","0.36","9.8","6","WHITE","TRAIN","0.80123030650429"
"2004","6.7","0.19","0.36","1.1","0.026","63","143","0.9912","3.27","0.48","11","6","WHITE","TEST","0.13498790585435"
"2004","7.4","0.39","0.23","7","0.033","29","126","0.994","3.14","0.42","10.5","5","WHITE","TRAIN","0.90875673270784"
"2004","6.5","0.24","0.32","7.6","0.038","48","203","0.9958","3.45","0.54","9.7","7","WHITE","TEST","0.12117029028013"
"2003","6.1","0.3","0.56","2.8","0.044","47","179","0.9924","3.3","0.57","10.9","7","WHITE","TEST","0.15979744098149"
"2002","6.1","0.3","0.56","2.7","0.046","46","184","0.9924","3.31","0.57","10.9","6","WHITE","TEST","0.27925281669013"
"2002","5.7","0.26","0.25","10.4","0.02","7","57","0.994","3.39","0.37","10.6","5","WHITE","TEST","0.28769892756827"
"2001","6.5","0.24","0.32","7.6","0.038","48","203","0.9958","3.45","0.54","9.7","7","WHITE","TRAIN","0.55128414090722"
"2001","6.5","0.425","0.4","13.1","0.038","59","241","0.9979","3.23","0.57","9","5","WHITE","VALIDATE","0.36659992299973"
"2002","6.6","0.24","0.27","15.8","0.035","46","188","0.9982","3.24","0.51","9.2","5","WHITE","TRAIN","0.71529552410356"
"2002","6.8","0.27","0.22","8.1","0.034","55","203","0.9961","3.19","0.52","8.9","5","WHITE","TEST","0.25255150557495"
"2004","6.7","0.27","0.31","15.7","0.036","44","179","0.9979","3.26","0.56","9.6","5","WHITE","TRAIN","0.91176336980424"
"2002","8.2","0.23","0.4","1.2","0.027","36","121","0.992","3.12","0.38","10.7","6","WHITE","TRAIN","0.71049724542535"
"2003","7.1","0.37","0.67","10.5","0.045","49","155","0.9975","3.16","0.44","8.7","5","WHITE","TRAIN","0.78382196393795"
"2004","6.8","0.19","0.36","1.9","0.035","30","96","0.9917","3.15","0.54","10.8","7","WHITE","TRAIN","0.94474160089157"
"2001","8.1","0.28","0.39","1.9","0.029","18","79","0.9923","3.23","0.52","11.8","6","WHITE","VALIDATE","0.39936675108037"
"2001","6.3","0.31","0.34","2.2","0.045","20","77","0.9927","3.3","0.43","10.2","5","WHITE","TRAIN","0.56415667710825"
"2004","7.1","0.37","0.67","10.5","0.045","49","155","0.9975","3.16","0.44","8.7","5","WHITE","TEST","0.09075707523152"
"2005","7.9","0.21","0.4","1.2","0.039","38","107","0.992","3.21","0.54","10.8","6","WHITE","TEST","0.03796610911376"
"2001","8.5","0.21","0.41","4.3","0.036","24","99","0.9947","3.18","0.53","9.7","6","WHITE","TRAIN","0.64797616377472"
"2000","8.1","0.2","0.4","2","0.037","19","87","0.9921","3.12","0.54","11.2","6","WHITE","VALIDATE","0.45865045301616"
"2001","6.3","0.255","0.37","1.1","0.04","37","114","0.9905","3","0.39","10.9","6","WHITE","VALIDATE","0.44767327141016"
"2005","5.6","0.16","0.27","1.4","0.044","53","168","0.9918","3.28","0.37","10.1","6","WHITE","TEST","0.02178258704952"
"2001","6.4","0.595","0.14","5.2","0.058","15","97","0.9951","3.38","0.36","9","4","WHITE","VALIDATE","0.42650822387076"
"2001","6.3","0.34","0.33","4.6","0.034","19","80","0.9917","3.38","0.58","12","7","WHITE","TRAIN","0.60153933917172"
"2001","6.9","0.25","0.3","4.1","0.054","23","116","0.994","2.99","0.38","9.4","6","WHITE","TRAIN","0.62595560541376"
"2002","7.9","0.22","0.38","8","0.043","46","152","0.9934","3.12","0.32","11.5","7","WHITE","TRAIN","0.66325620561838"
"2003","7.6","0.18","0.46","10.2","0.055","58","135","0.9968","3.14","0.43","9.9","6","WHITE","TRAIN","0.81783284270204"
"2005","6.9","0.25","0.3","4.1","0.054","23","116","0.994","2.99","0.38","9.4","6","WHITE","TEST","0.03044967306777"
"2003","7.2","0.18","0.41","1.2","0.048","41","97","0.9919","3.14","0.45","10.4","5","WHITE","TEST","0.1569209608715"
"2000","8.2","0.23","0.4","7.5","0.049","12","76","0.9966","3.06","0.84","9.7","6","WHITE","TRAIN","0.51539777312427"
"2001","5.5","0.32","0.13","1.3","0.037","45","156","0.99184","3.26","0.38","10.7","5","WHITE","VALIDATE","0.39335770835168"
"2001","7.4","0.7","0","1.9","0.076","11","34","0.9978","3.51","0.56","9.4","5","RED","TRAIN","0.58329706545919"
"2005","7.8","0.88","0","2.6","0.098","25","67","0.9968","3.2","0.68","9.8","5","RED","TRAIN","0.99362537264823"
"2001","7.8","0.76","0.04","2.3","0.092","15","54","0.997","3.26","0.65","9.8","5","RED","TRAIN","0.58788767317309"
"2004","11.2","0.28","0.56","1.9","0.075","17","60","0.998","3.16","0.58","9.8","6","RED","TRAIN","0.85746885393746"
"2003","7.4","0.7","0","1.9","0.076","11","34","0.9978","3.51","0.56","9.4","5","RED","TRAIN","0.82468885439448"
"2002","7.4","0.66","0","1.8","0.075","13","40","0.9978","3.51","0.56","9.4","5","RED","TEST","0.28056678408756"
"2001","7.9","0.6","0.06","1.6","0.069","15","59","0.9964","3.3","0.46","9.4","5","RED","TRAIN","0.64739687787368"
"2001","7.3","0.65","0","1.2","0.065","15","21","0.9946","3.39","0.47","10","7","RED","VALIDATE","0.38191921985708"
"2001","7.8","0.58","0.02","2","0.073","9","18","0.9968","3.36","0.57","9.5","7","RED","VALIDATE","0.44895715708844"
"2004","7.5","0.5","0.36","6.1","0.071","17","102","0.9978","3.35","0.8","10.5","5","RED","TRAIN","0.87578467349521"
"2000","6.7","0.58","0.08","1.8","0.097","15","65","0.9959","3.28","0.54","9.2","5","RED","TRAIN","0.51838357606902"
"2003","7.5","0.5","0.36","6.1","0.071","17","102","0.9978","3.35","0.8","10.5","5","RED","TRAIN","0.84267279063351"
"2002","5.6","0.615","0","1.6","0.089","16","59","0.9943","3.58","0.52","9.9","5","RED","TEST","0.27838226500898"
"2004","7.8","0.61","0.29","1.6","0.114","9","29","0.9974","3.26","1.56","9.1","5","RED","TRAIN","0.93354463228024"
"2003","8.9","0.62","0.18","3.8","0.176","52","145","0.9986","3.16","0.88","9.2","5","RED","TEST","0.18739204131998"
"2001","8.9","0.62","0.19","3.9","0.17","51","148","0.9986","3.17","0.93","9.2","5","RED","VALIDATE","0.36875834478996"
"2004","8.5","0.28","0.56","1.8","0.092","35","103","0.9969","3.3","0.75","10.5","7","RED","TEST","0.10106994607485"
"2002","8.1","0.56","0.28","1.7","0.368","16","56","0.9968","3.11","1.28","9.3","5","RED","TRAIN","0.74119253852404"
"2003","7.4","0.59","0.08","4.4","0.086","6","29","0.9974","3.38","0.5","9","4","RED","TEST","0.1506826847326"
"2003","7.9","0.32","0.51","1.8","0.341","17","56","0.9969","3.04","1.08","9.2","6","RED","TRAIN","0.84062087233178"
"2003","8.9","0.22","0.48","1.8","0.077","29","60","0.9968","3.39","0.53","9.4","6","RED","TRAIN","0.7504290647339"
"2005","7.6","0.39","0.31","2.3","0.082","23","71","0.9982","3.52","0.65","9.7","5","RED","TRAIN","0.9937211794313"
"2004","7.9","0.43","0.21","1.6","0.106","10","37","0.9966","3.17","0.91","9.5","5","RED","TEST","0.09353581746108"
"2002","8.5","0.49","0.11","2.3","0.084","9","67","0.9968","3.17","0.53","9.4","5","RED","TRAIN","0.73840778623707"
"2001","6.9","0.4","0.14","2.4","0.085","21","40","0.9968","3.43","0.63","9.7","6","RED","TRAIN","0.62229844531975"
"2002","6.3","0.39","0.16","1.4","0.08","11","23","0.9955","3.34","0.56","9.3","5","RED","TRAIN","0.70002279710024"
"2001","7.6","0.41","0.24","1.8","0.08","4","11","0.9962","3.28","0.59","9.5","5","RED","TRAIN","0.58677453151904"
"2001","7.9","0.43","0.21","1.6","0.106","10","37","0.9966","3.17","0.91","9.5","5","RED","VALIDATE","0.4122355680447"
"2004","7.1","0.71","0","1.9","0.08","14","35","0.9972","3.47","0.55","9.4","5","RED","TRAIN","0.94242974231019"
"2005","7.8","0.645","0","2","0.082","8","16","0.9964","3.38","0.59","9.8","6","RED","TEST","0.01410396164283"
"2003","6.7","0.675","0.07","2.4","0.089","17","82","0.9958","3.35","0.54","10.1","5","RED","TEST","0.1979883883614"
"2002","6.9","0.685","0","2.5","0.105","22","37","0.9966","3.46","0.57","10.6","6","RED","TRAIN","0.74963069264777"
"2003","8.3","0.655","0.12","2.3","0.083","15","113","0.9966","3.17","0.66","9.8","5","RED","TRAIN","0.78104461333714"
"2001","6.9","0.605","0.12","10.7","0.073","40","83","0.9993","3.45","0.52","9.4","6","RED","TRAIN","0.57073457585647"
"2000","5.2","0.32","0.25","1.8","0.103","13","50","0.9957","3.38","0.55","9.2","5","RED","VALIDATE","0.47714476124383"
"2005","7.8","0.645","0","5.5","0.086","5","18","0.9986","3.4","0.55","9.6","6","RED","TRAIN","0.97281495155766"
"2005","7.8","0.6","0.14","2.4","0.086","3","15","0.9975","3.42","0.6","10.8","6","RED","TRAIN","0.98626642837189"
"2003","8.1","0.38","0.28","2.1","0.066","13","30","0.9968","3.23","0.73","9.7","7","RED","TRAIN","0.84238469391129"
"2003","5.7","1.13","0.09","1.5","0.172","7","19","0.994","3.5","0.48","9.8","4","RED","TRAIN","0.82254215888679"
"2002","7.3","0.45","0.36","5.9","0.074","12","87","0.9978","3.33","0.83","10.5","5","RED","TEST","0.25880806846544"
"2003","7.3","0.45","0.36","5.9","0.074","12","87","0.9978","3.33","0.83","10.5","5","RED","TRAIN","0.81260267202742"
"2000","8.8","0.61","0.3","2.8","0.088","17","46","0.9976","3.26","0.51","9.3","4","RED","TRAIN","0.51928415941074"
"2001","7.5","0.49","0.2","2.6","0.332","8","14","0.9968","3.21","0.9","10.5","6","RED","VALIDATE","0.42812572512775"
"2001","8.1","0.66","0.22","2.2","0.069","9","23","0.9968","3.3","1.2","10.3","5","RED","VALIDATE","0.39431382063776"
"2002","6.8","0.67","0.02","1.8","0.05","5","11","0.9962","3.48","0.52","9.5","5","RED","TRAIN","0.72897832468152"
"2003","4.6","0.52","0.15","2.1","0.054","8","65","0.9934","3.9","0.56","13.1","4","RED","TRAIN","0.8115341591183"
"2002","7.7","0.935","0.43","2.2","0.114","22","114","0.997","3.25","0.73","9.2","5","RED","TRAIN","0.71458754525519"
"2002","8.7","0.29","0.52","1.6","0.113","12","37","0.9969","3.25","0.58","9.5","5","RED","TEST","0.29512022668495"
"2003","6.4","0.4","0.23","1.6","0.066","5","12","0.9958","3.34","0.56","9.2","5","RED","TRAIN","0.81882798625156"
"2001","5.6","0.31","0.37","1.4","0.074","12","96","0.9954","3.32","0.58","9.2","5","RED","VALIDATE","0.35385381896048"
"2003","6.7","0.32","0.44","2.4","0.061","24","34","0.99484","3.29","0.8","11.6","7","RED","TEST","0.18568715569563"
"2000","7.4","0.24","0.42","14","0.066","48","198","0.9979","2.89","0.42","8.9","6","WHITE","TRAIN","0.5475062446203"
"2002","7.4","0.24","0.42","14","0.066","48","198","0.9979","2.89","0.42","8.9","6","WHITE","TEST","0.26996161253191"
"2004","6.1","0.32","0.24","1.5","0.036","38","124","0.9898","3.29","0.42","12.4","7","WHITE","TEST","0.13863843842409"
"2001","5.2","0.44","0.04","1.4","0.036","43","119","0.9894","3.36","0.33","12.1","8","WHITE","TRAIN","0.60688277473673"
