Country Ch.Mort.Rank Child.Mortality Literacy.Fem Literacy.Ad Drinking.Water Polio.Vacc Tetanus.Vacc.Preg Urban.Pop Foreign.Aid
SArab 108 30 69     63 95 93 60 84 0
Seneg 36 127 53     33 63 62 34 44 13
Seych 136 19 104    84 100 100 100 55 3 
SierraL 3 284 40    31 34 65 65 34 27
Simb 65 73 89       85 79 80 65 33 8
Sing 189 4 90       91 NA 93 NA 100 0
Slowe 175 6 99       99 NA 98 NA 59 NA
Som 10 211 39       24 31 21 28 26 20
Spain 186 5 98       97 NA 90 NA 77 0
SriL 136 19 94      90 57 91 81 22 4
SKN 93 38 100       90 100 98 98 34 2
SAfr 69 66 100      82 99 72 26 50 0
Sudan 42 116 60     46 50 80 44 32 3
Surin 104 31 96     93 NA 79 99 50 21
Swas 53 97 97       77 60 71 65 32 5
Syr 100 34 65       71 86 96 78 53 2
Tadsh 61 76 100    100 60 96 70 32 3
Tans 29 144 72      68 38 80 92 25 24
Thai 93 38 96       94 89 94 88 20 1
Togo 38 125 55      52 55 82 43 31 15
TriTob 143 17 98    98 97 90 19 72 1
Chad 27 149 56    48 24 19 50 23 21
Tun 97 35 70        67 98 91 80 63 0
Turk 82 47 78      82 49 83 32 71 0
Turkm 58 78 98      98 74 83 51 45 1
Ug 30 141 68        62 46 67 55 13 17
Ukr 121 24 101      99 NA 95 NA 71 NA
Hung 152 12 100      99 100 100 100 65 0
Urug 127 22 101     97 NA 89 13 90 0
Usb 71 60 100      100 62 99 79 41 0
Van 77 53 84        64 87 68 15 19 23
Venez 115 28 98     91 79 73 60 86 0
Emir 139 18 101      79 95 90 90 86 0
Viet 85 44 94       94 43 94 82 19 5
Belarus 139 18 99     99 NA 94 NA 72 NA
CentAf 21 164 75    60 38 53 15 40 14
Cyp 159 10 93       94 99 98 57 54 0

