Date,overall_miles,overall_MPG,interval_miles,interval_MPG,interval_gallons,interval_days,interval_mpg,overall_miles_lag,overall_miles_diff_lag,interval_gallons_lag,interval_gallons_diff_lag,interval_miles_lag,Year,Month,day_of_week,rol_avg_int_miles_2,rol_avg_int_gallons_2,gallons_ewm_3,miles_ewm_3,gallons_rol_std_3,miles_rol_std_3
2020-02-29,22394,80.7,571.5,72.8,8.66,61,65.99,21822,-572,9.22,-0.56,686.5,2020,2,6,541.1,8.223333333,8.68485245,588.7939666,0.668965289,145.8784099
2020-02-29,22759,80.2,365.3,57.6,6.79,0,53.80,22394,-365,8.66,-1.86,571.5,2020,2,6,541.1,8.223333333,7.737426225,477.0469833,1.253069015,171.3806805
2020-03-22,23207,79.5,447.5,56,8.65,22,51.73,22759,-448,6.79,1.85,365.3,2020,3,7,452.575,8.1625,8.193713112,462.2734916,1.047562678,122.5277638
2020-03-22,23633,78.8,426,53.8,8.55,0,49.82,23207,-426,8.65,-0.1,447.5,2020,3,7,452.575,8.1625,8.371856556,444.1367458,0.772202313,89.44237686
2021-01-02,24348,79.2,714.9,91.5,8.42,286,84.90,23633,-715,8.55,-0.13,426,2021,1,6,714.9,8.42,8.395928278,579.5183729,0.546824814,177.46055
2021-01-12,25732,81.3,1384,155.3,9.48,10,145.99,24348,-1384,8.42,1.06,714.9,2021,1,2,1049.45,8.95,8.937964139,981.7591865,0.768253214,508.3725322
2021-01-28,26278,80.9,546.2,64.2,9.15,16,59.69,25732,-546,9.48,-0.33,1384,2021,1,4,881.7,9.016666667,9.04398207,763.9795932,0.558539347,447.6195288
2021-05-13,27167,81.4,889.3,101.8,9.42,105,94.41,26278,-889,9.15,0.27,546.2,2021,5,4,889.3,9.42,9.231991035,826.6397966,0.457169725,325.685543
2021-06-03,27735,80.9,567.5,61.8,9.79,21,57.97,27167,-568,9.42,0.37,889.3,2021,6,4,728.4,9.605,9.510995517,697.0698983,0.470390615,279.674944
2021-07-01,28483,81,747.9,86,9.1,28,82.19,27735,-748,9.79,-0.69,567.5,2021,7,4,734.9,9.436666667,9.305497759,722.4849492,0.417106292,200.1947161
2021-07-07,28968,80.5,485.1,59.6,8.35,6,58.10,28483,-485,9.1,-0.75,747.9,2021,7,3,672.45,9.165,8.827748879,603.7924746,0.65525172,202.9059325
2021-07-15,29520,80.2,552.2,68.1,8.7,8,63.47,28968,-552,8.35,0.36,485.1,2021,7,4,588.175,8.985,8.76387444,577.9962373,0.469890758,146.9135035
2021-07-16,29957,79.8,436.4,58.6,7.97,1,54.76,29520,-437,8.7,-0.73,552.2,2021,7,5,557.82,8.782,8.36693722,507.1981186,0.588844119,135.3157388
2021-07-18,30407,79.3,450.8,54.4,8.69,2,51.88,29957,-450,7.97,0.72,436.4,2021,7,7,539.9833333,8.766666667,8.52846861,478.9990593,0.460985123,101.7248986
2021-07-19,30914,78.8,506.1,57.2,9.45,1,53.56,30407,-507,8.69,0.76,450.8,2021,7,1,535.1428571,8.864285714,8.989234305,492.5495297,0.651698688,73.82005399
2021-09-06,31741,79.3,827.7,103.7,8.41,49,98.42,30914,-827,9.45,-1.04,506.1,2021,9,1,543.05,8.595,8.699617152,660.1247648,0.58152621,211.7708416
2021-11-15,32670,79.9,929.3,111,8.48,70,109.59,31741,-929,8.41,0.07,827.7,2021,11,1,929.3,8.48,8.589808576,794.7123824,0.432635241,222.6975188
2021-12-17,33338,80.1,668,93.2,7.62,32,87.66,32670,-668,8.48,-0.86,929.3,2021,12,5,798.65,8.05,8.104904288,731.3561912,0.668045566,175.5508556
2021-12-21,33684,79.8,345.6,55.7,6.74,4,51.28,33338,-346,7.62,-0.89,668,2021,12,2,647.6333333,7.613333333,7.422452144,538.4780956,0.960080118,266.8557496
2022-01-07,34121,79.4,437.4,57.7,8.13,17,53.80,33684,-437,6.74,1.39,345.6,2022,1,5,595.075,7.7425,7.776226072,487.9390478,0.805363834,198.5882388
2022-01-15,34627,79,505.5,57.4,9.64,8,52.44,34121,-506,8.13,1.51,437.4,2022,1,6,489.125,8.0325,8.708113036,496.7195239,1.275509868,140.8342623
2022-03-15,35403,79.3,776.5,98.1,8.37,59,92.77,34627,-776,9.64,-1.26,505.5,2022,3,2,776.5,8.37,8.539056518,636.609762,0.925382554,198.1692781
2022-03-24,35910,79,506.2,64.1,8.68,9,58.32,35403,-507,8.37,0.31,776.5,2022,3,4,641.35,8.525,8.609528259,571.404881,0.660011996,161.2856042
2022-03-27,36300,78.5,390.3,48.5,8.5,3,45.92,35910,-390,8.68,-0.18,506.2,2022,3,7,557.6666667,8.516666667,8.55476413,480.8524405,0.47149399,159.0790363
2022-04-15,36900,78.4,599.5,75.3,8.67,19,69.15,36300,-600,8.5,0.16,390.3,2022,4,5,568.125,8.555,8.612382065,540.1762202,0.340782967,133.9105528
2022-04-17,37336,78,439.4,52.6,8.76,2,50.16,36900,-436,8.67,0.1,599.5,2022,4,7,542.38,8.596,8.686191032,489.7881101,0.257367754,113.0241591
2022-05-23,38073,78,733.6,80.4,9.66,36,75.94,37336,-737,8.76,0.9,439.4,2022,5,1,533.8,8.854,9.173095516,611.6940551,0.623484599,169.3482193
2022-06-08,38696,78,622.8,73.1,9.17,16,67.92,38073,-623,9.66,-0.49,733.6,2022,6,3,598.825,9.065,9.171547758,617.2470275,0.440874263,119.9402474
2022-07-01,39428,78,732.4,80.2,9.68,23,75.66,38696,-732,9.17,0.51,622.8,2022,7,5,696.2666667,9.503333333,9.425773879,674.8235138,0.440603494,110.2969135
2022-07-04,39725,77.9,296.7,68.4,4.45,3,66.67,39428,-297,9.68,-5.22,732.4,2022,7,1,596.375,8.24,6.93788694,485.7617569,3.062913295,244.3342515
2022-07-12,40292,77.9,566.8,76.6,7.7,8,73.61,39725,-567,4.45,3.25,296.7,2022,7,2,590.46,8.132,7.31894347,526.2808784,2.215519137,179.7562573
2022-08-06,40919,77.9,627.8,81,8.37,25,75.01,40292,-627,7.7,0.67,566.8,2022,8,6,569.3,7.874,7.844471735,577.0404392,1.693674248,141.4954258
2022-08-11,41321,77.7,401.4,59.1,7.13,5,56.30,40919,-402,8.37,-1.25,627.8,2022,8,4,510.9833333,7.63,7.487235867,489.2202196,1.275026442,146.8981423
2022-08-11,41762,77.4,440.8,55.6,8.45,0,52.17,41321,-441,7.13,1.32,401.4,2022,8,4,510.9833333,7.63,7.968617934,465.0101098,1.077236861,108.0218785
2022-08-14,42209,77.2,447.5,64.7,7.32,3,61.13,41762,-447,8.45,-1.13,440.8,2022,8,7,501.9142857,7.585714286,7.644308967,456.2550549,0.859060001,77.13196224
2022-08-19,42740,77.2,530.3,72.9,7.9,5,67.13,42209,-531,7.32,0.59,447.5,2022,8,5,505.4625,7.625,7.772154483,493.2775275,0.627302764,70.92718104
2022-09-02,43477,77.2,707.5,78.8,9.37,14,75.51,42740,-737,7.9,1.47,530.3,2022,9,5,502.35,7.58625,8.571077242,600.3887637,1.074323387,140.4441452
2022-09-15,44065,77.1,617.9,72.2,9.14,13,67.60,43477,-588,9.37,-0.23,707.5,2022,9,4,539.0285714,8.24,8.855538621,609.1443819,0.835740859,99.88628649
2022-10-16,45255,78.1,1189.8,146.6,8.77,31,135.67,44065,-1190,9.14,-0.38,617.9,2022,10,7,761.375,8.795,8.81276931,899.4721909,0.593274989,362.5244684
2022-10-24,45765,77.9,509.9,66,8.36,8,60.99,45255,-510,8.77,-0.41,1189.8,2022,10,1,756.275,8.91,8.586384655,704.6860955,0.502854477,350.1777114
2022-11-20,46406,78.1,640.9,90.3,7.51,27,85.34,45765,-641,8.36,-0.85,509.9,2022,11,7,780.2,8.213333333,8.048192328,672.7930477,0.748937771,250.6750178
2022-11-26,46727,77.9,320.8,56.3,6.19,6,51.83,46406,-321,7.51,-1.32,640.9,2022,11,6,665.35,7.7075,7.119096164,496.7965239,1.25510295,279.0719385
2022-12-31,47255,78.1,527.9,99.6,5.68,35,92.94,46727,-528,6.19,-0.51,320.8,2022,12,6,496.5333333,6.46,6.399548082,512.3482619,1.250706149,198.250746
2023-01-02,47554,77.9,299.2,58.3,5.6,2,53.43,47255,-299,5.68,-0.08,527.9,2023,1,1,447.2,6.245,5.999774041,405.774131,1.010871832,191.5430689
2023-02-18,48536,78.4,982.3,119.3,8.76,47,112.13,47554,-982,5.6,3.16,299.2,2023,2,6,603.1333333,6.68,7.37988702,694.0370655,1.835210801,378.1370819
2023-03-02,48943,78.2,406.9,55.1,7.86,12,51.77,48536,-407,8.76,-0.9,982.3,2023,3,4,694.6,8.31,7.61994351,550.4685327,1.330578829,320.0182991
2023-05-24,50202,79.2,1258.6,159.2,8.68,83,145.00,48943,-1259,7.86,0.82,406.9,2023,5,3,1258.6,8.68,8.149971755,904.5342664,1.143072579,489.1315482
2023-05-28,50643,79,441,63.2,7.27,4,60.66,50202,-441,8.68,-1.42,1258.6,2023,5,7,849.8,7.975,7.709985878,672.7671332,0.971436472,447.4358521
2023-06-14,51206,79,563.2,83.4,6.97,17,80.80,50643,-563,7.27,-0.29,441,2023,6,3,754.2666667,7.64,7.339992939,617.9835666,0.822913465,323.4212109
2023-06-16,51491,79,285,66.3,4.51,2,63.19,51206,-285,6.97,-2.46,563.2,2023,6,5,636.95,6.8575,5.924996469,451.4917833,1.828090752,306.3982877
2023-07-01,52020,78.9,528.6,76.3,6.87,15,76.94,51491,-529,4.51,2.36,285,2023,7,6,615.28,6.86,6.397498235,490.0458916,1.416278495,221.7421571
2023-07-07,52611,78.7,590.8,65,9.64,6,61.29,52020,-591,6.87,2.77,528.6,2023,7,5,611.2,7.323333333,8.018749117,540.4229458,2.223871405,168.4979629
2023-07-16,53103,78.7,491.9,69.6,7.29,9,67.48,52611,-492,9.64,-2.35,590.8,2023,7,7,594.1571429,7.318571429,7.654374559,516.1614729,1.634611648,122.7954004
2023-07-20,53710,78.5,607.6,67.8,9.69,4,62.70,53103,-607,7.29,2.4,491.9,2023,7,4,595.8375,7.615,8.672187279,561.8807365,1.699968153,103.3185935
2023-08-05,54276,78.4,565.4,72.5,8.07,16,70.06,53710,-566,9.69,-1.62,607.6,2023,8,6,518.9285714,7.577142857,8.37109364,563.6403682,1.257351157,73.08905758
2023-08-06,54541,78.3,265.4,57.1,4.87,1,54.50,54276,-265,8.07,-3.2,565.4,2023,8,7,487.2375,7.23875,6.62054682,414.5201841,2.321009956,189.8058195
2023-08-12,54933,78.3,391.3,62,6.64,6,58.93,54541,-392,4.87,1.78,265.4,2023,8,6,467.7,7.198,6.63027341,402.9100921,1.641245112,134.9641283
2023-08-12,55321,77.9,387.8,54.1,7.43,0,52.19,54933,-388,6.64,0.79,391.3,2023,8,6,467.7,7.198,7.030136705,395.355046,1.259634368,95.88157301
2023-08-25,55946,77.9,625.2,81.6,8.12,13,77.00,55321,-625,7.43,0.69,387.8,2023,8,5,494.8888889,7.624444444,7.575068352,510.277523,1.112998258,156.2286837
2023-09-08,56593,77.9,647.2,72.9,9.42,14,68.70,55946,-647,8.12,1.3,625.2,2023,9,5,497.725,7.69125,8.497534176,578.7387615,1.376879572,138.6871031
2023-09-30,57304,78,711.3,84.1,8.98,22,79.21,56593,-711,9.42,-0.44,647.2,2023,9,6,513.3714286,7.647142857,8.738767088,645.0193808,1.017442212,127.3056833
2023-12-18,58355,78.6,1051,147.1,7.56,79,139.02,57304,-1051,8.98,-1.43,711.3,2023,12,1,1051,7.56,8.149383544,848.0096904,1.019143645,264.4068214
2024-01-18,58924,78.6,568.9,76.5,7.87,31,72.29,58355,-569,7.56,0.31,1051,2024,1,4,809.95,7.715,8.009691772,708.4548452,0.740673728,253.3156447
2024-01-19,59148,78.4,223.4,51,4.96,1,45.04,58924,-224,7.87,-2.91,568.9,2024,1,5,614.4333333,6.796666667,6.484845886,465.9274226,1.939595641,346.8627019
2024-01-21,59483,78.2,335.4,51.8,7.02,2,47.78,59148,-335,4.96,2.07,223.4,2024,1,7,544.675,6.8525,6.752422943,400.6637113,1.41011058,257.9649104
2024-01-22,59718,78.1,234.5,53,4.86,1,48.25,59483,-235,7.02,-2.16,335.4,2024,1,1,482.64,6.454,5.806211472,317.5818556,1.528783878,208.8703895
2024-03-01,60483,78.2,765.6,86.2,9.63,39,79.50,59718,-765,4.86,4.77,234.5,2024,3,5,425.56,6.868,7.718105736,541.5909278,2.57906952,311.5822787
2024-03-10,61000,78,516.1,59.1,9.4,9,54.90,60483,-517,9.63,-0.23,765.6,2024,3,7,440.65,7.29,8.559052868,528.8454639,2.094418276,220.8742368
2024-03-15,61331,77.9,331,63.2,5.44,5,60.85,61000,-331,9.4,-3.96,516.1,2024,3,5,424.9857143,7.025714286,6.999526434,429.922732,2.416914977,197.6645507
