都市,年,月,日,季節,天気,気温,風速,降水量
札幌,2012,5,15,春,曇,11.7,4.8,2
札幌,2012,5,16,春,曇,11.6,2.8,5
札幌,2012,5,17,春,晴,13.5,2.2,0
札幌,2012,5,18,春,晴,12,3.6,0
札幌,2012,5,19,春,晴,11.5,4.9,0
札幌,2012,5,20,春,快晴,13.3,2.1,0
札幌,2012,5,21,春,快晴,13.8,2.9,0
札幌,2012,5,22,春,快晴,16.1,4.5,0
札幌,2012,5,23,春,曇,15.4,2.8,0
札幌,2012,5,24,春,快晴,16.3,4.9,0
札幌,2012,5,25,春,晴,16.5,2.9,0
札幌,2012,5,26,春,晴,14.2,4.8,0
札幌,2012,5,27,春,曇,10.9,5.7,0
札幌,2012,5,28,春,薄曇,11.7,5.7,0
札幌,2012,5,29,春,曇,13.5,3.8,1.5
札幌,2012,5,30,春,晴,13.3,3.6,0
札幌,2012,5,31,春,快晴,14.2,2.7,0
札幌,2012,6,1,夏,曇,14,3.3,0.5
札幌,2012,6,2,夏,快晴,14.7,2.3,0
札幌,2012,6,3,夏,快晴,14.1,3.5,0
札幌,2012,6,4,夏,晴,17.4,2.5,0
札幌,2012,6,5,夏,晴,19,2.4,0
札幌,2012,6,6,夏,雨,18,3.1,7
札幌,2012,6,7,夏,雨,17.4,2.3,13.5
札幌,2012,6,8,夏,晴,18.1,3,0
札幌,2012,6,9,夏,曇,17.4,6.2,0
札幌,2012,6,10,夏,曇,18.4,3.6,0
札幌,2012,6,11,夏,曇,17,3.8,0
札幌,2012,6,12,夏,晴,15,5.3,0
札幌,2012,6,13,夏,曇,13.3,4.7,0
札幌,2012,6,14,夏,晴,13.6,3.2,0
札幌,2012,6,15,夏,晴,16.1,2.1,0
札幌,2012,6,16,夏,薄曇,16.4,5.8,0
札幌,2012,6,17,夏,雨,16.4,3.2,16
札幌,2012,6,18,夏,曇,17.4,3.6,0
札幌,2012,6,19,夏,曇,17.5,5.8,0
札幌,2012,6,20,夏,雨,15.1,4.1,11.5
札幌,2012,6,21,夏,曇,15.8,2.3,0
札幌,2012,6,22,夏,雨,14.3,1.9,2
札幌,2012,6,23,夏,曇,15.3,3.2,1
札幌,2012,6,24,夏,晴,16.8,3.3,0
札幌,2012,6,25,夏,快晴,18,2.3,0
札幌,2012,6,26,夏,快晴,19,1.9,0
札幌,2012,6,27,夏,快晴,20.1,2.4,0
札幌,2012,6,28,夏,快晴,21.7,2.4,0
札幌,2012,6,29,夏,快晴,22.1,1.8,0
札幌,2012,6,30,夏,快晴,22.3,4.5,0
札幌,2012,7,1,夏,曇,21.5,8.2,0
札幌,2012,7,2,夏,雨,21.1,6,0
札幌,2012,7,3,夏,薄曇,21.7,3.5,0
札幌,2012,7,4,夏,晴,20.9,2,0
札幌,2012,7,5,夏,雨,21.1,1.9,15
札幌,2012,7,6,夏,晴,21.1,3,0
札幌,2012,7,7,夏,晴,21.8,2.7,0
札幌,2012,7,8,夏,晴,21.1,2,0.5
札幌,2012,7,9,夏,曇,19.7,2.5,2.5
札幌,2012,7,10,夏,曇,19.3,3.2,0
札幌,2012,7,11,夏,薄曇,22.2,2.9,0.5
札幌,2012,7,12,夏,雨,19.9,3.4,63
札幌,2012,7,13,夏,晴,21.6,4.1,0
札幌,2012,7,14,夏,雨,16.8,4.4,0
札幌,2012,7,15,夏,晴,19,2.2,0
札幌,2012,7,16,夏,薄曇,20,2.6,0
札幌,2012,7,17,夏,快晴,21,3.2,0
札幌,2012,7,18,夏,晴,22.8,3.2,0
札幌,2012,7,19,夏,晴,20.4,4.2,0
札幌,2012,7,20,夏,快晴,19.8,3,0
札幌,2012,7,21,夏,晴,20,2.3,0
札幌,2012,7,22,夏,曇,20.1,2.3,0
札幌,2012,7,23,夏,快晴,20.4,3.3,0
札幌,2012,7,24,夏,曇,22.2,3.2,0
札幌,2012,7,25,夏,曇,23.7,3.2,0
札幌,2012,7,26,夏,晴,23.4,2.5,0
札幌,2012,7,27,夏,薄曇,27.1,3.7,0
札幌,2012,7,28,夏,曇,26.6,3.2,0
札幌,2012,7,29,夏,薄曇,24.5,2.5,0
札幌,2012,7,30,夏,晴,27,3.7,0
札幌,2012,7,31,夏,曇,26.5,3,0
札幌,2012,8,1,夏,曇,22.6,2.8,15.5
札幌,2012,8,2,夏,曇,20,4.2,0
札幌,2012,8,3,夏,晴,21.6,2.8,0
札幌,2012,8,4,夏,曇,20.9,5.5,0
札幌,2012,8,5,夏,雨,22.1,2,5.5
札幌,2012,8,6,夏,曇,21.4,4,2.5
札幌,2012,8,7,夏,快晴,19.9,5.4,0
札幌,2012,8,8,夏,快晴,21.1,3.4,0
札幌,2012,8,9,夏,快晴,23.7,4.3,0
札幌,2012,8,10,夏,曇,23.1,2,9
札幌,2012,8,11,夏,曇,23.6,1.8,0
札幌,2012,8,12,夏,曇,24,3.7,0
札幌,2012,8,13,夏,雨,22.1,2.9,13.5
札幌,2012,8,14,夏,快晴,22.3,3.2,0
札幌,2012,8,15,夏,薄曇,22,5.2,0
札幌,2012,8,16,夏,雨,21.4,4.9,34
札幌,2012,8,17,夏,曇,21.4,1.4,1
札幌,2012,8,18,夏,曇,22.7,1.5,0
札幌,2012,8,19,夏,曇,24,4.9,0
札幌,2012,8,20,夏,曇,24.8,2.4,34
札幌,2012,8,21,夏,晴,27.9,3.5,0
札幌,2012,8,22,夏,晴,27,4.7,0
札幌,2012,8,23,夏,曇,22.8,3.5,6
札幌,2012,8,24,夏,雨,23,1.3,0
札幌,2012,8,25,夏,快晴,24.7,2.2,0
札幌,2012,8,26,夏,雨,26.1,2.5,0
札幌,2012,8,27,夏,晴,25.4,2.7,0
札幌,2012,8,28,夏,薄曇,25,2.2,0
札幌,2012,8,29,夏,曇,25.3,6.6,0
札幌,2012,8,30,夏,晴,28,4.6,0
札幌,2012,8,31,夏,曇,24.8,2.1,0
札幌,2012,9,1,秋,晴,26.1,4.6,0
札幌,2012,9,2,秋,晴,25.4,4.7,0
札幌,2012,9,3,秋,快晴,26.6,4.9,0
札幌,2012,9,4,秋,晴,26.2,5.5,31.5
札幌,2012,9,5,秋,晴,25.1,4.7,0
札幌,2012,9,6,秋,雨,23.2,3.9,0
札幌,2012,9,7,秋,快晴,23.1,1.6,0
札幌,2012,9,8,秋,晴,23.4,2.3,0
札幌,2012,9,9,秋,雨,21.7,4.3,106
札幌,2012,9,10,秋,曇,22.1,1.7,3
札幌,2012,9,11,秋,曇,21.8,1.1,23
札幌,2012,9,12,秋,晴,23.8,1.7,0.5
札幌,2012,9,13,秋,曇,23.4,2.5,0
札幌,2012,9,14,秋,晴,24.5,2,0
札幌,2012,9,15,秋,薄曇,25.4,3.4,0
札幌,2012,9,16,秋,曇,22.6,3.1,3.5
札幌,2012,9,17,秋,雨,24.1,4.2,0
札幌,2012,9,18,秋,晴,26.7,5.5,0
札幌,2012,9,19,秋,雨,25.6,3.6,4.5
札幌,2012,9,20,秋,晴,21.8,3.1,0
札幌,2012,9,21,秋,薄曇,20.3,1.8,0
札幌,2012,9,22,秋,薄曇,19.9,1.7,0
札幌,2012,9,23,秋,晴,19.5,1.9,0
札幌,2012,9,24,秋,曇,19.2,1.9,0
札幌,2012,9,25,秋,雨,16.3,3.7,12.5
札幌,2012,9,26,秋,雨,16.9,2.1,5.5
札幌,2012,9,27,秋,曇,17.4,3.4,0
札幌,2012,9,28,秋,晴,18.5,4.4,0
札幌,2012,9,29,秋,晴,20.8,4.3,0
札幌,2012,9,30,秋,曇,20.2,2.7,1
札幌,2012,10,1,秋,曇,18.1,4,17.5
札幌,2012,10,2,秋,晴,17.9,1.8,0.5
札幌,2012,10,3,秋,曇,17.1,1.9,0
札幌,2012,10,4,秋,晴,16.6,1.5,0
札幌,2012,10,5,秋,曇,16.2,1.8,0
札幌,2012,10,6,秋,薄曇,16.3,2.7,2
札幌,2012,10,7,秋,晴,15.2,4.2,0
札幌,2012,10,8,秋,快晴,14.4,1.8,0
札幌,2012,10,9,秋,晴,14.4,1.7,0
札幌,2012,10,10,秋,曇,14.3,4,0
札幌,2012,10,11,秋,雨,13.6,4.3,9.5
札幌,2012,10,12,秋,曇,13.5,1.9,0
札幌,2012,10,13,秋,晴,13.2,2.5,5
札幌,2012,10,14,秋,晴,14.3,4.2,10.5
札幌,2012,10,15,秋,晴,12.9,3.1,1
札幌,2012,10,16,秋,晴,13,3.3,0
札幌,2012,10,17,秋,曇,13.8,4.3,10
札幌,2012,10,18,秋,晴,11.2,4.1,0
札幌,2012,10,19,秋,晴,9.3,3.4,1
札幌,2012,10,20,秋,雨,12,3.3,1
札幌,2012,10,21,秋,曇,9.1,4.5,5
札幌,2012,10,22,秋,薄曇,10.4,3.6,0.5
札幌,2012,10,23,秋,雨,13.7,6.8,12.5
札幌,2012,10,24,秋,雨,8.9,5.6,2
札幌,2012,10,25,秋,晴,9.4,3.1,0.5
札幌,2012,10,26,秋,晴,10.7,4.1,3.5
札幌,2012,10,27,秋,快晴,10.4,3.7,0
札幌,2012,10,28,秋,雨,11.1,8.9,9.5
札幌,2012,10,29,秋,曇,13.2,4,18.5
札幌,2012,10,30,秋,曇,9.3,2,2
札幌,2012,10,31,秋,晴,8.3,3.7,3
札幌,2012,11,1,秋,曇,8.6,1.5,17
札幌,2012,11,2,秋,雨,9.1,5.1,15.5
札幌,2012,11,3,秋,曇,8.6,5.8,11.5
札幌,2012,11,4,秋,雨,8.6,7.6,18.5
札幌,2012,11,5,秋,薄曇,8,2.1,0
札幌,2012,11,6,秋,曇,10.9,5,5
札幌,2012,11,7,秋,雨,10.1,2.2,45
札幌,2012,11,8,秋,快晴,9.9,1.9,0
札幌,2012,11,9,秋,曇,9.8,2.8,2
札幌,2012,11,10,秋,晴,7.7,4,0.5
札幌,2012,11,11,秋,晴,7.2,3.2,0
札幌,2012,11,12,秋,雨,9.2,5.9,10
札幌,2012,11,13,秋,薄曇,9.9,3.3,0
札幌,2012,11,14,秋,雨,7.5,2.1,2
札幌,2012,11,15,秋,晴,5.8,3,0
札幌,2012,11,16,秋,曇,6.4,2.4,0
札幌,2012,11,17,秋,雨,6.7,2.4,9.5
札幌,2012,11,18,秋,みぞれ,3.3,6.5,40.5
札幌,2012,11,19,秋,薄曇,1.8,1.8,0
札幌,2012,11,20,秋,曇,2.1,1.8,0.5
札幌,2012,11,21,秋,晴,1.9,4.2,0
札幌,2012,11,22,秋,薄曇,3,1.6,1.5
札幌,2012,11,23,秋,雪,0.6,3.6,6
札幌,2012,11,24,秋,晴,0.1,3.8,0
札幌,2012,11,25,秋,薄曇,1.8,3,0
札幌,2012,11,26,秋,曇,3.1,2.5,4.5
札幌,2012,11,27,秋,雪,0.5,5.4,20.5
札幌,2012,11,28,秋,快晴,0.8,4.4,5.5
札幌,2012,11,29,秋,雪,2.2,2.7,2.5
札幌,2012,11,30,秋,雪,-0.8,1.6,1
札幌,2012,12,1,冬,晴,-3.2,3.4,11.5
札幌,2012,12,2,冬,雪,-2,3,4
札幌,2012,12,3,冬,快晴,1,3.5,0.5
札幌,2012,12,4,冬,雨,5.2,5.9,22
札幌,2012,12,5,冬,晴,0.4,2.9,1.5
札幌,2012,12,6,冬,みぞれ,-0.3,4.3,12
札幌,2012,12,7,冬,雪,-4.3,2.8,1.5
札幌,2012,12,8,冬,曇,-3.1,3.5,26
札幌,2012,12,9,冬,曇,-2.1,2.7,0.5
札幌,2012,12,10,冬,曇,1.5,3.1,0
札幌,2012,12,11,冬,雪,-1,2.3,16.5
札幌,2012,12,12,冬,雪,-1.4,1.8,28.5
札幌,2012,12,13,冬,晴,-2.6,1.6,1.5
札幌,2012,12,14,冬,雪,-0.4,2.6,3
札幌,2012,12,15,冬,曇,-0.6,2,1
札幌,2012,12,16,冬,みぞれ,0.8,2.5,13.5
札幌,2012,12,17,冬,曇,0.3,1.9,1
札幌,2012,12,18,冬,雪,-1.6,3.9,27
札幌,2012,12,19,冬,晴,-4.7,2.9,1
札幌,2012,12,20,冬,晴,-4.3,3.8,0
札幌,2012,12,21,冬,薄曇,-1.5,3,0
札幌,2012,12,22,冬,雪,-1.1,3.8,4
札幌,2012,12,23,冬,快晴,-5.1,3.4,4.5
札幌,2012,12,24,冬,雪,-7.9,1.6,4
札幌,2012,12,25,冬,薄曇,-7.3,2.5,2.5
札幌,2012,12,26,冬,雪,-8.3,5.9,9.5
札幌,2012,12,27,冬,曇,-8.4,4.9,1
札幌,2012,12,28,冬,雪,-5,3.3,0
札幌,2012,12,29,冬,晴,-4.5,3.5,0
札幌,2012,12,30,冬,雨,2,5.3,9
札幌,2012,12,31,冬,雪,-3,3.3,2
札幌,2013,1,1,冬,雪,-5.6,2,0.5
札幌,2013,1,2,冬,薄曇,-4.3,3.1,2
札幌,2013,1,3,冬,快晴,-6.4,5.2,0
札幌,2013,1,4,冬,晴,-7.6,4.1,1
札幌,2013,1,5,冬,晴,-4.2,3.1,0.5
札幌,2013,1,6,冬,曇,-5.9,4.2,3
札幌,2013,1,7,冬,曇,-7.1,3.4,0
札幌,2013,1,8,冬,快晴,-7.3,2.8,0
札幌,2013,1,9,冬,晴,-8.2,1.9,0
札幌,2013,1,10,冬,晴,-6.6,3.1,0
札幌,2013,1,11,冬,曇,-6.5,3.3,0
札幌,2013,1,12,冬,曇,-4.5,2.3,0.5
札幌,2013,1,13,冬,晴,-3.9,4.5,3.5
札幌,2013,1,14,冬,薄曇,-5.3,1.6,0
札幌,2013,1,15,冬,あられ,-7.1,3.2,8
札幌,2013,1,16,冬,晴,-6.6,1.5,1
札幌,2013,1,17,冬,晴,-8.3,1.6,6.5
札幌,2013,1,18,冬,晴,-8,3.3,10.5
札幌,2013,1,19,冬,雪,-2.4,5.1,5.5
札幌,2013,1,20,冬,雪,-1.1,5.8,18
札幌,2013,1,21,冬,雪,-1.1,3.2,3.5
札幌,2013,1,22,冬,薄曇,-2.7,1.4,0
札幌,2013,1,23,冬,快晴,-3.9,1.3,2
札幌,2013,1,24,冬,薄曇,-2.6,4.3,6.5
札幌,2013,1,25,冬,雪,-1,4.9,8.5
札幌,2013,1,26,冬,曇,-4.9,3.2,0
札幌,2013,1,27,冬,雪,-2.3,6.8,4.5
札幌,2013,1,28,冬,薄曇,-4.3,1.5,1
札幌,2013,1,29,冬,雪,-4.5,2.8,9
札幌,2013,1,30,冬,雪,-1,5.8,5.5
札幌,2013,1,31,冬,曇,-0.8,1.5,0.5
札幌,2013,2,1,冬,曇,1.7,4.4,0
札幌,2013,2,2,冬,晴,1.2,5.9,1
札幌,2013,2,3,冬,雪,-5.8,5.2,0.5
札幌,2013,2,4,冬,曇,-3.1,2.4,4
札幌,2013,2,5,冬,晴,-4.9,6.1,6
札幌,2013,2,6,冬,曇,-4.1,1.3,0
札幌,2013,2,7,冬,雪,-3.5,4.4,14.5
札幌,2013,2,8,冬,雪,-2.5,6.8,8.5
札幌,2013,2,9,冬,雪,-4.7,4.4,4.5
札幌,2013,2,10,冬,薄曇,-5.8,1.7,0
札幌,2013,2,11,冬,雪,-6.1,1.6,0.5
札幌,2013,2,12,冬,雪,-6,1.9,0
札幌,2013,2,13,冬,快晴,-3.8,1.8,0
札幌,2013,2,14,冬,雪,-2.4,1.3,7
札幌,2013,2,15,冬,晴,-3.3,3,0.5
札幌,2013,2,16,冬,晴,-5.7,2.8,16.5
札幌,2013,2,17,冬,雪,-5.9,3.2,10
札幌,2013,2,18,冬,雪,-5.3,2,6
札幌,2013,2,19,冬,雪,-4,2.3,3
札幌,2013,2,20,冬,曇,-6.4,3.7,1
札幌,2013,2,21,冬,晴,-5.4,4.1,6
札幌,2013,2,22,冬,雪,-5,2.3,0.5
札幌,2013,2,23,冬,快晴,-5.3,3.3,0
札幌,2013,2,24,冬,雪,-6.9,2,10.5
札幌,2013,2,25,冬,晴,-5.8,2.5,12
札幌,2013,2,26,冬,晴,-3.4,2.8,0.5
札幌,2013,2,27,冬,薄曇,-0.3,4.6,0
札幌,2013,2,28,冬,曇,0.8,3.7,4
札幌,2013,3,1,春,雪,0.6,5.9,4.5
札幌,2013,3,2,春,雪,-0.8,9,11
札幌,2013,3,3,春,雪,-2.6,6.7,6
札幌,2013,3,4,春,雪,-2.7,2,1
札幌,2013,3,5,春,曇,-0.6,1.7,0
札幌,2013,3,6,春,雪,0.3,4.2,8.5
札幌,2013,3,7,春,曇,0.6,5.1,1
札幌,2013,3,8,春,薄曇,1.4,3.3,7.5
札幌,2013,3,9,春,雪,-5.4,6.7,13.5
札幌,2013,3,10,春,雪,-4,6.2,9.5
札幌,2013,3,11,春,雪,-3.7,4,4
札幌,2013,3,12,春,雨,2.7,2.8,0
札幌,2013,3,13,春,雨,2,4.5,10
札幌,2013,3,14,春,雪,-3.2,4.6,1
札幌,2013,3,15,春,晴,1.5,3.4,0
札幌,2013,3,16,春,雪,-0.8,4.9,5.5
札幌,2013,3,17,春,晴,0.8,4.2,0
札幌,2013,3,18,春,雨,4.8,4.8,3
札幌,2013,3,19,春,快晴,3.4,3.6,0
札幌,2013,3,20,春,雪,-0.4,3.9,11.5
札幌,2013,3,21,春,雪,-4,5.5,7
札幌,2013,3,22,春,雨,-0.1,4.1,2.5
札幌,2013,3,23,春,雪,-1.7,3.5,0.5
札幌,2013,3,24,春,晴,0.1,2.4,0
札幌,2013,3,25,春,晴,-0.1,1.9,0
札幌,2013,3,26,春,雪,0.4,3.3,0.5
札幌,2013,3,27,春,晴,2.8,5.3,0
札幌,2013,3,28,春,曇,4.6,4,0
札幌,2013,3,29,春,晴,2.4,2.4,0
札幌,2013,3,30,春,曇,1,2.8,0
札幌,2013,3,31,春,曇,1.3,2.3,0
札幌,2013,4,1,春,晴,3.2,3.2,0
札幌,2013,4,2,春,曇,5.2,2.7,0
札幌,2013,4,3,春,雨,6.9,3.8,0.5
札幌,2013,4,4,春,快晴,5.9,4,0
札幌,2013,4,5,春,晴,4.6,2.1,0
札幌,2013,4,6,春,曇,7.4,6.7,1.5
札幌,2013,4,7,春,雨,9.3,5.4,59.5
札幌,2013,4,8,春,雨,5.3,7.9,2
札幌,2013,4,9,春,曇,5.4,5.5,2.5
札幌,2013,4,10,春,雨,4.8,3.3,1
札幌,2013,4,11,春,曇,4.5,3.1,1
札幌,2013,4,12,春,雨,3.1,2.7,4.5
札幌,2013,4,13,春,曇,6.4,2.8,0.5
札幌,2013,4,14,春,雨,8.3,7.6,4.5
札幌,2013,4,15,春,晴,5.7,3.5,0.5
札幌,2013,4,16,春,曇,6.7,3.4,0
札幌,2013,4,17,春,曇,4.4,4.1,1
札幌,2013,4,18,春,曇,4.9,3.5,1.5
札幌,2013,4,19,春,雨,3.4,4.3,10.5
札幌,2013,4,20,春,晴,5.5,3,1
札幌,2013,4,21,春,曇,7.1,4,0
札幌,2013,4,22,春,晴,8.6,4.4,0
札幌,2013,4,23,春,快晴,10.7,2.6,0
札幌,2013,4,24,春,曇,9.7,5.7,3
札幌,2013,4,25,春,雨,8.8,4.4,0
札幌,2013,4,26,春,曇,8.6,4.3,2
札幌,2013,4,27,春,雨,7,6.3,3.5
札幌,2013,4,28,春,雨,5.4,10.4,10
札幌,2013,4,29,春,雨,5.8,6.2,1.5
札幌,2013,4,30,春,雨,5.1,4.1,3
札幌,2013,5,1,春,雨,5.5,2.3,0.5
札幌,2013,5,2,春,曇,4.6,6.5,1.5
札幌,2013,5,3,春,雨,4.6,3.8,10.5
札幌,2013,5,4,春,雨,5.9,2.1,1
札幌,2013,5,5,春,曇,7.8,1.7,5
札幌,2013,5,6,春,雨,6,3.2,12.5
札幌,2013,5,7,春,晴,5,6.2,0
札幌,2013,5,8,春,晴,7.8,5.8,0
札幌,2013,5,9,春,快晴,11.2,2.9,0
札幌,2013,5,10,春,快晴,12.9,4.6,0
札幌,2013,5,11,春,雨,9.8,8.1,17
札幌,2013,5,12,春,曇,10.7,2.8,0
札幌,2013,5,13,春,曇,8.7,6,0
札幌,2013,5,14,春,曇,10.3,2.6,0
札幌,2013,5,15,春,曇,9.6,4.4,5
札幌,2013,5,16,春,曇,9.7,4.2,0
札幌,2013,5,17,春,晴,12.1,2.6,0
札幌,2013,5,18,春,薄曇,12.8,2.1,0
札幌,2013,5,19,春,薄曇,12.8,3.1,0
札幌,2013,5,20,春,曇,12.7,4.5,0.5
札幌,2013,5,21,春,晴,14.7,3,1
札幌,2013,5,22,春,曇,13,2.6,4.5
札幌,2013,5,23,春,曇,9.7,4.6,1
